Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z,Marker 4 X,Marker 4 Y,Marker 4 Z,Marker 5 X,Marker 5 Y,Marker 5 Z,Marker 6 X,Marker 6 Y,Marker 6 Z
0,0.000000,0.038649,0.036721,0.188370,0.043649,0.040549,0.069755,0.035380,0.034665,0.232242,0.038315,0.037784,0.274720,0.044026,0.039559,0.165011,0.045025,0.039944,0.113940
1,0.008333,0.038643,0.036762,0.188394,0.043647,0.040549,0.069760,0.035379,0.034672,0.232239,0.038317,0.037784,0.274720,0.044027,0.039565,0.165007,0.045017,0.039944,0.113942
2,0.016667,0.038650,0.036729,0.188378,0.043656,0.040548,0.069758,0.035378,0.034671,0.232243,0.038311,0.037781,0.274712,0.044024,0.039556,0.165008,0.045023,0.039939,0.113948
3,0.025000,0.038649,0.036715,0.188373,0.043648,0.040547,0.069757,0.035382,0.034673,0.232240,0.038316,0.037776,0.274719,0.044026,0.039556,0.165010,0.045025,0.039947,0.113939
4,0.033333,0.038647,0.036723,0.188381,0.043653,0.040543,0.069754,0.035380,0.034672,0.232243,0.038315,0.037787,0.274720,0.044026,0.039567,0.165013,0.045020,0.039953,0.113946
5,0.041667,0.038651,0.036718,0.188381,0.043656,0.040547,0.069758,0.035380,0.034671,0.232236,0.038318,0.037779,0.274722,0.044030,0.039559,0.165010,0.045021,0.039953,0.113947
6,0.050000,0.038656,0.036722,0.188379,0.043654,0.040545,0.069762,0.035383,0.034677,0.232242,0.038317,0.037782,0.274715,0.044034,0.039554,0.165009,0.045021,0.039950,0.113948
7,0.058333,0.038651,0.036726,0.188380,0.043656,0.040551,0.069758,0.035382,0.034676,0.232239,0.038320,0.037780,0.274721,0.044029,0.039559,0.165007,0.045025,0.039947,0.113944
8,0.066667,0.038651,0.036723,0.188377,0.043655,0.040545,0.069760,0.035384,0.034663,0.232240,0.038316,0.037782,0.274719,0.044035,0.039558,0.165017,0.045018,0.039960,0.113951
9,0.075000,0.038652,0.036723,0.188383,0.043653,0.040555,0.069763,0.035383,0.034674,0.232245,0.038314,0.037777,0.274718,0.044029,0.039562,0.165017,0.045023,0.039949,0.113951
10,0.083333,0.038651,0.036737,0.188385,0.043651,0.040552,0.069764,0.035379,0.034668,0.232242,0.038314,0.037775,0.274721,0.044028,0.039559,0.165008,0.045026,0.039943,0.113951
11,0.091667,0.038651,0.036725,0.188381,0.043647,0.040546,0.069760,0.035378,0.034674,0.232243,0.038313,0.037783,0.274720,0.044025,0.039553,0.165007,0.045023,0.039939,0.113953
12,0.100000,0.038648,0.036724,0.188379,0.043648,0.040553,0.069763,0.035379,0.034676,0.232242,0.038311,0.037773,0.274716,0.044021,0.039560,0.165014,0.045019,0.039955,0.113945
13,0.108333,0.038651,0.036721,0.188375,0.043652,0.040547,0.069760,0.035374,0.034671,0.232242,0.038313,0.037776,0.274715,0.044024,0.039560,0.165010,0.045019,0.039964,0.113949
14,0.116667,0.038649,0.036723,0.188378,0.043651,0.040544,0.069759,0.035382,0.034673,0.232239,0.038309,0.037779,0.274721,0.044030,0.039564,0.165014,0.045019,0.039946,0.113944
15,0.125000,0.038650,0.036724,0.188380,0.043649,0.040550,0.069756,0.035383,0.034671,0.232241,0.038312,0.037779,0.274720,0.044029,0.039557,0.165009,0.045026,0.039951,0.113946
16,0.133333,0.038650,0.036720,0.188376,0.043655,0.040550,0.069762,0.035380,0.034668,0.232245,0.038320,0.037778,0.274718,0.044034,0.039556,0.165018,0.045021,0.039950,0.113952
17,0.141667,0.038656,0.036725,0.188380,0.043653,0.040547,0.069762,0.035383,0.034678,0.232249,0.038319,0.037787,0.274724,0.044030,0.039556,0.165012,0.045020,0.039953,0.113950
18,0.150000,0.038656,0.036723,0.188378,0.043655,0.040551,0.069760,0.035385,0.034670,0.232240,0.038323,0.037792,0.274725,0.044029,0.039557,0.165014,0.045022,0.039953,0.113949
19,0.158333,0.038650,0.036728,0.188379,0.043652,0.040545,0.069760,0.035381,0.034676,0.232244,0.038324,0.037794,0.274724,0.044032,0.039559,0.165016,0.045021,0.039954,0.113953
20,0.166667,0.038652,0.036726,0.188383,0.043651,0.040554,0.069763,0.035381,0.034675,0.232245,0.038316,0.037792,0.274726,0.044029,0.039555,0.165010,0.045021,0.039953,0.113951
21,0.175000,0.038651,0.036727,0.188378,0.043651,0.040543,0.069759,0.035376,0.034682,0.232242,0.038311,0.037784,0.274718,0.044154,0.039632,0.164869,0.045015,0.039963,0.113953
22,0.183333,0.038650,0.036725,0.188380,0.043650,0.040546,0.069760,0.035381,0.034675,0.232239,0.038309,0.037776,0.274719,0.044023,0.039552,0.165012,0.045018,0.039955,0.113952
23,0.191667,0.038648,0.036729,0.188378,0.043650,0.040545,0.069759,0.035378,0.034676,0.232239,0.038310,0.037782,0.274715,0.044022,0.039559,0.165015,0.045018,0.039946,0.113945
24,0.200000,0.038644,0.036719,0.188377,0.043650,0.040546,0.069761,0.035378,0.034672,0.232241,0.038311,0.037780,0.274722,0.044022,0.039556,0.165009,0.045020,0.039957,0.113946
25,0.208333,0.038645,0.036724,0.188378,0.043647,0.040546,0.069763,0.035378,0.034670,0.232242,0.038312,0.037777,0.274719,0.044024,0.039558,0.165010,0.045017,0.039947,0.113953
26,0.216667,0.038651,0.036722,0.188380,0.043653,0.040555,0.069758,0.035378,0.034673,0.232238,0.038312,0.037780,0.274718,0.044024,0.039553,0.165013,0.045024,0.039946,0.113950
27,0.225000,0.038646,0.036721,0.188379,0.043649,0.040549,0.069764,0.035380,0.034671,0.232245,0.038316,0.037784,0.274722,0.044026,0.039548,0.165012,0.045021,0.039952,0.113945
28,0.233333,0.038650,0.036726,0.188379,0.043646,0.040546,0.069760,0.035380,0.034669,0.232244,0.038315,0.037776,0.274716,0.044034,0.039562,0.165014,0.045022,0.039959,0.113947
29,0.241667,0.038650,0.036723,0.188375,0.043649,0.040549,0.069762,0.035382,0.034670,0.232238,0.038315,0.037781,0.274718,0.044030,0.039564,0.165017,0.045021,0.039949,0.113949
30,0.250000,0.038653,0.036726,0.188380,0.043651,0.040549,0.069758,0.035382,0.034677,0.232239,0.038320,0.037788,0.274722,0.044031,0.039556,0.165010,0.045024,0.039952,0.113947
31,0.258333,0.038651,0.036730,0.188377,0.043653,0.040543,0.069757,0.035382,0.034673,0.232242,0.038321,0.037787,0.274720,0.044032,0.039557,0.165009,0.045021,0.039949,0.113945
32,0.266667,0.038652,0.036766,0.188392,0.043650,0.040550,0.069759,0.035382,0.034674,0.232241,0.038314,0.037780,0.274720,0.044029,0.039561,0.165015,0.045021,0.039951,0.113945
33,0.275000,0.038650,0.036721,0.188379,0.043651,0.040546,0.069761,0.035377,0.034673,0.232244,0.038315,0.037785,0.274715,0.044028,0.039565,0.165014,0.045021,0.039947,0.113953
34,0.283333,0.038645,0.036722,0.188379,0.043650,0.040548,0.069765,0.035380,0.034670,0.232242,0.038314,0.037790,0.274722,0.044024,0.039563,0.165020,0.045021,0.039949,0.113953
35,0.291667,0.038643,0.036722,0.188382,0.043647,0.040545,0.069762,0.035376,0.034671,0.232244,0.038311,0.037779,0.274722,0.044023,0.039558,0.165013,0.045015,0.039955,0.113948
36,0.300000,0.038648,0.036724,0.188381,0.043643,0.040549,0.069764,0.035377,0.034674,0.232243,0.038317,0.037783,0.274725,0.044025,0.039559,0.165020,0.045014,0.039957,0.113950
37,0.308333,0.038649,0.036728,0.188386,0.043649,0.040545,0.069762,0.035375,0.034673,0.232243,0.038308,0.037774,0.274722,0.044022,0.039556,0.165019,0.045014,0.039954,0.113948
38,0.316667,0.038647,0.036727,0.188380,0.043650,0.040543,0.069763,0.035376,0.034674,0.232245,0.038310,0.037781,0.274723,0.044024,0.039557,0.165013,0.045020,0.039951,0.113951
39,0.325000,0.038645,0.036723,0.188383,0.043653,0.040548,0.069768,0.035380,0.034674,0.232243,0.038311,0.037779,0.274718,0.044152,0.039632,0.164868,0.045016,0.039953,0.113948
40,0.333333,0.038645,0.036728,0.188380,0.043651,0.040546,0.069767,0.035379,0.034677,0.232245,0.038317,0.037777,0.274720,0.044025,0.039563,0.165013,0.045018,0.039953,0.113953
41,0.341667,0.038650,0.036726,0.188382,0.043649,0.040550,0.069763,0.035380,0.034673,0.232243,0.038319,0.037784,0.274722,0.044027,0.039556,0.165017,0.045021,0.039955,0.113955
42,0.350000,0.038650,0.036726,0.188384,0.043650,0.040548,0.069768,0.035380,0.034671,0.232244,0.038314,0.037787,0.274731,0.044029,0.039561,0.165017,0.045020,0.039947,0.113950
43,0.358333,0.038652,0.036727,0.188382,0.043651,0.040547,0.069765,0.035380,0.034673,0.232244,0.038315,0.037781,0.274724,0.044031,0.039556,0.165021,0.045023,0.039953,0.113953
44,0.366667,0.038651,0.036728,0.188383,0.043649,0.040551,0.069767,0.035383,0.034674,0.232244,0.038315,0.037777,0.274720,0.044032,0.039560,0.165018,0.045022,0.039962,0.113953
45,0.375000,0.038647,0.036723,0.188386,0.043652,0.040551,0.069766,0.035379,0.034678,0.232249,0.038308,0.037783,0.274718,0.044027,0.039565,0.165016,0.045020,0.039955,0.113953
46,0.383333,0.038648,0.036724,0.188385,0.043647,0.040542,0.069761,0.035378,0.034680,0.232247,0.038314,0.037784,0.274723,0.044028,0.039556,0.165015,0.045018,0.039955,0.113952
47,0.391667,0.038648,0.036726,0.188382,0.043649,0.040550,0.069764,0.035379,0.034676,0.232247,0.038308,0.037778,0.274722,0.044029,0.039557,0.165016,0.045017,0.039957,0.113950
48,0.400000,0.038650,0.036728,0.188384,0.043648,0.040554,0.069769,0.035374,0.034680,0.232245,0.038311,0.037780,0.274722,0.044029,0.039563,0.165019,0.045017,0.039953,0.113953
49,0.408333,0.038648,0.036724,0.188380,0.043646,0.040545,0.069765,0.035378,0.034672,0.232245,0.038316,0.037779,0.274722,0.044028,0.039561,0.165021,0.045017,0.039952,0.113956
50,0.416667,0.038651,0.036723,0.188384,0.043647,0.040544,0.069762,0.035382,0.034682,0.232249,0.038312,0.037772,0.274720,0.044024,0.039557,0.165017,0.045013,0.039951,0.113953
