Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z,Marker 4 X,Marker 4 Y,Marker 4 Z,Marker 5 X,Marker 5 Y,Marker 5 Z,Marker 6 X,Marker 6 Y,Marker 6 Z
0,0.000000,0.039343,0.042008,0.235856,0.038319,0.043166,0.190429,0.042168,0.044085,0.071568,0.042130,0.043543,0.166472,0.040912,0.044303,0.116186,0.046893,0.040634,0.279054
1,0.008333,0.039345,0.042002,0.235863,0.038312,0.043298,0.190386,0.042172,0.044083,0.071568,0.042134,0.043534,0.166471,0.040916,0.044303,0.116193,0.046900,0.040635,0.279055
2,0.016667,0.039344,0.042006,0.235861,0.038306,0.043294,0.190386,0.042170,0.044081,0.071567,0.042134,0.043538,0.166472,0.040915,0.044309,0.116194,0.046898,0.040638,0.279051
3,0.025000,0.039343,0.041998,0.235858,0.038308,0.043301,0.190384,0.042173,0.044083,0.071566,0.042133,0.043544,0.166473,0.040914,0.044304,0.116193,0.046899,0.040634,0.279052
4,0.033333,0.039346,0.041997,0.235859,0.038305,0.043294,0.190377,0.042169,0.044078,0.071563,0.042131,0.043538,0.166466,0.040913,0.044305,0.116186,0.046898,0.040643,0.279052
5,0.041667,0.039343,0.041997,0.235857,0.038305,0.043299,0.190380,0.042167,0.044082,0.071565,0.042128,0.043549,0.166469,0.040913,0.044306,0.116186,0.046889,0.040628,0.279048
6,0.050000,0.039342,0.042003,0.235852,0.038303,0.043292,0.190375,0.042169,0.044079,0.071560,0.042126,0.043543,0.166466,0.040911,0.044296,0.116184,0.046894,0.040635,0.279047
7,0.058333,0.039339,0.041994,0.235846,0.038308,0.043296,0.190377,0.042164,0.044077,0.071557,0.042131,0.043527,0.166457,0.040911,0.044303,0.116178,0.046894,0.040627,0.279042
8,0.066667,0.039343,0.041997,0.235845,0.038307,0.043295,0.190374,0.042172,0.044077,0.071557,0.042133,0.043546,0.166468,0.040917,0.044297,0.116179,0.046892,0.040623,0.279040
9,0.075000,0.039346,0.041994,0.235850,0.038311,0.043297,0.190375,0.042171,0.044077,0.071558,0.042139,0.043539,0.166472,0.040915,0.044295,0.116182,0.046895,0.040633,0.279046
10,0.083333,0.039348,0.041998,0.235845,0.038315,0.043297,0.190373,0.042174,0.044082,0.071558,0.042136,0.043542,0.166457,0.040998,0.044225,0.116232,0.046901,0.040628,0.279043
11,0.091667,0.039348,0.042000,0.235853,0.038307,0.043300,0.190378,0.042175,0.044082,0.071555,0.042140,0.043533,0.166459,0.041000,0.044227,0.116230,0.046896,0.040627,0.279040
12,0.100000,0.039347,0.041999,0.235854,0.038316,0.043164,0.190421,0.042179,0.044086,0.071559,0.042139,0.043533,0.166465,0.040998,0.044226,0.116222,0.046903,0.040641,0.279049
13,0.108333,0.039345,0.042004,0.235849,0.038309,0.043289,0.190374,0.042178,0.044083,0.071563,0.042137,0.043543,0.166468,0.040920,0.044301,0.116178,0.046902,0.040631,0.279040
14,0.116667,0.039347,0.042001,0.235853,0.038312,0.043303,0.190380,0.042177,0.044074,0.071560,0.042137,0.043543,0.166465,0.040911,0.044296,0.116180,0.046899,0.040632,0.279043
