Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z,Marker 4 X,Marker 4 Y,Marker 4 Z,Marker 5 X,Marker 5 Y,Marker 5 Z,Marker 6 X,Marker 6 Y,Marker 6 Z
0,0,0.022679,0.032401,0.14779,0.029636,0.039545,0.265656,0.026087,0.036999,0.214235,0.02446,0.032984,0.165624,0.022446,0.038263,0.049468,0.020067,0.03532,0.102683
1,0.008333,0.022681,0.032395,0.147787,0.029639,0.039539,0.265658,0.026092,0.036997,0.214236,0.024462,0.032979,0.16562,0.022441,0.038244,0.049472,0.020085,0.035283,0.102719
2,0.016667,0.022683,0.032399,0.147784,0.029637,0.039538,0.265655,0.026144,0.036938,0.214272,0.024463,0.032982,0.165618,0.022444,0.038238,0.049472,0.02007,0.035321,0.102677
3,0.025,0.022681,0.032399,0.147781,0.029635,0.039544,0.265652,0.026086,0.036997,0.214234,0.024458,0.032983,0.165615,0.022441,0.038253,0.049472,0.020069,0.035323,0.102673
4,0.033333,0.022679,0.032397,0.147784,0.029633,0.039537,0.265653,0.026092,0.036989,0.214235,0.024461,0.032979,0.16562,0.022436,0.038247,0.049467,0.020071,0.035314,0.102678
5,0.041667,0.022682,0.032392,0.147785,0.029633,0.039538,0.265652,0.026091,0.036991,0.214235,0.024458,0.032981,0.165616,0.02245,0.03825,0.049465,0.020074,0.035318,0.10268
6,0.05,0.022672,0.032396,0.147782,0.029632,0.039543,0.265652,0.02609,0.036992,0.214236,0.024456,0.032987,0.165621,0.022436,0.038249,0.049468,0.020071,0.035315,0.102671
7,0.058333,0.02268,0.032392,0.147788,0.029637,0.039534,0.265655,0.026085,0.036991,0.214239,0.024464,0.032981,0.165622,0.022443,0.038256,0.049467,0.020066,0.035324,0.102678
8,0.066667,0.022685,0.032403,0.147786,0.029634,0.039543,0.265655,0.026146,0.036945,0.214271,0.02446,0.032981,0.165626,0.022443,0.038251,0.049475,0.020071,0.035319,0.102678
9,0.075,0.022683,0.032388,0.147789,0.029635,0.03954,0.265656,0.026086,0.036998,0.214232,0.024464,0.032985,0.16562,0.022442,0.038252,0.049471,0.020074,0.035311,0.102679
10,0.083333,0.022681,0.032398,0.14779,0.029635,0.039539,0.265655,0.026147,0.036941,0.214278,0.024461,0.032986,0.165625,0.022443,0.038248,0.049473,0.020069,0.035317,0.102676
11,0.091667,0.022684,0.032395,0.147785,0.029636,0.039537,0.265657,0.026086,0.036993,0.214237,0.024459,0.032983,0.165625,0.02244,0.038234,0.049477,0.020066,0.035318,0.102677
12,0.1,0.022683,0.0324,0.147781,0.029635,0.039542,0.265653,0.026093,0.036989,0.214243,0.024462,0.032983,0.165622,0.022443,0.038241,0.049478,0.02007,0.035313,0.102678
13,0.108333,0.022673,0.032392,0.147782,0.029636,0.03954,0.265651,0.026087,0.036993,0.214235,0.024459,0.032983,0.165623,0.022436,0.038246,0.049463,0.020068,0.035319,0.102676
14,0.116667,0.022678,0.032402,0.147787,0.029632,0.039548,0.265653,0.026086,0.036995,0.214235,0.024457,0.032976,0.165619,0.022438,0.038249,0.049473,0.020065,0.035317,0.102676
15,0.125,0.022679,0.032398,0.147789,0.02963,0.03954,0.265656,0.02609,0.036988,0.214237,0.024456,0.032981,0.165623,0.022434,0.038237,0.049469,0.020068,0.03532,0.102678
16,0.133333,0.02268,0.032401,0.147783,0.02963,0.03954,0.265657,0.026086,0.036991,0.214233,0.024458,0.032985,0.165621,0.022436,0.03823,0.049476,0.020079,0.035283,0.10271
17,0.141667,0.02268,0.032393,0.147789,0.029633,0.039544,0.265653,0.026088,0.036994,0.214232,0.024456,0.032982,0.165621,0.022433,0.038238,0.049479,0.020067,0.035317,0.102677
18,0.15,0.02268,0.03239,0.147792,0.029637,0.03954,0.265657,0.02609,0.036993,0.21424,0.02446,0.032988,0.165624,0.022444,0.038235,0.04947,0.020071,0.035318,0.10268
19,0.158333,0.02268,0.032408,0.147782,0.029633,0.03954,0.265654,0.026091,0.036996,0.214239,0.02446,0.03298,0.165622,0.022438,0.038245,0.049475,0.02007,0.035318,0.102675
20,0.166667,0.022687,0.0324,0.147789,0.029635,0.03954,0.265656,0.026088,0.036999,0.214236,0.02446,0.032982,0.16562,0.022438,0.038252,0.049469,0.020082,0.035285,0.102716
21,0.175,0.022677,0.032393,0.147789,0.029633,0.039542,0.265655,0.026089,0.036992,0.214241,0.024458,0.032988,0.165623,0.022433,0.038248,0.049473,0.020069,0.035319,0.10268
22,0.183333,0.02268,0.032396,0.147788,0.029634,0.039542,0.265657,0.026089,0.036994,0.214238,0.02446,0.032981,0.165625,0.022446,0.038249,0.04947,0.020068,0.035313,0.102682
23,0.191667,0.022678,0.0324,0.147788,0.029632,0.039545,0.265659,0.02608,0.036996,0.214238,0.024456,0.032979,0.165621,0.022437,0.038249,0.049466,0.020068,0.035317,0.102681
24,0.2,0.022677,0.032396,0.14779,0.029632,0.039538,0.265655,0.026087,0.036994,0.214232,0.024456,0.032978,0.165623,0.022438,0.03825,0.049466,0.020072,0.035321,0.10268
25,0.208333,0.022676,0.032399,0.147794,0.029631,0.039543,0.265654,0.026089,0.036996,0.214242,0.024461,0.032984,0.165624,0.022436,0.038236,0.049479,0.020065,0.035313,0.102677
26,0.216667,0.022677,0.032394,0.147787,0.029631,0.039541,0.265657,0.026089,0.036994,0.214238,0.02446,0.032983,0.165629,0.022434,0.038241,0.049478,0.020064,0.035322,0.102679
27,0.225,0.022679,0.032397,0.147792,0.029637,0.039545,0.265659,0.026137,0.036949,0.214267,0.024458,0.032985,0.165624,0.022438,0.038256,0.049469,0.020067,0.035319,0.102684
28,0.233333,0.022676,0.032395,0.147788,0.029634,0.039543,0.265659,0.026093,0.036992,0.214246,0.024457,0.032984,0.165626,0.02244,0.03826,0.049474,0.02007,0.035324,0.102684
29,0.241667,0.022681,0.032398,0.147796,0.029635,0.039543,0.265658,0.026087,0.036997,0.214242,0.024461,0.032987,0.165623,0.022443,0.03824,0.049483,0.02007,0.035317,0.10268
30,0.25,0.022683,0.032396,0.147792,0.029636,0.039543,0.265657,0.02614,0.036949,0.214278,0.02446,0.032987,0.165628,0.022442,0.038257,0.049467,0.020075,0.035323,0.102684
31,0.258333,0.02268,0.032397,0.147786,0.029633,0.039544,0.26566,0.026086,0.036996,0.214242,0.024462,0.032981,0.165627,0.022436,0.038239,0.049477,0.020084,0.035283,0.102721
32,0.266667,0.022678,0.032397,0.147788,0.029632,0.039546,0.26566,0.026146,0.036945,0.214276,0.02446,0.032985,0.165624,0.02243,0.038238,0.049479,0.020076,0.035317,0.102679
33,0.275,0.022674,0.032401,0.147785,0.029635,0.039539,0.26566,0.02609,0.036999,0.214243,0.024455,0.032984,0.165626,0.022434,0.038237,0.049472,0.020072,0.035319,0.102679
34,0.283333,0.022677,0.032399,0.147791,0.029634,0.039546,0.265657,0.026088,0.037004,0.21424,0.024459,0.032979,0.165623,0.022441,0.038257,0.049473,0.02007,0.035317,0.102682
35,0.291667,0.022676,0.032395,0.147786,0.029637,0.039541,0.265655,0.026086,0.036997,0.21424,0.024461,0.032984,0.165625,0.022435,0.038244,0.049477,0.020073,0.035316,0.10268
36,0.3,0.02268,0.032398,0.147785,0.029631,0.039539,0.265656,0.026086,0.036999,0.214242,0.024461,0.032988,0.165622,0.022441,0.038244,0.049478,0.020067,0.035319,0.102676
37,0.308333,0.022679,0.032398,0.147792,0.029633,0.039539,0.265657,0.02609,0.036996,0.214237,0.024461,0.032982,0.165622,0.02244,0.038254,0.049466,0.020071,0.035315,0.102675
38,0.316667,0.02268,0.032396,0.147789,0.029629,0.039536,0.265658,0.02609,0.036993,0.214239,0.024457,0.03298,0.165621,0.022432,0.038235,0.049479,0.020071,0.035321,0.102681
39,0.325,0.022678,0.032395,0.147791,0.029632,0.039543,0.265655,0.026146,0.036946,0.214272,0.024456,0.032979,0.165625,0.022442,0.038241,0.049476,0.020084,0.035281,0.102721
40,0.333333,0.022677,0.032398,0.147792,0.02963,0.039538,0.265657,0.026087,0.036996,0.214239,0.024457,0.032982,0.165627,0.022446,0.038248,0.049479,0.020068,0.035323,0.10268
41,0.341667,0.02268,0.032401,0.147784,0.029631,0.039535,0.265659,0.026086,0.036999,0.214241,0.024459,0.032982,0.165626,0.022438,0.038224,0.049481,0.020067,0.035314,0.10268
42,0.35,0.022675,0.032395,0.14779,0.029633,0.039541,0.265657,0.026085,0.036998,0.214245,0.02446,0.032984,0.165626,0.022434,0.038239,0.049483,0.02006,0.035314,0.10268
43,0.358333,0.022676,0.032398,0.147792,0.029631,0.039539,0.265657,0.026083,0.036996,0.21424,0.024455,0.032982,0.165621,0.022433,0.038248,0.049478,0.020068,0.035319,0.102679
