Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z,Marker 4 X,Marker 4 Y,Marker 4 Z,Marker 5 X,Marker 5 Y,Marker 5 Z,Marker 6 X,Marker 6 Y,Marker 6 Z
0,0,0.035037,0.032417,0.210978,0.037324,0.032497,0.162583,0.034074,0.032776,0.26233,0.038136,0.033026,0.143942,0.040172,0.036342,0.098328,0.047143,0.036952,0.045384
1,0.008333,0.035039,0.032411,0.210979,0.037328,0.032496,0.162586,0.034077,0.032771,0.262332,0.038133,0.033019,0.143939,0.040172,0.036338,0.098331,0.047145,0.03696,0.045386
2,0.016667,0.035029,0.032405,0.210974,0.037326,0.032493,0.162582,0.034072,0.032766,0.262329,0.038136,0.03302,0.143944,0.04017,0.036342,0.098332,0.047143,0.036961,0.045386
3,0.025,0.035039,0.032412,0.210985,0.037328,0.032493,0.162586,0.034075,0.03277,0.262332,0.038133,0.033023,0.14394,0.040172,0.036335,0.098329,0.04714,0.036959,0.045387
4,0.033333,0.035036,0.032412,0.210986,0.03733,0.032497,0.162587,0.034073,0.032769,0.262332,0.038134,0.033028,0.143944,0.040169,0.036344,0.098329,0.04714,0.036952,0.045395
5,0.041667,0.035036,0.032416,0.210983,0.037325,0.032492,0.162588,0.034072,0.032767,0.262335,0.038132,0.033021,0.143942,0.040168,0.036337,0.098331,0.047138,0.036951,0.045394
6,0.05,0.035035,0.032411,0.210986,0.037327,0.032494,0.162593,0.034069,0.032776,0.262334,0.038132,0.033028,0.143945,0.040174,0.036341,0.098334,0.047142,0.036964,0.045394
7,0.058333,0.035034,0.03241,0.210984,0.037329,0.032496,0.162591,0.034075,0.032774,0.262335,0.038132,0.033024,0.143944,0.040173,0.036333,0.098334,0.047144,0.036955,0.045392
8,0.066667,0.035035,0.032415,0.210979,0.037328,0.032497,0.162586,0.034078,0.032774,0.262335,0.038135,0.033023,0.143941,0.040175,0.036343,0.098334,0.047136,0.036961,0.045395
9,0.075,0.035038,0.032415,0.210983,0.037326,0.032501,0.162583,0.034076,0.032772,0.262335,0.038135,0.033025,0.14394,0.040175,0.036345,0.098329,0.047138,0.03696,0.045391
10,0.083333,0.035036,0.03241,0.210985,0.037328,0.03249,0.162586,0.034071,0.032772,0.262331,0.038134,0.033022,0.143939,0.04017,0.036348,0.098328,0.047134,0.036963,0.045382
11,0.091667,0.035036,0.032415,0.210978,0.037327,0.032501,0.162582,0.034077,0.032773,0.262333,0.038133,0.033022,0.143939,0.040173,0.036346,0.098331,0.047138,0.036963,0.045387
12,0.1,0.035032,0.032412,0.21098,0.037326,0.0325,0.162583,0.034071,0.03277,0.262334,0.038132,0.033025,0.143935,0.040168,0.036336,0.098327,0.047136,0.036955,0.045389
13,0.108333,0.035037,0.032411,0.210981,0.037327,0.032497,0.162583,0.034074,0.03277,0.262332,0.038134,0.033022,0.143941,0.040171,0.036339,0.098331,0.047134,0.036953,0.045393
14,0.116667,0.035037,0.032416,0.210988,0.037328,0.032502,0.162589,0.034073,0.032774,0.262338,0.038131,0.033019,0.143943,0.040172,0.036348,0.098336,0.047137,0.036962,0.045386
15,0.125,0.035038,0.032413,0.210988,0.037327,0.032493,0.162591,0.034073,0.032773,0.262338,0.038134,0.03302,0.143953,0.040172,0.036338,0.098337,0.047138,0.03696,0.045395
16,0.133333,0.035034,0.032412,0.210988,0.037328,0.032497,0.162593,0.034073,0.032771,0.262343,0.03813,0.033024,0.143948,0.040172,0.036347,0.098336,0.047138,0.036961,0.045395
17,0.141667,0.035036,0.032416,0.21099,0.037326,0.032494,0.162591,0.034074,0.032773,0.262342,0.038133,0.033028,0.143947,0.040172,0.036348,0.098335,0.047141,0.036963,0.045402
18,0.15,0.03504,0.03241,0.210987,0.037327,0.0325,0.16259,0.034074,0.032772,0.262337,0.038135,0.033026,0.143945,0.040172,0.036342,0.098331,0.04714,0.036951,0.045394
