Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z,Marker 4 X,Marker 4 Y,Marker 4 Z,Marker 5 X,Marker 5 Y,Marker 5 Z,Marker 6 X,Marker 6 Y,Marker 6 Z
0,0,-0.008294,0.038976,0.329664,-0.005993,0.035284,0.229688,-0.008025,0.037366,0.277608,-0.00467,0.035514,0.211104,-0.005693,0.037119,0.166342,-0.001927,0.038106,0.113884
1,0.008333,-0.008294,0.03897,0.32966,-0.005993,0.035287,0.229685,-0.008026,0.037359,0.277603,-0.004668,0.035513,0.211101,-0.005695,0.037117,0.166341,-0.00193,0.038097,0.113885
2,0.016667,-0.008298,0.038971,0.329655,-0.005995,0.03528,0.229683,-0.008029,0.037359,0.277603,-0.004668,0.035511,0.2111,-0.005697,0.037112,0.166338,-0.001926,0.038094,0.113879
3,0.025,-0.008292,0.038974,0.329657,-0.005994,0.03528,0.229681,-0.008029,0.03736,0.277601,-0.004669,0.035516,0.211097,-0.0057,0.037119,0.166333,-0.00193,0.038095,0.113883
4,0.033333,-0.008293,0.038967,0.329658,-0.005991,0.035287,0.229686,-0.008024,0.037355,0.277606,-0.004669,0.035516,0.211104,-0.005694,0.037118,0.166338,-0.001926,0.038107,0.113886
5,0.041667,-0.008294,0.038975,0.329664,-0.00599,0.035286,0.229692,-0.008024,0.037364,0.277608,-0.004669,0.035512,0.211107,-0.005692,0.037116,0.166346,-0.001928,0.038102,0.113893
6,0.05,-0.00829,0.038976,0.329667,-0.005989,0.035287,0.229694,-0.008022,0.037367,0.277612,-0.004667,0.035516,0.211112,-0.005692,0.037122,0.166351,-0.001925,0.038104,0.113898
7,0.058333,-0.008288,0.038976,0.329675,-0.005986,0.035287,0.229701,-0.00802,0.037366,0.277615,-0.004665,0.035516,0.211115,-0.00569,0.037126,0.166353,-0.001921,0.038117,0.113892
8,0.066667,-0.00829,0.038982,0.329673,-0.005989,0.035292,0.229697,-0.008018,0.037366,0.277617,-0.00466,0.035514,0.211119,-0.00569,0.037122,0.166353,-0.001923,0.038111,0.113893
9,0.075,-0.008288,0.038976,0.329672,-0.005989,0.035286,0.229698,-0.008018,0.037367,0.277614,-0.004664,0.035516,0.211112,-0.005689,0.037121,0.166354,-0.001924,0.038108,0.113892
10,0.083333,-0.008288,0.038982,0.329672,-0.005989,0.035283,0.229694,-0.008019,0.037364,0.277614,-0.004662,0.03552,0.21111,-0.005692,0.037125,0.166348,-0.001922,0.038113,0.113891
11,0.091667,-0.008291,0.038976,0.329665,-0.005989,0.035286,0.229687,-0.008024,0.037364,0.277607,-0.004661,0.035518,0.211107,-0.005693,0.037122,0.166343,-0.001921,0.038107,0.113887
12,0.1,-0.008293,0.038975,0.329657,-0.005991,0.03528,0.229683,-0.008025,0.037365,0.277604,-0.004666,0.035516,0.211101,-0.005695,0.037117,0.166336,-0.001928,0.0381,0.11388
