Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z,Marker 4 X,Marker 4 Y,Marker 4 Z,Marker 5 X,Marker 5 Y,Marker 5 Z,Marker 6 X,Marker 6 Y,Marker 6 Z
0,0,0.067333,0.05026,0.079896,0.067754,0.038324,0.294356,0.070903,0.045488,0.131933,0.074507,0.038157,0.24316,0.077029,0.04245,0.176151,0.077386,0.040556,0.194944
1,0.008333,0.067336,0.050258,0.079901,0.067756,0.038326,0.294359,0.070904,0.045496,0.13194,0.07451,0.038158,0.243161,0.07703,0.042455,0.176154,0.077385,0.040556,0.194946
2,0.016667,0.067337,0.050264,0.079899,0.067753,0.038326,0.294363,0.070903,0.045495,0.131942,0.074509,0.038163,0.243169,0.077031,0.042453,0.176155,0.077387,0.040556,0.194949
3,0.025,0.067336,0.050267,0.0799,0.067753,0.038322,0.294364,0.070902,0.045498,0.131939,0.074511,0.038161,0.243162,0.077028,0.042454,0.176155,0.077388,0.040559,0.19495
4,0.033333,0.067332,0.050263,0.079895,0.067754,0.038324,0.294358,0.070899,0.045496,0.131938,0.074509,0.038159,0.243168,0.07703,0.042453,0.17615,0.077386,0.040556,0.194948
5,0.041667,0.067337,0.050258,0.079897,0.067753,0.038324,0.294355,0.070901,0.04549,0.131935,0.074507,0.038156,0.243159,0.077027,0.042451,0.176147,0.077386,0.040555,0.194943
6,0.05,0.067331,0.050252,0.079891,0.067749,0.038322,0.294351,0.070903,0.04549,0.131936,0.074512,0.038152,0.243156,0.077026,0.042452,0.176144,0.077384,0.040551,0.19494
7,0.058333,0.067336,0.05026,0.079888,0.067754,0.038325,0.294349,0.070902,0.045495,0.131928,0.074508,0.038155,0.243154,0.077034,0.042454,0.17614,0.077383,0.040551,0.194937
8,0.066667,0.067336,0.050257,0.079885,0.067753,0.038321,0.294347,0.070899,0.04549,0.131923,0.07451,0.038158,0.243154,0.077032,0.042453,0.176138,0.077384,0.040554,0.194935
9,0.075,0.067337,0.05026,0.079883,0.067753,0.038325,0.294348,0.070904,0.045489,0.131928,0.07451,0.038152,0.243154,0.077031,0.04245,0.176144,0.077385,0.040554,0.194936
10,0.083333,0.067337,0.050262,0.07989,0.067752,0.038326,0.294355,0.070905,0.045495,0.131931,0.074507,0.038155,0.243156,0.07703,0.042454,0.176142,0.077387,0.04055,0.194938
11,0.091667,0.067337,0.05026,0.079899,0.067752,0.038323,0.294356,0.070903,0.045496,0.131937,0.07451,0.038157,0.243161,0.077032,0.042453,0.17615,0.077383,0.040552,0.194941
12,0.1,0.067332,0.050263,0.079892,0.067756,0.038326,0.294361,0.070904,0.045497,0.131938,0.074507,0.038155,0.243163,0.077028,0.042452,0.176153,0.077388,0.040555,0.194946
13,0.108333,0.067335,0.050259,0.079898,0.067756,0.038326,0.294361,0.070901,0.045497,0.131945,0.07451,0.038157,0.243165,0.077026,0.042456,0.176156,0.077384,0.040559,0.194947
14,0.116667,0.067331,0.050258,0.079895,0.067752,0.038323,0.294359,0.070903,0.045495,0.131939,0.07451,0.038155,0.243161,0.077024,0.042454,0.176151,0.077381,0.040556,0.194947
15,0.125,0.067331,0.050261,0.079899,0.06775,0.038326,0.294357,0.070899,0.04549,0.131935,0.074506,0.038158,0.24316,0.077024,0.042456,0.176144,0.077382,0.040551,0.194945
16,0.133333,0.06733,0.050257,0.079891,0.06775,0.038321,0.294352,0.070899,0.045492,0.131934,0.074504,0.038149,0.243158,0.077025,0.042449,0.176148,0.077383,0.040552,0.194944
17,0.141667,0.06733,0.050259,0.079893,0.067749,0.038322,0.294348,0.070898,0.04549,0.131931,0.074505,0.038147,0.243156,0.077022,0.042453,0.17614,0.077383,0.040556,0.194941
18,0.15,0.067332,0.050255,0.079889,0.067752,0.038323,0.294349,0.070898,0.045487,0.131927,0.074504,0.038153,0.243155,0.077025,0.042452,0.176144,0.077383,0.040549,0.194934
19,0.158333,0.06733,0.050261,0.079885,0.067749,0.038325,0.294351,0.070899,0.045494,0.131933,0.074508,0.038158,0.243153,0.077025,0.042455,0.176141,0.07738,0.040553,0.194936
20,0.166667,0.067331,0.050259,0.079888,0.067752,0.03832,0.294354,0.070898,0.045492,0.131932,0.074508,0.038158,0.243156,0.077025,0.042449,0.176143,0.077381,0.040554,0.194944
21,0.175,0.067336,0.050264,0.079893,0.06775,0.038326,0.294357,0.070898,0.045494,0.131935,0.074508,0.038154,0.243159,0.077026,0.042453,0.176147,0.077381,0.040551,0.194944
22,0.183333,0.067332,0.050257,0.079899,0.067752,0.038325,0.294361,0.0709,0.045495,0.131936,0.074504,0.038155,0.243165,0.077024,0.042452,0.176151,0.077381,0.040556,0.194943
23,0.191667,0.067334,0.050262,0.079896,0.067753,0.038323,0.294358,0.070899,0.045495,0.131938,0.07451,0.038156,0.243166,0.077024,0.042452,0.17615,0.077382,0.040552,0.194945
24,0.2,0.067335,0.050259,0.0799,0.067751,0.038327,0.294362,0.070901,0.045493,0.131942,0.074507,0.038157,0.243166,0.077026,0.042455,0.176152,0.077384,0.040553,0.194948
25,0.208333,0.067334,0.05026,0.079893,0.067749,0.038329,0.294359,0.070904,0.045494,0.13194,0.07451,0.038157,0.243165,0.077027,0.042456,0.176154,0.077384,0.040556,0.194947
26,0.216667,0.067333,0.050257,0.079892,0.067751,0.038328,0.294356,0.070903,0.045495,0.131937,0.07451,0.038159,0.243164,0.077031,0.042458,0.176152,0.077387,0.040551,0.194946
27,0.225,0.067335,0.050265,0.079892,0.067754,0.038324,0.294357,0.070903,0.04549,0.131936,0.074508,0.038153,0.24316,0.077029,0.042459,0.176147,0.077384,0.040549,0.194943
28,0.233333,0.067336,0.050261,0.07989,0.067755,0.038323,0.294351,0.070904,0.045493,0.131932,0.074511,0.038157,0.243158,0.07703,0.042452,0.176144,0.077386,0.040553,0.194944
29,0.241667,0.067333,0.050254,0.079885,0.067755,0.038317,0.294351,0.070903,0.045489,0.131933,0.074508,0.038153,0.243157,0.07703,0.042453,0.176144,0.077385,0.040551,0.19494
30,0.25,0.067334,0.050255,0.079888,0.067754,0.038323,0.294349,0.070899,0.045492,0.131929,0.074509,0.03815,0.243155,0.077027,0.042448,0.176143,0.077386,0.04055,0.19494
31,0.258333,0.067336,0.050253,0.079892,0.067752,0.03832,0.294352,0.070904,0.045493,0.131932,0.074509,0.038158,0.243154,0.077026,0.042455,0.176144,0.077384,0.040552,0.194939
32,0.266667,0.067331,0.050259,0.079888,0.067752,0.038326,0.294353,0.070899,0.045492,0.131932,0.074507,0.038158,0.243157,0.077028,0.042453,0.176146,0.077381,0.040553,0.194941
33,0.275,0.067334,0.050259,0.079896,0.067749,0.038323,0.294357,0.070903,0.045488,0.131937,0.074509,0.038157,0.243163,0.077027,0.042456,0.176147,0.077384,0.040556,0.194949
34,0.283333,0.067332,0.05026,0.079898,0.067754,0.038324,0.294357,0.070903,0.04549,0.131945,0.074511,0.038159,0.243162,0.077029,0.042452,0.176151,0.07738,0.040553,0.194947
35,0.291667,0.067333,0.050257,0.079898,0.067751,0.038325,0.294361,0.070902,0.045495,0.131941,0.074508,0.038158,0.243163,0.077027,0.042451,0.176158,0.077385,0.040556,0.19495
36,0.3,0.067335,0.050264,0.079901,0.067753,0.038329,0.294361,0.070901,0.045491,0.131938,0.074506,0.038159,0.243164,0.077027,0.042457,0.176154,0.077384,0.040555,0.19495
37,0.308333,0.067331,0.050265,0.079896,0.067749,0.038329,0.294364,0.070894,0.045492,0.131939,0.074507,0.038156,0.243166,0.077023,0.042454,0.176151,0.07738,0.040555,0.194948
38,0.316667,0.067331,0.050263,0.079896,0.06775,0.038325,0.294361,0.070898,0.045487,0.131939,0.074504,0.038157,0.243163,0.077023,0.042457,0.176147,0.077383,0.040555,0.194942
39,0.325,0.067332,0.050253,0.079889,0.067747,0.038326,0.294354,0.070898,0.04549,0.131935,0.0745,0.038157,0.24316,0.077024,0.042452,0.176148,0.077378,0.040556,0.194941
40,0.333333,0.067331,0.050255,0.079891,0.067748,0.038325,0.294355,0.070898,0.045488,0.131932,0.074503,0.038156,0.243158,0.077021,0.04245,0.176145,0.07738,0.040551,0.194937
41,0.341667,0.067326,0.050257,0.079885,0.067747,0.038323,0.294353,0.070898,0.045489,0.131931,0.074505,0.038152,0.243157,0.07702,0.042454,0.176144,0.077378,0.040547,0.19494
42,0.35,0.067332,0.050259,0.079889,0.067751,0.038322,0.294351,0.070899,0.04549,0.131932,0.074503,0.038154,0.243159,0.077022,0.042451,0.176141,0.07738,0.040547,0.194944
43,0.358333,0.067332,0.050258,0.079891,0.067752,0.038322,0.294356,0.0709,0.045493,0.131936,0.074508,0.038155,0.243153,0.077026,0.042451,0.176147,0.077381,0.040555,0.194941
44,0.366667,0.06733,0.050252,0.079897,0.067751,0.038324,0.294358,0.070904,0.045494,0.13194,0.074504,0.038154,0.243163,0.077026,0.042457,0.17615,0.077385,0.040557,0.194945
45,0.375,0.067331,0.050266,0.079898,0.067755,0.038331,0.29436,0.0709,0.045493,0.13194,0.074508,0.038159,0.243165,0.077028,0.042452,0.176153,0.077384,0.040552,0.194951
46,0.383333,0.067332,0.05026,0.079899,0.067753,0.038328,0.294362,0.070902,0.045493,0.131944,0.074507,0.03816,0.243169,0.077028,0.042455,0.176156,0.077387,0.040559,0.194952
47,0.391667,0.067333,0.050262,0.079902,0.067753,0.038332,0.294361,0.070903,0.045495,0.131942,0.074505,0.038163,0.243165,0.077028,0.042456,0.176155,0.077383,0.040555,0.194951
48,0.4,0.067331,0.05026,0.079896,0.067754,0.038329,0.29436,0.070901,0.045495,0.13194,0.074506,0.038158,0.243163,0.077027,0.042447,0.17615,0.077383,0.040558,0.194945
49,0.408333,0.06733,0.050264,0.079899,0.067752,0.038326,0.29436,0.070899,0.045496,0.131932,0.074505,0.038158,0.243162,0.077024,0.042455,0.176145,0.077381,0.040555,0.194942
50,0.416667,0.067335,0.050255,0.079887,0.067752,0.038324,0.294355,0.0709,0.045496,0.13193,0.074508,0.038153,0.243156,0.077026,0.042451,0.176148,0.077383,0.040552,0.194943
51,0.425,0.067334,0.050251,0.079895,0.067752,0.038323,0.29435,0.070897,0.045489,0.131928,0.07451,0.03815,0.24316,0.077023,0.042449,0.176141,0.077381,0.040554,0.194943
52,0.433333,0.067333,0.050256,0.079887,0.06775,0.038323,0.294349,0.070899,0.045486,0.131933,0.074511,0.038157,0.243155,0.077024,0.042452,0.17614,0.07738,0.04055,0.194938
53,0.441667,0.067332,0.050257,0.07989,0.067754,0.038325,0.294355,0.0709,0.045492,0.131931,0.07451,0.038149,0.243158,0.077027,0.042453,0.176145,0.077385,0.040553,0.19494
54,0.45,0.067332,0.05026,0.079894,0.067752,0.038324,0.294353,0.0709,0.045488,0.131937,0.074506,0.038155,0.243158,0.077025,0.042454,0.176147,0.077381,0.04055,0.194944
55,0.458333,0.067333,0.050259,0.079895,0.067753,0.038326,0.29436,0.070902,0.045491,0.13194,0.074506,0.038157,0.243162,0.077027,0.042456,0.176149,0.077382,0.040553,0.194943
56,0.466667,0.067331,0.050264,0.079898,0.067751,0.038324,0.294362,0.070897,0.045494,0.131944,0.074508,0.038156,0.243163,0.077029,0.042453,0.176153,0.077385,0.040553,0.194949
57,0.475,0.067332,0.050262,0.079899,0.067751,0.038327,0.294362,0.070898,0.045496,0.131942,0.074506,0.03816,0.243165,0.077026,0.042452,0.176153,0.077381,0.040558,0.194947
58,0.483333,0.067329,0.050258,0.079896,0.067748,0.038324,0.29436,0.070901,0.045491,0.131941,0.074507,0.038157,0.243166,0.077024,0.042449,0.176151,0.07738,0.040555,0.194949
59,0.491667,0.067331,0.050258,0.0799,0.067751,0.038325,0.294359,0.070898,0.045494,0.131941,0.074504,0.038157,0.243164,0.077022,0.042451,0.17615,0.077382,0.040552,0.194945
