Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z,Marker 4 X,Marker 4 Y,Marker 4 Z,Marker 5 X,Marker 5 Y,Marker 5 Z,Marker 6 X,Marker 6 Y,Marker 6 Z
0,0,0.265279,0.062066,0.209712,0.267898,0.054168,0.260406,0.25831,0.074166,0.088831,0.264922,0.065474,0.196165,0.262157,0.071319,0.14016,0.269841,0.050086,0.310274
1,0.008333,0.258309,0.074165,0.08883,0.262153,0.071313,0.140161,0.264903,0.065486,0.196185,0.265282,0.062066,0.209721,0.267893,0.05417,0.260412,0.269838,0.050083,0.310275
2,0.016667,0.258312,0.074166,0.088829,0.262156,0.071315,0.140161,0.264925,0.065476,0.196164,0.26528,0.062067,0.209716,0.267897,0.054168,0.260412,0.269842,0.050081,0.310274
3,0.025,0.258311,0.074169,0.08883,0.262157,0.071319,0.140167,0.264922,0.065473,0.196166,0.265281,0.062064,0.209715,0.267899,0.054166,0.260412,0.26984,0.050086,0.310274
4,0.033333,0.258313,0.074169,0.088831,0.262158,0.071315,0.14016,0.264909,0.06549,0.196186,0.265286,0.062061,0.20972,0.2679,0.054172,0.260413,0.26984,0.050084,0.310278
5,0.041667,0.258314,0.07417,0.088831,0.262159,0.071318,0.140164,0.264909,0.065493,0.196184,0.265286,0.062073,0.209718,0.267898,0.054169,0.260411,0.269841,0.050086,0.310277
6,0.05,0.258315,0.074165,0.088831,0.262162,0.071316,0.140158,0.264927,0.065471,0.196163,0.265285,0.062065,0.209716,0.267899,0.054169,0.260408,0.269843,0.050079,0.310273
7,0.058333,0.258317,0.07417,0.088831,0.26216,0.071316,0.14016,0.264927,0.065476,0.196167,0.265288,0.062066,0.209716,0.267897,0.054171,0.260407,0.269845,0.050089,0.310271
8,0.066667,0.258319,0.074168,0.088828,0.262163,0.071311,0.140158,0.264928,0.065469,0.196163,0.265285,0.062066,0.209713,0.2679,0.054165,0.260406,0.269843,0.050085,0.310273
9,0.075,0.258317,0.074172,0.088827,0.26216,0.071315,0.140155,0.264934,0.06548,0.196163,0.26529,0.062065,0.209713,0.267902,0.05417,0.260409,0.269845,0.050084,0.310271
10,0.083333,0.258316,0.074169,0.088827,0.26216,0.071313,0.140155,0.264926,0.065467,0.196159,0.265287,0.06207,0.20971,0.267897,0.054169,0.260405,0.269844,0.050083,0.310272
11,0.091667,0.258316,0.07417,0.088826,0.262161,0.071312,0.140156,0.264934,0.065467,0.196162,0.265288,0.06207,0.209712,0.267901,0.05417,0.260408,0.269849,0.050087,0.310271
12,0.1,0.258313,0.074166,0.088827,0.262165,0.071318,0.14016,0.264931,0.065473,0.196163,0.265287,0.062062,0.20971,0.267901,0.054167,0.260407,0.269845,0.050084,0.31027
13,0.108333,0.258312,0.074167,0.088829,0.262161,0.071314,0.14016,0.264932,0.065471,0.196162,0.265289,0.062067,0.209714,0.267902,0.054169,0.260413,0.269847,0.050083,0.310274
14,0.116667,0.258312,0.074166,0.088829,0.262161,0.071315,0.140162,0.264928,0.065473,0.196166,0.265285,0.062068,0.209716,0.2679,0.054171,0.260408,0.269844,0.050083,0.310275
15,0.125,0.258311,0.074167,0.088831,0.262158,0.071316,0.140162,0.264908,0.065485,0.196186,0.265283,0.062063,0.209713,0.2679,0.054169,0.260409,0.269842,0.050086,0.310276
16,0.133333,0.258312,0.074175,0.088828,0.262159,0.071314,0.140159,0.264931,0.065471,0.196166,0.265284,0.062067,0.209712,0.267899,0.05417,0.260408,0.269844,0.050088,0.310273
17,0.141667,0.258311,0.074169,0.088831,0.262155,0.071319,0.140158,0.264924,0.065474,0.19617,0.265282,0.062066,0.209715,0.267898,0.05417,0.260409,0.26984,0.050085,0.310271
18,0.15,0.258315,0.074171,0.08883,0.262159,0.071317,0.140162,0.264924,0.065476,0.196165,0.265281,0.062066,0.209715,0.267897,0.054167,0.26041,0.269844,0.050083,0.310274
19,0.158333,0.258309,0.074168,0.088833,0.262155,0.071316,0.140161,0.264924,0.065466,0.196165,0.265283,0.062062,0.209717,0.267894,0.054168,0.260408,0.26984,0.050083,0.310273
20,0.166667,0.258312,0.07417,0.088835,0.262156,0.071317,0.140161,0.264928,0.06548,0.196171,0.265283,0.062067,0.209717,0.267899,0.054172,0.260412,0.269842,0.050081,0.310275
21,0.175,0.258311,0.07417,0.088834,0.262157,0.071318,0.140162,0.264926,0.065476,0.196164,0.265281,0.062063,0.209714,0.267896,0.05417,0.260414,0.269839,0.050081,0.310276
22,0.183333,0.25831,0.07417,0.088836,0.262157,0.071318,0.140166,0.264906,0.065487,0.196183,0.265285,0.062067,0.209724,0.267898,0.054172,0.260414,0.269841,0.050086,0.310281
23,0.191667,0.258308,0.07417,0.088837,0.262156,0.071315,0.140164,0.264927,0.065475,0.196169,0.265283,0.062065,0.209719,0.267898,0.054166,0.260416,0.269841,0.05008,0.310278
24,0.2,0.258308,0.074166,0.088828,0.262156,0.071319,0.140164,0.264904,0.065487,0.196184,0.265283,0.062067,0.20972,0.267898,0.054171,0.260411,0.269839,0.050085,0.310281
25,0.208333,0.258312,0.074167,0.088833,0.262159,0.071316,0.140158,0.264927,0.06548,0.196167,0.26528,0.062072,0.209711,0.267898,0.054172,0.26041,0.269841,0.050088,0.310275
26,0.216667,0.258311,0.074171,0.088833,0.262157,0.071314,0.140159,0.264925,0.06547,0.196165,0.265282,0.062064,0.209717,0.267896,0.054168,0.260409,0.269839,0.050083,0.310276
27,0.225,0.258315,0.07417,0.088832,0.262161,0.071316,0.140159,0.264928,0.065479,0.196163,0.265286,0.062065,0.209714,0.267902,0.054171,0.260408,0.269845,0.050085,0.310275
28,0.233333,0.258314,0.074169,0.088828,0.262158,0.071313,0.140159,0.264922,0.065473,0.196165,0.265281,0.062064,0.209713,0.267897,0.054171,0.260408,0.269841,0.050087,0.310272
29,0.241667,0.258317,0.074166,0.088827,0.26216,0.071316,0.140156,0.26493,0.065477,0.196163,0.265286,0.062066,0.209708,0.267903,0.054173,0.260406,0.269845,0.050083,0.310274
30,0.25,0.258313,0.074166,0.088825,0.262161,0.07132,0.140156,0.264931,0.065476,0.196164,0.265285,0.062064,0.209715,0.267901,0.054168,0.260405,0.269843,0.050081,0.310269
31,0.258333,0.258314,0.074168,0.088827,0.262162,0.071314,0.140155,0.264931,0.065473,0.196162,0.265289,0.062069,0.209712,0.267901,0.05417,0.260406,0.269847,0.050084,0.310275
32,0.266667,0.258312,0.074168,0.088827,0.262161,0.071313,0.140158,0.264929,0.065473,0.196162,0.265289,0.062068,0.209712,0.267901,0.054168,0.260408,0.269845,0.050085,0.310271
33,0.275,0.258314,0.074167,0.088829,0.262162,0.071314,0.14016,0.264911,0.065484,0.196184,0.265286,0.062062,0.209718,0.267901,0.054169,0.260411,0.269843,0.050083,0.310273
34,0.283333,0.258312,0.074171,0.088835,0.26216,0.071316,0.14016,0.264924,0.065471,0.196167,0.265286,0.062066,0.209713,0.267904,0.054168,0.260409,0.269845,0.050087,0.310273
35,0.291667,0.258311,0.074166,0.088831,0.262154,0.071316,0.14016,0.264926,0.06547,0.196166,0.265285,0.06207,0.209718,0.267898,0.054171,0.260412,0.26984,0.050084,0.310277
36,0.3,0.258311,0.07417,0.088831,0.262158,0.071317,0.140161,0.264928,0.065475,0.196169,0.265282,0.062064,0.209717,0.267897,0.05417,0.260413,0.269843,0.050084,0.310277
