Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z,Marker 4 X,Marker 4 Y,Marker 4 Z,Marker 5 X,Marker 5 Y,Marker 5 Z,Marker 6 X,Marker 6 Y,Marker 6 Z
0,0.000000,0.243912,0.072331,0.205689,0.242497,0.080750,0.085012,0.240043,0.083323,0.034171,0.243316,0.069907,0.256213,0.243706,0.076346,0.154551,0.243978,0.078535,0.140833
1,0.008333,0.240046,0.083319,0.034175,0.242501,0.080743,0.085013,0.243993,0.078570,0.140836,0.243706,0.076346,0.154552,0.243908,0.072330,0.205694,0.243314,0.069916,0.256210
2,0.016667,0.240042,0.083324,0.034173,0.242500,0.080743,0.085011,0.243990,0.078570,0.140841,0.243708,0.076348,0.154553,0.243912,0.072333,0.205696,0.243315,0.069912,0.256210
3,0.025000,0.240042,0.083319,0.034171,0.242498,0.080742,0.085010,0.243979,0.078536,0.140836,0.243704,0.076346,0.154549,0.243914,0.072333,0.205693,0.243315,0.069915,0.256211
4,0.033333,0.240052,0.083519,0.034175,0.242500,0.080742,0.085011,0.243976,0.078534,0.140827,0.243711,0.076346,0.154554,0.243915,0.072333,0.205693,0.243318,0.069911,0.256206
5,0.041667,0.240046,0.083316,0.034173,0.242498,0.080745,0.085010,0.243979,0.078534,0.140832,0.243708,0.076346,0.154554,0.243912,0.072330,0.205692,0.243320,0.069912,0.256207
6,0.050000,0.240044,0.083316,0.034168,0.242498,0.080742,0.085009,0.243975,0.078535,0.140831,0.243706,0.076346,0.154550,0.243912,0.072333,0.205691,0.243314,0.069913,0.256210
7,0.058333,0.240045,0.083518,0.034172,0.242495,0.080743,0.085008,0.243992,0.078568,0.140837,0.243707,0.076345,0.154549,0.243909,0.072327,0.205689,0.243313,0.069913,0.256209
8,0.066667,0.240043,0.083318,0.034171,0.242496,0.080743,0.085007,0.243992,0.078568,0.140834,0.243709,0.076348,0.154552,0.243911,0.072330,0.205692,0.243314,0.069912,0.256209
9,0.075000,0.240035,0.083321,0.034171,0.242495,0.080742,0.085010,0.243976,0.078537,0.140829,0.243703,0.076348,0.154551,0.243909,0.072328,0.205687,0.243313,0.069910,0.256205
10,0.083333,0.240043,0.083318,0.034173,0.242498,0.080742,0.085011,0.243975,0.078535,0.140832,0.243705,0.076342,0.154553,0.243908,0.072333,0.205691,0.243311,0.069914,0.256207
11,0.091667,0.240040,0.083316,0.034173,0.242496,0.080745,0.085012,0.243988,0.078565,0.140840,0.243705,0.076348,0.154555,0.243906,0.072328,0.205692,0.243311,0.069915,0.256210
12,0.100000,0.240015,0.083375,0.034134,0.242495,0.080745,0.085010,0.243991,0.078564,0.140840,0.243703,0.076347,0.154553,0.243910,0.072329,0.205692,0.243313,0.069916,0.256211
13,0.108333,0.240039,0.083321,0.034174,0.242496,0.080743,0.085013,0.243989,0.078567,0.140843,0.243704,0.076349,0.154557,0.243907,0.072331,0.205697,0.243316,0.069915,0.256214
14,0.116667,0.240039,0.083316,0.034174,0.242492,0.080740,0.085014,0.243987,0.078569,0.140846,0.243704,0.076349,0.154554,0.243908,0.072330,0.205696,0.243313,0.069911,0.256213
15,0.125000,0.240049,0.083518,0.034179,0.242495,0.080747,0.085016,0.243974,0.078537,0.140836,0.243704,0.076346,0.154557,0.243908,0.072329,0.205698,0.243315,0.069912,0.256211
16,0.133333,0.240043,0.083518,0.034177,0.242492,0.080743,0.085011,0.243991,0.078566,0.140841,0.243705,0.076349,0.154555,0.243909,0.072328,0.205697,0.243313,0.069911,0.256209
17,0.141667,0.240048,0.083517,0.034176,0.242494,0.080745,0.085014,0.243989,0.078565,0.140844,0.243705,0.076348,0.154557,0.243910,0.072330,0.205693,0.243312,0.069913,0.256212
18,0.150000,0.240014,0.083370,0.034138,0.242494,0.080742,0.085010,0.243987,0.078568,0.140840,0.243703,0.076348,0.154553,0.243906,0.072327,0.205692,0.243311,0.069913,0.256206
19,0.158333,0.240040,0.083319,0.034173,0.242494,0.080743,0.085007,0.243991,0.078571,0.140837,0.243703,0.076345,0.154552,0.243913,0.072329,0.205694,0.243312,0.069913,0.256208
20,0.166667,0.240045,0.083320,0.034173,0.242496,0.080747,0.085010,0.243976,0.078531,0.140828,0.243705,0.076346,0.154552,0.243912,0.072327,0.205690,0.243317,0.069916,0.256207
21,0.175000,0.240043,0.083317,0.034169,0.242498,0.080744,0.085008,0.243993,0.078570,0.140840,0.243708,0.076349,0.154550,0.243910,0.072333,0.205692,0.243319,0.069915,0.256209
22,0.183333,0.240040,0.083323,0.034170,0.242494,0.080746,0.085009,0.243975,0.078534,0.140834,0.243704,0.076344,0.154552,0.243909,0.072329,0.205691,0.243314,0.069910,0.256210
23,0.191667,0.240042,0.083321,0.034176,0.242496,0.080746,0.085013,0.243990,0.078567,0.140841,0.243706,0.076349,0.154553,0.243911,0.072336,0.205695,0.243317,0.069914,0.256209
24,0.200000,0.240040,0.083323,0.034177,0.242496,0.080749,0.085019,0.243992,0.078572,0.140845,0.243704,0.076348,0.154557,0.243906,0.072334,0.205697,0.243314,0.069915,0.256216
25,0.208333,0.240039,0.083319,0.034183,0.242495,0.080745,0.085017,0.243990,0.078564,0.140848,0.243702,0.076346,0.154560,0.243909,0.072333,0.205700,0.243312,0.069914,0.256216
26,0.216667,0.240045,0.083522,0.034182,0.242494,0.080749,0.085021,0.243988,0.078569,0.140846,0.243701,0.076347,0.154561,0.243907,0.072329,0.205703,0.243313,0.069917,0.256216
27,0.225000,0.240034,0.083327,0.034177,0.242492,0.080747,0.085019,0.243973,0.078537,0.140842,0.243704,0.076352,0.154560,0.243906,0.072331,0.205701,0.243309,0.069914,0.256217
28,0.233333,0.240033,0.083322,0.034179,0.242491,0.080746,0.085018,0.243971,0.078534,0.140841,0.243701,0.076351,0.154559,0.243904,0.072330,0.205701,0.243308,0.069913,0.256217
29,0.241667,0.240031,0.083319,0.034183,0.242493,0.080748,0.085017,0.243984,0.078562,0.140848,0.243701,0.076345,0.154560,0.243903,0.072329,0.205701,0.243308,0.069909,0.256220
30,0.250000,0.240033,0.083325,0.034182,0.242489,0.080745,0.085018,0.243983,0.078565,0.140845,0.243706,0.076349,0.154560,0.243906,0.072333,0.205699,0.243310,0.069912,0.256215
31,0.258333,0.240033,0.083327,0.034181,0.242492,0.080745,0.085018,0.243968,0.078537,0.140842,0.243700,0.076347,0.154564,0.243907,0.072333,0.205701,0.243309,0.069916,0.256218
32,0.266667,0.240036,0.083328,0.034180,0.242493,0.080752,0.085020,0.243987,0.078567,0.140850,0.243705,0.076353,0.154562,0.243909,0.072334,0.205702,0.243311,0.069913,0.256217
33,0.275000,0.240036,0.083324,0.034187,0.242491,0.080746,0.085024,0.243983,0.078568,0.140855,0.243704,0.076349,0.154564,0.243904,0.072334,0.205705,0.243312,0.069915,0.256219
34,0.283333,0.240038,0.083325,0.034187,0.242488,0.080747,0.085028,0.243985,0.078570,0.140855,0.243703,0.076351,0.154566,0.243906,0.072333,0.205709,0.243310,0.069916,0.256220
35,0.291667,0.240038,0.083327,0.034191,0.242490,0.080752,0.085031,0.243970,0.078537,0.140847,0.243700,0.076350,0.154572,0.243909,0.072332,0.205710,0.243313,0.069920,0.256226
36,0.300000,0.240032,0.083326,0.034187,0.242495,0.080746,0.085025,0.243990,0.078568,0.140857,0.243702,0.076351,0.154571,0.243907,0.072331,0.205710,0.243311,0.069915,0.256226
37,0.308333,0.240037,0.083320,0.034188,0.242491,0.080748,0.085027,0.243990,0.078569,0.140855,0.243703,0.076350,0.154568,0.243908,0.072330,0.205710,0.243314,0.069919,0.256218
38,0.316667,0.240035,0.083323,0.034183,0.242491,0.080747,0.085020,0.243974,0.078528,0.140846,0.243702,0.076348,0.154564,0.243907,0.072334,0.205705,0.243311,0.069917,0.256223
39,0.325000,0.240036,0.083323,0.034180,0.242493,0.080749,0.085021,0.243975,0.078535,0.140843,0.243706,0.076349,0.154564,0.243906,0.072333,0.205699,0.243311,0.069917,0.256215
40,0.333333,0.240046,0.083520,0.034183,0.242495,0.080746,0.085019,0.243990,0.078565,0.140841,0.243702,0.076350,0.154559,0.243905,0.072334,0.205697,0.243311,0.069913,0.256213
41,0.341667,0.240035,0.083327,0.034176,0.242493,0.080745,0.085012,0.243992,0.078563,0.140838,0.243706,0.076349,0.154552,0.243908,0.072332,0.205695,0.243314,0.069912,0.256216
42,0.350000,0.240040,0.083321,0.034178,0.242490,0.080744,0.085014,0.243975,0.078535,0.140834,0.243704,0.076345,0.154557,0.243907,0.072332,0.205696,0.243312,0.069911,0.256208
43,0.358333,0.240034,0.083319,0.034179,0.242495,0.080742,0.085017,0.243974,0.078536,0.140837,0.243705,0.076349,0.154554,0.243909,0.072333,0.205697,0.243314,0.069913,0.256217
44,0.366667,0.240011,0.083381,0.034143,0.242493,0.080749,0.085021,0.243988,0.078567,0.140851,0.243701,0.076349,0.154560,0.243905,0.072330,0.205698,0.243310,0.069913,0.256214
45,0.375000,0.240036,0.083327,0.034181,0.242493,0.080747,0.085020,0.243974,0.078532,0.140842,0.243705,0.076349,0.154559,0.243906,0.072333,0.205700,0.243312,0.069916,0.256213
46,0.383333,0.240036,0.083323,0.034185,0.242493,0.080750,0.085022,0.243970,0.078536,0.140844,0.243702,0.076352,0.154562,0.243905,0.072334,0.205705,0.243309,0.069915,0.256219
47,0.391667,0.240035,0.083326,0.034183,0.242493,0.080742,0.085020,0.243991,0.078565,0.140848,0.243706,0.076350,0.154562,0.243905,0.072332,0.205703,0.243314,0.069910,0.256214
48,0.400000,0.240040,0.083325,0.034182,0.242491,0.080746,0.085022,0.243991,0.078573,0.140850,0.243703,0.076345,0.154560,0.243906,0.072334,0.205702,0.243311,0.069918,0.256218
49,0.408333,0.240011,0.083376,0.034142,0.242490,0.080748,0.085017,0.243968,0.078536,0.140842,0.243704,0.076349,0.154559,0.243908,0.072333,0.205701,0.243311,0.069918,0.256217
50,0.416667,0.240042,0.083521,0.034178,0.242495,0.080744,0.085014,0.243987,0.078573,0.140849,0.243699,0.076346,0.154558,0.243908,0.072331,0.205699,0.243310,0.069915,0.256214
51,0.425000,0.240029,0.083324,0.034177,0.242488,0.080747,0.085017,0.243983,0.078567,0.140846,0.243696,0.076345,0.154556,0.243900,0.072330,0.205696,0.243306,0.069907,0.256211
52,0.433333,0.240034,0.083325,0.034179,0.242484,0.080743,0.085015,0.243983,0.078567,0.140846,0.243700,0.076349,0.154556,0.243901,0.072330,0.205700,0.243308,0.069911,0.256213
53,0.441667,0.240030,0.083329,0.034179,0.242487,0.080748,0.085021,0.243964,0.078537,0.140839,0.243697,0.076351,0.154559,0.243900,0.072333,0.205700,0.243306,0.069914,0.256220
54,0.450000,0.240031,0.083322,0.034182,0.242490,0.080748,0.085021,0.243967,0.078536,0.140844,0.243699,0.076345,0.154561,0.243901,0.072329,0.205702,0.243310,0.069916,0.256222
55,0.458333,0.240035,0.083325,0.034184,0.242492,0.080748,0.085025,0.243986,0.078569,0.140851,0.243700,0.076351,0.154564,0.243904,0.072334,0.205703,0.243309,0.069911,0.256219
56,0.466667,0.240040,0.083323,0.034186,0.242494,0.080751,0.085023,0.243974,0.078538,0.140844,0.243705,0.076352,0.154565,0.243905,0.072332,0.205704,0.243313,0.069915,0.256216
57,0.475000,0.240011,0.083376,0.034142,0.242496,0.080750,0.085023,0.243971,0.078539,0.140847,0.243706,0.076350,0.154565,0.243909,0.072332,0.205704,0.243313,0.069916,0.256224
58,0.483333,0.240040,0.083320,0.034184,0.242497,0.080748,0.085027,0.243991,0.078568,0.140853,0.243708,0.076352,0.154564,0.243909,0.072334,0.205704,0.243318,0.069914,0.256219
59,0.491667,0.240038,0.083322,0.034182,0.242496,0.080748,0.085024,0.243978,0.078542,0.140843,0.243704,0.076349,0.154562,0.243909,0.072334,0.205702,0.243316,0.069916,0.256217
60,0.500000,0.240039,0.083321,0.034180,0.242494,0.080749,0.085015,0.243972,0.078537,0.140839,0.243702,0.076351,0.154558,0.243909,0.072335,0.205701,0.243314,0.069920,0.256222
61,0.508333,0.240035,0.083322,0.034179,0.242492,0.080745,0.085015,0.243987,0.078569,0.140848,0.243704,0.076348,0.154559,0.243908,0.072332,0.205698,0.243309,0.069914,0.256212
62,0.516667,0.240036,0.083325,0.034179,0.242489,0.080745,0.085014,0.243985,0.078566,0.140842,0.243702,0.076347,0.154556,0.243903,0.072332,0.205693,0.243309,0.069913,0.256218
63,0.525000,0.240033,0.083321,0.034175,0.242492,0.080743,0.085015,0.243974,0.078539,0.140835,0.243699,0.076346,0.154553,0.243906,0.072331,0.205695,0.243313,0.069910,0.256212
64,0.533333,0.240043,0.083522,0.034182,0.242491,0.080748,0.085015,0.243970,0.078536,0.140833,0.243701,0.076347,0.154554,0.243904,0.072334,0.205697,0.243310,0.069914,0.256218
65,0.541667,0.240040,0.083321,0.034179,0.242495,0.080744,0.085018,0.243990,0.078569,0.140842,0.243707,0.076351,0.154555,0.243908,0.072332,0.205696,0.243315,0.069918,0.256214
66,0.550000,0.240036,0.083326,0.034181,0.242496,0.080747,0.085024,0.243974,0.078535,0.140844,0.243705,0.076350,0.154561,0.243909,0.072334,0.205700,0.243313,0.069916,0.256215
67,0.558333,0.240035,0.083325,0.034183,0.242494,0.080745,0.085021,0.243985,0.078565,0.140851,0.243704,0.076355,0.154562,0.243907,0.072333,0.205704,0.243316,0.069914,0.256226
68,0.566667,0.240012,0.083377,0.034147,0.242494,0.080753,0.085026,0.243989,0.078567,0.140851,0.243702,0.076353,0.154566,0.243906,0.072335,0.205704,0.243314,0.069916,0.256225
69,0.575000,0.240045,0.083527,0.034188,0.242491,0.080746,0.085028,0.243984,0.078567,0.140849,0.243702,0.076350,0.154564,0.243904,0.072332,0.205704,0.243310,0.069915,0.256223
70,0.583333,0.240006,0.083377,0.034149,0.242488,0.080751,0.085024,0.243984,0.078567,0.140852,0.243700,0.076350,0.154571,0.243903,0.072336,0.205706,0.243305,0.069919,0.256226
71,0.591667,0.240035,0.083326,0.034182,0.242486,0.080749,0.085021,0.243980,0.078566,0.140848,0.243698,0.076347,0.154567,0.243901,0.072331,0.205708,0.243305,0.069919,0.256223
72,0.600000,0.240031,0.083324,0.034179,0.242487,0.080751,0.085017,0.243985,0.078567,0.140847,0.243701,0.076352,0.154564,0.243903,0.072331,0.205703,0.243307,0.069916,0.256222
73,0.608333,0.240035,0.083331,0.034184,0.242491,0.080746,0.085021,0.243989,0.078570,0.140849,0.243700,0.076348,0.154560,0.243907,0.072331,0.205702,0.243306,0.069914,0.256216
74,0.616667,0.240035,0.083318,0.034178,0.242492,0.080750,0.085016,0.243988,0.078572,0.140846,0.243706,0.076350,0.154559,0.243907,0.072332,0.205698,0.243312,0.069917,0.256213
75,0.625000,0.240036,0.083326,0.034183,0.242495,0.080748,0.085020,0.243974,0.078534,0.140839,0.243704,0.076349,0.154562,0.243907,0.072330,0.205703,0.243310,0.069912,0.256220
76,0.633333,0.240038,0.083326,0.034180,0.242493,0.080746,0.085020,0.243991,0.078565,0.140846,0.243707,0.076352,0.154559,0.243908,0.072332,0.205704,0.243315,0.069914,0.256218
77,0.641667,0.240034,0.083321,0.034186,0.242494,0.080748,0.085026,0.243967,0.078535,0.140848,0.243702,0.076350,0.154563,0.243908,0.072332,0.205706,0.243312,0.069918,0.256221
