Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z,Marker 4 X,Marker 4 Y,Marker 4 Z,Marker 5 X,Marker 5 Y,Marker 5 Z,Marker 6 X,Marker 6 Y,Marker 6 Z
0,0.000000,0.105884,0.023079,0.061259,0.108177,0.025727,0.167365,0.108104,0.024740,0.181409,0.106868,0.022994,0.111641,0.108583,0.024275,0.232858,0.106692,0.025574,0.283373
1,0.008333,0.105919,0.023074,0.061253,0.106892,0.022990,0.111643,0.108195,0.025721,0.167366,0.108118,0.024735,0.181409,0.108597,0.024269,0.232857,0.106687,0.025450,0.283378
2,0.016667,0.105953,0.023079,0.061255,0.106918,0.022994,0.111643,0.108213,0.025719,0.167360,0.108140,0.024734,0.181408,0.108616,0.024273,0.232855,0.106727,0.025582,0.283369
3,0.025000,0.105971,0.023073,0.061249,0.106937,0.022992,0.111639,0.108237,0.025721,0.167357,0.108155,0.024739,0.181405,0.108633,0.024273,0.232853,0.106744,0.025585,0.283371
4,0.033333,0.105983,0.023078,0.061246,0.106952,0.022992,0.111638,0.108247,0.025724,0.167358,0.108170,0.024739,0.181397,0.108650,0.024276,0.232849,0.106764,0.025588,0.283369
5,0.041667,0.105980,0.023084,0.061251,0.106954,0.022997,0.111639,0.108252,0.025726,0.167358,0.108175,0.024742,0.181405,0.108654,0.024273,0.232854,0.106768,0.025583,0.283367
6,0.050000,0.105956,0.023082,0.061250,0.106947,0.022994,0.111635,0.108251,0.025719,0.167353,0.108173,0.024743,0.181404,0.108657,0.024273,0.232853,0.106771,0.025588,0.283372
7,0.058333,0.105941,0.023028,0.061262,0.106924,0.022996,0.111640,0.108240,0.025725,0.167355,0.108162,0.024741,0.181405,0.108647,0.024273,0.232850,0.106766,0.025586,0.283370
8,0.066667,0.105902,0.023037,0.061265,0.106897,0.023000,0.111639,0.108222,0.025722,0.167358,0.108146,0.024739,0.181402,0.108632,0.024273,0.232850,0.106750,0.025585,0.283365
9,0.075000,0.105863,0.023033,0.061259,0.106897,0.022882,0.111659,0.108199,0.025724,0.167353,0.108123,0.024738,0.181396,0.108612,0.024272,0.232849,0.106738,0.025584,0.283365
10,0.083333,0.105830,0.023025,0.061255,0.106842,0.023001,0.111633,0.108181,0.025728,0.167357,0.108109,0.024733,0.181401,0.108596,0.024272,0.232854,0.106715,0.025579,0.283371
11,0.091667,0.105808,0.023034,0.061259,0.106820,0.023002,0.111637,0.108163,0.025730,0.167359,0.108096,0.024747,0.181407,0.108579,0.024272,0.232849,0.106694,0.025579,0.283365
12,0.100000,0.105805,0.023026,0.061262,0.106811,0.023001,0.111636,0.108148,0.025728,0.167359,0.108081,0.024740,0.181406,0.108565,0.024273,0.232852,0.106652,0.025462,0.283370
13,0.108333,0.105817,0.023027,0.061260,0.106816,0.023009,0.111643,0.108147,0.025739,0.167367,0.108076,0.024746,0.181413,0.108554,0.024285,0.232856,0.106670,0.025586,0.283371
14,0.116667,0.105839,0.023025,0.061265,0.106826,0.023005,0.111647,0.108145,0.025729,0.167368,0.108072,0.024743,0.181412,0.108553,0.024282,0.232856,0.106608,0.025339,0.283337
15,0.125000,0.105880,0.023031,0.061277,0.106848,0.023009,0.111650,0.108157,0.025729,0.167363,0.108084,0.024744,0.181413,0.108548,0.024282,0.232862,0.106656,0.025585,0.283378
16,0.133333,0.105916,0.023026,0.061270,0.106874,0.023003,0.111648,0.108175,0.025729,0.167369,0.108092,0.024736,0.181412,0.108560,0.024278,0.232863,0.106659,0.025577,0.283376
17,0.141667,0.105959,0.023018,0.061257,0.106899,0.022998,0.111645,0.108196,0.025726,0.167365,0.108114,0.024738,0.181405,0.108574,0.024278,0.232860,0.106681,0.025582,0.283375
