Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z,Marker 4 X,Marker 4 Y,Marker 4 Z,Marker 5 X,Marker 5 Y,Marker 5 Z,Marker 6 X,Marker 6 Y,Marker 6 Z
0,0,0.201893,0.022478,0.138825,0.200744,0.022459,0.088452,0.197496,0.024325,0.260134,0.191745,0.026134,0.310196,0.200749,0.024469,0.208637,0.201662,0.025618,0.194683
1,0.008333,0.200742,0.02246,0.088453,0.20189,0.022476,0.138826,0.201659,0.025622,0.194687,0.20075,0.024471,0.208638,0.197496,0.024322,0.260134,0.191746,0.026133,0.310197
2,0.016667,0.200654,0.022369,0.088441,0.20189,0.022476,0.138826,0.201661,0.025622,0.194679,0.200751,0.024475,0.208637,0.197498,0.02432,0.260135,0.191745,0.026134,0.310196
3,0.025,0.200653,0.022372,0.088441,0.201888,0.022475,0.138824,0.201658,0.025618,0.194686,0.200748,0.024472,0.208638,0.197495,0.024323,0.260135,0.191742,0.026134,0.310198
4,0.033333,0.200658,0.022368,0.088439,0.201888,0.022479,0.138828,0.201656,0.025612,0.194684,0.200747,0.024471,0.208638,0.197497,0.024321,0.260138,0.191748,0.026133,0.310201
5,0.041667,0.20065,0.022377,0.088442,0.201888,0.022476,0.138827,0.201659,0.025615,0.194685,0.200747,0.024472,0.20864,0.197494,0.024319,0.260136,0.191746,0.026133,0.3102
6,0.05,0.200655,0.022366,0.08844,0.201889,0.022476,0.138826,0.20166,0.025619,0.194681,0.200749,0.024474,0.208637,0.197495,0.024319,0.260135,0.191747,0.026136,0.310199
7,0.058333,0.200744,0.022464,0.088454,0.201892,0.022478,0.138826,0.201661,0.025619,0.194685,0.200751,0.02447,0.208638,0.197497,0.024324,0.260134,0.191742,0.026135,0.3102
8,0.066667,0.200741,0.022462,0.088454,0.20189,0.022474,0.138826,0.20166,0.02562,0.194682,0.200749,0.024464,0.208635,0.197496,0.024319,0.260132,0.191747,0.026134,0.310198
9,0.075,0.200657,0.022375,0.088442,0.20189,0.02248,0.138825,0.201658,0.025619,0.194684,0.200752,0.024472,0.208637,0.197495,0.024321,0.260131,0.191746,0.026135,0.310196
10,0.083333,0.200744,0.022459,0.088452,0.201893,0.022475,0.138821,0.20166,0.025618,0.194679,0.200755,0.024471,0.208633,0.197495,0.024321,0.260134,0.191749,0.026135,0.310197
11,0.091667,0.200745,0.022464,0.088453,0.201893,0.022477,0.138826,0.20166,0.025615,0.194681,0.200756,0.024472,0.208639,0.197499,0.024319,0.260133,0.191747,0.026134,0.310192
12,0.1,0.200659,0.022376,0.088441,0.20189,0.022476,0.138829,0.20166,0.025618,0.194686,0.200749,0.024471,0.208638,0.197498,0.024322,0.260136,0.191745,0.026135,0.310199
13,0.108333,0.200655,0.022378,0.088444,0.201892,0.022477,0.138825,0.201659,0.02562,0.194686,0.200753,0.024469,0.208641,0.197497,0.02432,0.260138,0.191748,0.026138,0.310195
14,0.116667,0.200654,0.022368,0.088439,0.20189,0.022474,0.138828,0.201661,0.025621,0.194681,0.200748,0.024477,0.208637,0.197494,0.024319,0.260136,0.191748,0.026133,0.3102
15,0.125,0.200651,0.022374,0.088439,0.20189,0.022473,0.138826,0.20166,0.025619,0.194683,0.200747,0.024472,0.208642,0.197497,0.024323,0.260138,0.191746,0.026136,0.310195
16,0.133333,0.200654,0.022369,0.088443,0.201888,0.022477,0.138828,0.201657,0.025616,0.194683,0.200747,0.024469,0.208638,0.197493,0.02432,0.260137,0.191742,0.026136,0.3102
17,0.141667,0.200653,0.02237,0.088441,0.201888,0.022475,0.138825,0.201659,0.02562,0.194681,0.200749,0.02447,0.20864,0.197496,0.024323,0.260135,0.191747,0.026135,0.310201
18,0.15,0.200652,0.022373,0.08844,0.201888,0.022475,0.138826,0.20166,0.02562,0.194684,0.200746,0.02447,0.208636,0.197495,0.024321,0.260137,0.191747,0.026135,0.310198
19,0.158333,0.200748,0.022464,0.088453,0.201892,0.022475,0.138822,0.201662,0.025621,0.194679,0.200752,0.024469,0.208635,0.197494,0.02432,0.260135,0.191744,0.026132,0.310195
20,0.166667,0.200657,0.022373,0.08844,0.20189,0.022478,0.138824,0.201658,0.025619,0.194681,0.20075,0.024474,0.208634,0.197495,0.024321,0.260133,0.191743,0.026131,0.310197
21,0.175,0.200655,0.022376,0.088439,0.201891,0.022474,0.138823,0.201659,0.025618,0.19468,0.200752,0.024472,0.208639,0.197497,0.02432,0.260133,0.191747,0.026129,0.310195
22,0.183333,0.200658,0.022376,0.088442,0.20189,0.022476,0.138827,0.201659,0.025619,0.194686,0.200753,0.024469,0.208639,0.197495,0.024321,0.260134,0.19174,0.026136,0.310196
23,0.191667,0.200652,0.022376,0.088444,0.201889,0.022472,0.138827,0.201661,0.025619,0.194685,0.200753,0.024474,0.208638,0.197495,0.024322,0.260135,0.191744,0.026132,0.310198
24,0.2,0.200672,0.022043,0.088382,0.20189,0.022476,0.138827,0.20166,0.02562,0.194684,0.20075,0.02447,0.208641,0.197497,0.024323,0.260135,0.191745,0.026134,0.310198
25,0.208333,0.200656,0.022373,0.088443,0.20189,0.022477,0.138828,0.201656,0.025614,0.194684,0.200747,0.024477,0.208639,0.197498,0.024322,0.260134,0.191746,0.026134,0.310194
26,0.216667,0.200671,0.022039,0.088375,0.201889,0.022477,0.138825,0.201661,0.025615,0.194682,0.200751,0.024476,0.208641,0.197498,0.024323,0.260137,0.191742,0.026133,0.3102
27,0.225,0.200748,0.022459,0.088452,0.201886,0.022476,0.138826,0.20166,0.025616,0.194682,0.200746,0.02447,0.208635,0.197492,0.024319,0.260131,0.191745,0.026137,0.310196
28,0.233333,0.200654,0.022372,0.08844,0.201887,0.022475,0.138827,0.201659,0.025617,0.194688,0.20075,0.024472,0.20864,0.197498,0.024321,0.260136,0.191743,0.026133,0.310199
