Format Version,1.21,Take Name,circular_inextensible_tsample_0.5s,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-04 04.52.15.234 PM,Total Frames in Take,22369,Total Exported Frames,22369,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:2377,Unlabeled:2377,Unlabeled:2377,Unlabeled:2398,Unlabeled:2398,Unlabeled:2398,Unlabeled:2403,Unlabeled:2403,Unlabeled:2403,Unlabeled:2408,Unlabeled:2408,Unlabeled:2408,Unlabeled:2411,Unlabeled:2411,Unlabeled:2411,Unlabeled:2413,Unlabeled:2413,Unlabeled:2413
,,"8392B20CF49E3570949","8392B20CF49E3570949","8392B20CF49E3570949","8392B20CF49E357095E","8392B20CF49E357095E","8392B20CF49E357095E","8392B20CF49E3570963","8392B20CF49E3570963","8392B20CF49E3570963","8392B20CF49E3570968","8392B20CF49E3570968","8392B20CF49E3570968","8392B20CF49E357096B","8392B20CF49E357096B","8392B20CF49E357096B","8392B20CF49E357096D","8392B20CF49E357096D","8392B20CF49E357096D"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.258409,0.064999,0.099078,0.266623,0.058656,0.261846,0.262549,0.058285,0.310423,0.266603,0.059060,0.198308,0.267079,0.059989,0.213665,0.260729,0.061834,0.147187
1,0.008333,0.258408,0.064997,0.099083,0.266624,0.058657,0.261846,0.262553,0.058282,0.310423,0.266599,0.059070,0.198311,0.267077,0.059996,0.213668,0.260729,0.061838,0.147187
2,0.016667,0.258406,0.064999,0.099085,0.266620,0.058658,0.261844,0.262552,0.058283,0.310425,0.266601,0.059057,0.198310,0.267075,0.059990,0.213668,0.260729,0.061839,0.147191
3,0.025000,0.258411,0.065000,0.099085,0.266626,0.058657,0.261847,0.262552,0.058281,0.310428,0.266602,0.059066,0.198314,0.267078,0.059990,0.213668,0.260731,0.061841,0.147193
