Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z,Marker 4 X,Marker 4 Y,Marker 4 Z,Marker 5 X,Marker 5 Y,Marker 5 Z,Marker 6 X,Marker 6 Y,Marker 6 Z
0,0.000000,0.229625,0.074282,0.165096,0.227275,0.073762,0.149570,0.215974,0.076372,0.098872,0.209509,0.077256,0.050651,0.235146,0.068257,0.213242,0.237133,0.063084,0.261505
1,0.008333,0.209511,0.077252,0.050647,0.215976,0.076370,0.098869,0.227272,0.073761,0.149572,0.229626,0.074278,0.165096,0.235145,0.068256,0.213240,0.237135,0.063081,0.261501
2,0.016667,0.209511,0.077251,0.050649,0.215975,0.076367,0.098872,0.227270,0.073763,0.149569,0.229624,0.074279,0.165094,0.235145,0.068256,0.213239,0.237134,0.063080,0.261499
3,0.025000,0.209506,0.077251,0.050648,0.215976,0.076369,0.098868,0.227271,0.073757,0.149569,0.229622,0.074280,0.165098,0.235140,0.068260,0.213238,0.237133,0.063080,0.261502
4,0.033333,0.209509,0.077256,0.050644,0.215972,0.076370,0.098864,0.227274,0.073761,0.149569,0.229627,0.074281,0.165099,0.235142,0.068256,0.213238,0.237132,0.063078,0.261500
5,0.041667,0.209507,0.077251,0.050643,0.215970,0.076367,0.098863,0.227270,0.073760,0.149569,0.229623,0.074283,0.165095,0.235146,0.068258,0.213240,0.237131,0.063078,0.261502
6,0.050000,0.209508,0.077248,0.050640,0.215973,0.076365,0.098866,0.227273,0.073763,0.149569,0.229623,0.074285,0.165097,0.235143,0.068259,0.213235,0.237132,0.063079,0.261498
7,0.058333,0.209508,0.077253,0.050646,0.215973,0.076374,0.098872,0.227269,0.073761,0.149566,0.229624,0.074283,0.165092,0.235141,0.068250,0.213236,0.237130,0.063078,0.261499
8,0.066667,0.209508,0.077251,0.050645,0.215973,0.076365,0.098866,0.227273,0.073766,0.149569,0.229625,0.074285,0.165096,0.235144,0.068256,0.213237,0.237133,0.063080,0.261498
9,0.075000,0.209511,0.077253,0.050646,0.215977,0.076372,0.098870,0.227271,0.073759,0.149565,0.229623,0.074278,0.165098,0.235144,0.068255,0.213240,0.237136,0.063086,0.261503
10,0.083333,0.209512,0.077256,0.050649,0.215976,0.076368,0.098866,0.227275,0.073761,0.149566,0.229627,0.074284,0.165099,0.235144,0.068257,0.213239,0.237136,0.063083,0.261502
11,0.091667,0.209508,0.077248,0.050649,0.215977,0.076372,0.098869,0.227272,0.073760,0.149568,0.229628,0.074281,0.165097,0.235146,0.068253,0.213238,0.237137,0.063084,0.261502
12,0.100000,0.209512,0.077250,0.050645,0.215976,0.076369,0.098870,0.227272,0.073768,0.149569,0.229627,0.074276,0.165093,0.235144,0.068257,0.213239,0.237137,0.063083,0.261505
13,0.108333,0.209512,0.077255,0.050648,0.215978,0.076371,0.098868,0.227272,0.073764,0.149565,0.229629,0.074284,0.165094,0.235147,0.068257,0.213245,0.237135,0.063086,0.261502
14,0.116667,0.209511,0.077256,0.050649,0.215975,0.076368,0.098867,0.227272,0.073761,0.149569,0.229623,0.074281,0.165096,0.235143,0.068257,0.213242,0.237136,0.063083,0.261503
15,0.125000,0.209510,0.077254,0.050650,0.215975,0.076371,0.098868,0.227272,0.073763,0.149568,0.229629,0.074284,0.165093,0.235144,0.068259,0.213239,0.237137,0.063083,0.261501
16,0.133333,0.209508,0.077253,0.050648,0.215972,0.076365,0.098873,0.227269,0.073762,0.149569,0.229624,0.074283,0.165095,0.235144,0.068257,0.213241,0.237133,0.063080,0.261501
17,0.141667,0.209511,0.077254,0.050646,0.215974,0.076363,0.098867,0.227272,0.073762,0.149572,0.229619,0.074288,0.165096,0.235144,0.068261,0.213238,0.237133,0.063078,0.261500
18,0.150000,0.209507,0.077254,0.050649,0.215974,0.076371,0.098872,0.227267,0.073760,0.149568,0.229621,0.074285,0.165096,0.235139,0.068257,0.213242,0.237132,0.063083,0.261503
19,0.158333,0.209508,0.077254,0.050651,0.215969,0.076369,0.098870,0.227269,0.073763,0.149567,0.229623,0.074277,0.165098,0.235141,0.068253,0.213243,0.237134,0.063083,0.261504
20,0.166667,0.209506,0.077256,0.050652,0.215971,0.076369,0.098870,0.227266,0.073763,0.149569,0.229625,0.074284,0.165097,0.235140,0.068258,0.213245,0.237132,0.063084,0.261507
21,0.175000,0.209506,0.077253,0.050647,0.215972,0.076370,0.098872,0.227272,0.073762,0.149570,0.229625,0.074283,0.165098,0.235144,0.068255,0.213245,0.237133,0.063081,0.261503
22,0.183333,0.209507,0.077250,0.050648,0.215974,0.076370,0.098869,0.227272,0.073766,0.149575,0.229624,0.074281,0.165098,0.235142,0.068256,0.213242,0.237135,0.063087,0.261510
23,0.191667,0.209511,0.077252,0.050650,0.215974,0.076370,0.098872,0.227273,0.073763,0.149571,0.229628,0.074284,0.165094,0.235146,0.068256,0.213241,0.237132,0.063082,0.261503
24,0.200000,0.209510,0.077252,0.050647,0.215977,0.076370,0.098868,0.227274,0.073759,0.149569,0.229627,0.074283,0.165095,0.235144,0.068261,0.213240,0.237134,0.063084,0.261502
25,0.208333,0.209514,0.077255,0.050647,0.215976,0.076368,0.098867,0.227275,0.073763,0.149567,0.229622,0.074283,0.165094,0.235144,0.068257,0.213237,0.237134,0.063080,0.261499
26,0.216667,0.209512,0.077253,0.050643,0.215979,0.076374,0.098866,0.227277,0.073765,0.149566,0.229631,0.074284,0.165089,0.235145,0.068260,0.213234,0.237137,0.063080,0.261500
27,0.225000,0.209510,0.077251,0.050644,0.215978,0.076366,0.098866,0.227276,0.073759,0.149564,0.229628,0.074284,0.165092,0.235146,0.068256,0.213235,0.237136,0.063082,0.261495
28,0.233333,0.209511,0.077255,0.050646,0.215974,0.076366,0.098865,0.227275,0.073760,0.149570,0.229626,0.074287,0.165093,0.235151,0.068259,0.213236,0.237137,0.063082,0.261496
29,0.241667,0.209511,0.077254,0.050644,0.215976,0.076367,0.098865,0.227271,0.073761,0.149570,0.229625,0.074281,0.165095,0.235144,0.068256,0.213236,0.237133,0.063081,0.261499
30,0.250000,0.209510,0.077254,0.050647,0.215973,0.076368,0.098867,0.227272,0.073760,0.149566,0.229627,0.074282,0.165095,0.235142,0.068255,0.213239,0.237136,0.063082,0.261502
31,0.258333,0.209508,0.077256,0.050651,0.215973,0.076368,0.098869,0.227269,0.073762,0.149571,0.229625,0.074288,0.165093,0.235141,0.068263,0.213240,0.237132,0.063080,0.261500
32,0.266667,0.209507,0.077255,0.050652,0.215974,0.076370,0.098870,0.227271,0.073759,0.149572,0.229626,0.074276,0.165098,0.235142,0.068258,0.213246,0.237131,0.063080,0.261504
33,0.275000,0.209511,0.077254,0.050654,0.215974,0.076373,0.098871,0.227270,0.073764,0.149573,0.229626,0.074282,0.165097,0.235144,0.068259,0.213241,0.237134,0.063085,0.261502
34,0.283333,0.209509,0.077253,0.050651,0.215974,0.076370,0.098871,0.227275,0.073760,0.149571,0.229621,0.074276,0.165100,0.235145,0.068259,0.213246,0.237133,0.063082,0.261508
35,0.291667,0.209512,0.077251,0.050650,0.215973,0.076370,0.098869,0.227274,0.073766,0.149573,0.229626,0.074283,0.165097,0.235144,0.068262,0.213239,0.237137,0.063085,0.261500
36,0.300000,0.209511,0.077253,0.050649,0.215972,0.076372,0.098869,0.227270,0.073762,0.149570,0.229622,0.074285,0.165093,0.235141,0.068255,0.213245,0.237132,0.063085,0.261504
37,0.308333,0.209509,0.077257,0.050647,0.215976,0.076371,0.098869,0.227273,0.073760,0.149566,0.229625,0.074281,0.165091,0.235144,0.068258,0.213240,0.237135,0.063084,0.261502
38,0.316667,0.209507,0.077252,0.050645,0.215973,0.076371,0.098867,0.227270,0.073760,0.149566,0.229623,0.074279,0.165095,0.235140,0.068258,0.213237,0.237131,0.063081,0.261499
