Format Version,1.21,Take Name,circular_inextensible_tsample_0pt5s_dutycycle35_000,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-09 11.51.49.565 AM,Total Frames in Take,21975,Total Exported Frames,21975,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:2599,Unlabeled:2599,Unlabeled:2599,Unlabeled:2604,Unlabeled:2604,Unlabeled:2604,Unlabeled:2626,Unlabeled:2626,Unlabeled:2626,Unlabeled:2637,Unlabeled:2637,Unlabeled:2637,Unlabeled:2638,Unlabeled:2638,Unlabeled:2638,Unlabeled:2641,Unlabeled:2641,Unlabeled:2641,Unlabeled:2627,Unlabeled:2627,Unlabeled:2627,Unlabeled:2644,Unlabeled:2644,Unlabeled:2644
,,"8392B20CF49E3570A27","8392B20CF49E3570A27","8392B20CF49E3570A27","8392B20CF49E3570A2C","8392B20CF49E3570A2C","8392B20CF49E3570A2C","8392B20CF49E3570A42","8392B20CF49E3570A42","8392B20CF49E3570A42","8392B20CF49E3570A4D","8392B20CF49E3570A4D","8392B20CF49E3570A4D","8392B20CF49E3570A4E","8392B20CF49E3570A4E","8392B20CF49E3570A4E","8392B20CF49E3570A51","8392B20CF49E3570A51","8392B20CF49E3570A51","8392B20CF49E3570A43","8392B20CF49E3570A43","8392B20CF49E3570A43","8392B20CF49E3570A54","8392B20CF49E3570A54","8392B20CF49E3570A54"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.165927,0.075610,0.100277,0.176324,0.068686,0.264532,0.170280,0.075676,0.167129,0.169494,0.074696,0.151705,0.173714,0.072690,0.216008,0.168826,0.077464,0.051968,,,,,,
1,0.008333,0.165926,0.075611,0.100277,0.176323,0.068687,0.264535,0.170282,0.075682,0.167130,0.169495,0.074702,0.151708,0.173712,0.072692,0.216006,0.168817,0.077483,0.051977,,,,,,
2,0.016667,0.165928,0.075609,0.100277,0.176321,0.068682,0.264535,0.170282,0.075685,0.167131,0.169494,0.074697,0.151704,0.173714,0.072691,0.216005,0.168821,0.077467,0.051973,,,,,,
3,0.025000,0.165927,0.075611,0.100280,0.176323,0.068685,0.264536,0.170284,0.075684,0.167137,0.169493,0.074700,0.151708,0.173718,0.072691,0.216010,0.168825,0.077469,0.051976,,,,,,
4,0.033333,0.165930,0.075616,0.100282,0.176321,0.068686,0.264534,0.170234,0.075723,0.167142,0.169495,0.074700,0.151706,0.173710,0.072689,0.216007,0.168822,0.077468,0.051973,,,,,,
5,0.041667,0.165931,0.075610,0.100277,0.176324,0.068684,0.264533,0.170285,0.075692,0.167129,0.169497,0.074705,0.151707,0.173715,0.072693,0.216008,0.168826,0.077471,0.051976,,,,,,
