Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z,Marker 4 X,Marker 4 Y,Marker 4 Z,Marker 5 X,Marker 5 Y,Marker 5 Z,Marker 6 X,Marker 6 Y,Marker 6 Z
0,0,0.034149,0.023321,0.104135,0.036414,0.023772,0.155402,0.03777,0.024229,0.055938,0.036571,0.025144,0.219709,0.03752,0.025949,0.171644,0.035432,0.024964,0.267998
1,0.008333,0.037771,0.024228,0.055939,0.034151,0.023325,0.104133,0.036416,0.023775,0.155406,0.037518,0.025953,0.171636,0.036571,0.025145,0.219707,0.035431,0.024964,0.267996
2,0.016667,0.037771,0.02423,0.055938,0.034151,0.023321,0.104133,0.036411,0.023779,0.155404,0.037521,0.025954,0.171642,0.036568,0.025137,0.219711,0.035431,0.024965,0.267997
3,0.025,0.037768,0.024226,0.055938,0.034148,0.023321,0.104134,0.036413,0.023782,0.155403,0.03752,0.025952,0.171639,0.036569,0.025146,0.219711,0.03543,0.024968,0.268002
4,0.033333,0.037767,0.024223,0.055935,0.034149,0.023321,0.104132,0.036412,0.023781,0.155408,0.037516,0.02595,0.17164,0.03657,0.025146,0.219707,0.035428,0.024964,0.267995
5,0.041667,0.037774,0.024231,0.055937,0.034152,0.023321,0.10413,0.036413,0.023774,0.155403,0.037462,0.025874,0.171672,0.036571,0.025143,0.219714,0.035431,0.024961,0.267997
6,0.05,0.037768,0.024228,0.055937,0.034148,0.023325,0.104137,0.036416,0.02378,0.155409,0.03746,0.025881,0.171667,0.036569,0.025147,0.219717,0.035428,0.024963,0.267997
7,0.058333,0.037771,0.02423,0.055937,0.03415,0.023316,0.104129,0.036414,0.023777,0.155403,0.037461,0.025877,0.171673,0.036576,0.025145,0.219712,0.035432,0.024961,0.267997
8,0.066667,0.03777,0.024224,0.055934,0.03415,0.023322,0.104136,0.036413,0.023776,0.155408,0.037517,0.025946,0.171642,0.036573,0.025145,0.219716,0.035431,0.024961,0.268003
9,0.075,0.03777,0.024221,0.055933,0.034153,0.023321,0.104134,0.036415,0.023777,0.155409,0.037518,0.02595,0.171642,0.036577,0.02515,0.219708,0.035431,0.024963,0.267997
10,0.083333,0.037771,0.024223,0.055937,0.034148,0.023323,0.104136,0.036415,0.023777,0.155404,0.037458,0.025877,0.171668,0.036572,0.025145,0.219714,0.035432,0.02497,0.268001
11,0.091667,0.037769,0.024225,0.05594,0.034149,0.023318,0.104133,0.036411,0.023773,0.155406,0.037519,0.025953,0.171639,0.036578,0.025143,0.219703,0.03543,0.024964,0.267997
12,0.1,0.037772,0.024229,0.05594,0.034151,0.023325,0.104139,0.036415,0.023775,0.155405,0.037522,0.025952,0.171644,0.036571,0.025149,0.21971,0.035432,0.024969,0.268003
13,0.108333,0.037769,0.024226,0.055937,0.034149,0.023321,0.104136,0.036409,0.023777,0.155403,0.03752,0.025954,0.171633,0.036573,0.025148,0.219705,0.035428,0.024969,0.267998
14,0.116667,0.03777,0.024229,0.055938,0.034148,0.02332,0.104132,0.036414,0.023781,0.155406,0.037519,0.025953,0.171641,0.036569,0.025147,0.219708,0.035431,0.024963,0.267995
