Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z,Marker 4 X,Marker 4 Y,Marker 4 Z,Marker 5 X,Marker 5 Y,Marker 5 Z,Marker 6 X,Marker 6 Y,Marker 6 Z
0,0,0.322812,0.027621,0.3276,0.325807,0.032228,0.538834,0.319994,0.029895,0.442355,0.319164,0.027888,0.426975,0.316615,0.027164,0.375567,0.323022,0.029835,0.490518
1,0.008333,0.322812,0.027621,0.327605,0.31661,0.027165,0.375571,0.319167,0.027892,0.426976,0.319987,0.029595,0.442327,0.32302,0.029837,0.49052,0.325809,0.03223,0.538839
2,0.016667,0.322808,0.027618,0.327605,0.316611,0.027159,0.375572,0.319167,0.027889,0.42698,0.319986,0.029596,0.442333,0.323019,0.029834,0.490524,0.325806,0.03223,0.538844
3,0.025,0.322809,0.027624,0.327609,0.316609,0.027162,0.375577,0.319164,0.027892,0.426984,0.319969,0.029732,0.442312,0.323019,0.029839,0.490526,0.325804,0.032234,0.538846
4,0.033333,0.322812,0.02762,0.327611,0.316608,0.027164,0.375578,0.319165,0.027889,0.42698,0.319988,0.029595,0.442335,0.323015,0.029835,0.490527,0.3258,0.032231,0.538844
5,0.041667,0.322813,0.02762,0.327613,0.31661,0.027165,0.375579,0.319167,0.02789,0.42698,0.31999,0.029591,0.442332,0.323019,0.029833,0.490529,0.325806,0.032237,0.538848
6,0.05,0.322814,0.027622,0.327606,0.316609,0.027164,0.375575,0.319162,0.027891,0.426977,0.319996,0.02983,0.442389,0.323015,0.029835,0.490525,0.325807,0.032228,0.538841
7,0.058333,0.322817,0.027624,0.327601,0.316612,0.027162,0.375572,0.319167,0.027889,0.426977,0.319987,0.029602,0.442326,0.323019,0.029837,0.490525,0.325807,0.032234,0.538842
8,0.066667,0.322814,0.027622,0.3276,0.31661,0.027165,0.37557,0.319167,0.02789,0.426975,0.32,0.029827,0.442378,0.323019,0.029838,0.49052,0.325807,0.032233,0.538836
9,0.075,0.322816,0.027622,0.3276,0.316612,0.027165,0.375567,0.319166,0.027889,0.426974,0.319991,0.029593,0.442321,0.323019,0.029837,0.490517,0.32581,0.032229,0.538834
10,0.083333,0.322816,0.027623,0.327598,0.316614,0.027163,0.375566,0.31917,0.02789,0.426975,0.31997,0.029734,0.442302,0.323019,0.029837,0.490514,0.325811,0.032232,0.538834
11,0.091667,0.322815,0.02762,0.3276,0.316613,0.027161,0.375567,0.319166,0.027887,0.426972,0.319974,0.029733,0.442305,0.323021,0.029836,0.490518,0.325809,0.032228,0.538835
12,0.1,0.322816,0.027623,0.327603,0.316616,0.027167,0.375569,0.319168,0.027889,0.426972,0.320008,0.02983,0.442379,0.323022,0.029838,0.490519,0.325811,0.032227,0.538834
13,0.108333,0.322821,0.027619,0.327602,0.316612,0.027166,0.375571,0.31917,0.027891,0.426973,0.319996,0.029592,0.442329,0.32302,0.029832,0.490521,0.32581,0.032231,0.538837
14,0.116667,0.322821,0.027626,0.327604,0.316619,0.027164,0.375571,0.319174,0.027893,0.426978,0.319975,0.029732,0.442312,0.323026,0.029839,0.490519,0.325811,0.032233,0.538839
15,0.125,0.322818,0.027621,0.327605,0.316614,0.027166,0.375576,0.319168,0.027892,0.426977,0.319997,0.029586,0.442329,0.323021,0.029841,0.490521,0.325808,0.032235,0.538843
16,0.133333,0.322818,0.027625,0.327608,0.316621,0.027164,0.375574,0.319173,0.027891,0.42698,0.319997,0.029592,0.44233,0.323025,0.029839,0.49052,0.325807,0.032238,0.538841
17,0.141667,0.322818,0.027625,0.327609,0.316613,0.027165,0.375574,0.319166,0.027888,0.426977,0.319996,0.029592,0.442334,0.323024,0.029836,0.490524,0.325807,0.032237,0.538842
18,0.15,0.322814,0.027624,0.327606,0.316614,0.027166,0.375572,0.319166,0.027891,0.426979,0.319969,0.02974,0.442309,0.32302,0.029838,0.490523,0.325808,0.032228,0.53884
19,0.158333,0.32281,0.027622,0.327603,0.316609,0.027159,0.375573,0.319164,0.027889,0.426976,0.32,0.029832,0.442387,0.323014,0.029837,0.490518,0.325804,0.032234,0.538836
20,0.166667,0.322808,0.027618,0.327601,0.316605,0.027162,0.37557,0.319161,0.027884,0.426974,0.319968,0.029731,0.44231,0.323018,0.029837,0.490519,0.325804,0.032229,0.538838
21,0.175,0.322809,0.02762,0.3276,0.31661,0.027163,0.375571,0.319167,0.027891,0.426975,0.319988,0.029593,0.442329,0.323015,0.029833,0.490516,0.325802,0.032234,0.538836
22,0.183333,0.322807,0.02762,0.327599,0.31661,0.027162,0.375568,0.319167,0.02789,0.426971,0.319969,0.029735,0.442308,0.323014,0.029834,0.490517,0.325806,0.032228,0.538838
23,0.191667,0.322813,0.027621,0.327604,0.316612,0.027164,0.375573,0.319166,0.027889,0.426979,0.319983,0.029599,0.442326,0.323019,0.029839,0.490524,0.32581,0.032229,0.53884
24,0.2,0.322815,0.027622,0.327603,0.316613,0.027164,0.375571,0.319162,0.027887,0.426976,0.319989,0.029602,0.442326,0.323017,0.029835,0.490521,0.325807,0.032232,0.538837
25,0.208333,0.322818,0.02762,0.327608,0.316616,0.027165,0.375572,0.319167,0.02789,0.426975,0.319992,0.029597,0.442326,0.323022,0.029837,0.490524,0.325809,0.032231,0.538837
26,0.216667,0.322817,0.027623,0.327603,0.316616,0.027164,0.375577,0.319169,0.027894,0.426977,0.31997,0.029738,0.442311,0.32302,0.029835,0.490524,0.325804,0.032231,0.538843
27,0.225,0.322817,0.027622,0.327606,0.316614,0.027162,0.375572,0.319167,0.027887,0.426976,0.319973,0.029735,0.44231,0.323023,0.029836,0.490523,0.325804,0.032227,0.53884
28,0.233333,0.322815,0.027619,0.327606,0.316613,0.027164,0.375577,0.319166,0.027891,0.426979,0.319974,0.029734,0.442309,0.323019,0.029836,0.490522,0.325805,0.032233,0.538838
29,0.241667,0.322814,0.027621,0.327604,0.316611,0.027159,0.375573,0.319164,0.027886,0.426974,0.31999,0.029592,0.44233,0.323016,0.029837,0.49052,0.325807,0.032232,0.53884
30,0.25,0.322815,0.027623,0.327605,0.316611,0.027164,0.375569,0.319165,0.027889,0.426976,0.31999,0.029591,0.442327,0.323019,0.029835,0.490521,0.325806,0.032234,0.538839
31,0.258333,0.322812,0.027618,0.327599,0.316612,0.027161,0.375568,0.319165,0.027887,0.426974,0.319991,0.029587,0.442322,0.323019,0.029838,0.490517,0.325806,0.032231,0.538836
32,0.266667,0.322814,0.027623,0.327597,0.316612,0.027164,0.375568,0.319168,0.027891,0.426975,0.31999,0.029591,0.442322,0.323021,0.029837,0.490519,0.325805,0.032231,0.538837
