Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z,Marker 4 X,Marker 4 Y,Marker 4 Z,Marker 5 X,Marker 5 Y,Marker 5 Z,Marker 6 X,Marker 6 Y,Marker 6 Z
0,0,0.058006,0.039131,0.317454,0.068471,0.038098,0.266731,0.069691,0.048666,0.103639,0.071748,0.043807,0.156047,0.074645,0.039113,0.218829,0.075502,0.040406,0.200255
1,0.008333,0.058007,0.039124,0.317453,0.068466,0.0381,0.26673,0.069693,0.048666,0.103638,0.071743,0.043806,0.156043,0.074642,0.039108,0.218833,0.0755,0.040404,0.200256
2,0.016667,0.058004,0.039126,0.317449,0.068471,0.038098,0.266729,0.069685,0.04866,0.103629,0.071749,0.043805,0.156041,0.074645,0.039108,0.218827,0.075499,0.040401,0.200252
3,0.025,0.058006,0.039129,0.317451,0.068469,0.038098,0.266728,0.069692,0.04866,0.103633,0.07175,0.043807,0.156041,0.074641,0.039107,0.218826,0.075502,0.040406,0.200251
4,0.033333,0.058008,0.039126,0.317452,0.068471,0.038095,0.266732,0.069692,0.04867,0.103636,0.071749,0.043803,0.156042,0.074648,0.039107,0.218833,0.075501,0.040404,0.200254
5,0.041667,0.058005,0.039132,0.317457,0.068468,0.038098,0.266737,0.069686,0.048665,0.103635,0.071749,0.043808,0.156049,0.074643,0.039111,0.218834,0.075501,0.040404,0.200259
6,0.05,0.058005,0.039131,0.317459,0.068468,0.038102,0.266738,0.069692,0.048666,0.103643,0.071745,0.043803,0.156052,0.074644,0.039109,0.218837,0.075502,0.040406,0.200263
7,0.058333,0.058004,0.039131,0.317462,0.068464,0.038098,0.266738,0.06969,0.048667,0.103644,0.071744,0.043806,0.156054,0.074643,0.039113,0.218841,0.075496,0.040404,0.200265
8,0.066667,0.058002,0.039133,0.317462,0.068467,0.038098,0.266741,0.069689,0.048665,0.10364,0.071745,0.043806,0.156054,0.074641,0.03911,0.218838,0.075498,0.04041,0.200264
9,0.075,0.058003,0.039134,0.31746,0.068466,0.038102,0.266738,0.069687,0.048663,0.103643,0.071744,0.043806,0.156052,0.074647,0.039111,0.218842,0.075499,0.040403,0.200263
10,0.083333,0.058003,0.03913,0.317462,0.068467,0.038097,0.266741,0.069685,0.048664,0.103636,0.071744,0.043803,0.156049,0.074643,0.039108,0.218837,0.075495,0.040407,0.200261
