Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z
0,0,-0.058438,0.026507,0.002358,-0.042773,0.027251,0.112903,-0.008619,0.027314,0.056851
1,0.008333,-0.058434,0.026507,0.00236,-0.042772,0.02725,0.112898,-0.008616,0.02732,0.056852
2,0.016667,-0.058434,0.026506,0.002359,-0.042773,0.027247,0.112894,-0.00862,0.027317,0.056851
3,0.025,-0.058435,0.026507,0.002361,-0.042772,0.027251,0.112897,-0.00862,0.02732,0.056849
4,0.033333,-0.058433,0.026506,0.002364,-0.042774,0.027251,0.112892,-0.008625,0.027317,0.056852
5,0.041667,-0.058433,0.026501,0.002363,-0.042774,0.027247,0.112891,-0.008627,0.027317,0.056849
6,0.05,-0.058433,0.0265,0.002367,-0.042772,0.027249,0.112893,-0.008626,0.027316,0.056854
7,0.058333,-0.058431,0.026502,0.002369,-0.042772,0.027251,0.112893,-0.008631,0.027318,0.056849
8,0.066667,-0.058434,0.026501,0.002372,-0.042774,0.027249,0.112888,-0.008633,0.027316,0.056857
9,0.075,-0.058431,0.0265,0.00237,-0.042772,0.027249,0.112892,-0.008632,0.027321,0.056851
10,0.083333,-0.058431,0.026502,0.002376,-0.042774,0.027251,0.112888,-0.008635,0.027318,0.056855
11,0.091667,-0.058432,0.026497,0.002381,-0.042772,0.027249,0.112886,-0.008638,0.027315,0.056855
12,0.1,-0.058431,0.0265,0.002377,-0.042774,0.027251,0.112885,-0.00864,0.027318,0.056858
13,0.108333,-0.058433,0.026498,0.00238,-0.042775,0.02725,0.112883,-0.008641,0.027318,0.056857
14,0.116667,-0.058426,0.0265,0.002384,-0.042773,0.027253,0.112878,-0.008648,0.027318,0.05686
15,0.125,-0.058428,0.026505,0.002387,-0.042774,0.027247,0.112878,-0.008647,0.027318,0.056857
16,0.133333,-0.058425,0.026502,0.002393,-0.042775,0.027248,0.112878,-0.008652,0.027318,0.056861
17,0.141667,-0.058426,0.026501,0.002397,-0.042775,0.027248,0.112876,-0.008655,0.027316,0.056859
18,0.15,-0.058422,0.026506,0.002399,-0.042773,0.027249,0.112876,-0.00866,0.027318,0.056864
19,0.158333,-0.058427,0.026498,0.002402,-0.042777,0.027251,0.112874,-0.008664,0.02732,0.056868
20,0.166667,-0.05843,0.026495,0.002399,-0.042776,0.027254,0.112873,-0.008662,0.027317,0.056864
21,0.175,-0.058422,0.026497,0.002405,-0.042773,0.027249,0.112869,-0.008668,0.027318,0.056865
22,0.183333,-0.058422,0.026502,0.002407,-0.042775,0.027248,0.112864,-0.008674,0.027321,0.056863
23,0.191667,-0.058418,0.026498,0.002411,-0.042778,0.027249,0.112864,-0.008673,0.027319,0.056862
24,0.2,-0.05842,0.026498,0.002412,-0.042776,0.02725,0.112865,-0.008673,0.02732,0.056869
25,0.208333,-0.058419,0.026498,0.002417,-0.042774,0.02725,0.11286,-0.008678,0.02732,0.056868
26,0.216667,-0.058419,0.0265,0.002417,-0.042776,0.027249,0.112862,-0.00868,0.027313,0.056871
27,0.225,-0.058415,0.0265,0.002423,-0.042772,0.027244,0.112857,-0.008681,0.027321,0.056873
28,0.233333,-0.058419,0.026491,0.002429,-0.042775,0.027249,0.112857,-0.008686,0.027322,0.056875
29,0.241667,-0.058414,0.026501,0.002428,-0.042776,0.027252,0.112857,-0.008686,0.027318,0.056871
30,0.25,-0.058416,0.026495,0.002428,-0.042774,0.027249,0.112853,-0.008689,0.027321,0.056873
31,0.258333,-0.058414,0.026498,0.00243,-0.042776,0.027253,0.112853,-0.008695,0.027321,0.056874
32,0.266667,-0.058419,0.026493,0.002432,-0.042778,0.02725,0.112852,-0.008698,0.02732,0.056871
33,0.275,-0.058414,0.026492,0.002432,-0.042777,0.027251,0.112848,-0.008698,0.027321,0.056879
34,0.283333,-0.058417,0.026489,0.002439,-0.042777,0.027248,0.112849,-0.008703,0.027317,0.056875
35,0.291667,-0.058413,0.026497,0.002441,-0.042775,0.027249,0.112849,-0.008707,0.027322,0.056881
36,0.3,-0.05841,0.026499,0.002444,-0.042778,0.027246,0.112849,-0.008709,0.027319,0.056885
37,0.308333,-0.058407,0.026497,0.002448,-0.042774,0.027247,0.112847,-0.008711,0.027319,0.056887
38,0.316667,-0.058414,0.026495,0.002451,-0.042775,0.027247,0.112847,-0.008711,0.02732,0.056886
39,0.325,-0.058413,0.02649,0.002454,-0.042776,0.027252,0.112843,-0.008711,0.027325,0.056884
40,0.333333,-0.058407,0.026497,0.002455,-0.042773,0.02725,0.112843,-0.008714,0.02732,0.056883
41,0.341667,-0.058411,0.026492,0.002455,-0.042772,0.027245,0.112838,-0.008715,0.027321,0.056885
42,0.35,-0.058406,0.026495,0.002457,-0.042775,0.027244,0.112838,-0.008722,0.027317,0.056888
43,0.358333,-0.058411,0.026491,0.002465,-0.042776,0.02725,0.112839,-0.008725,0.027322,0.056888
44,0.366667,-0.058408,0.026491,0.002464,-0.042778,0.02725,0.112835,-0.008726,0.027322,0.056887
45,0.375,-0.058405,0.02649,0.002463,-0.042772,0.027245,0.112836,-0.008729,0.027319,0.05689
46,0.383333,-0.058406,0.026491,0.002468,-0.042778,0.027244,0.112835,-0.008728,0.02732,0.056892
47,0.391667,-0.058402,0.026492,0.002468,-0.042774,0.027243,0.112832,-0.008734,0.027314,0.056889
48,0.4,-0.058405,0.026487,0.002471,-0.042775,0.027242,0.112826,-0.008734,0.027321,0.056897
49,0.408333,-0.0584,0.026493,0.002473,-0.042776,0.02725,0.112826,-0.008738,0.027321,0.056889
50,0.416667,-0.0584,0.026488,0.002476,-0.042777,0.027244,0.112826,-0.008742,0.02732,0.056892
51,0.425,-0.0584,0.02649,0.002479,-0.042776,0.027254,0.112826,-0.008744,0.02732,0.056894
52,0.433333,-0.058397,0.026491,0.002486,-0.042781,0.027247,0.112823,-0.008741,0.027321,0.056899
53,0.441667,-0.0584,0.026492,0.002485,-0.042774,0.027244,0.112823,-0.008746,0.027324,0.056898
54,0.45,-0.058397,0.026486,0.002487,-0.042773,0.027249,0.112822,-0.008748,0.027319,0.0569
55,0.458333,-0.058401,0.026489,0.002491,-0.042776,0.027247,0.11282,-0.008751,0.027318,0.056897
56,0.466667,-0.058399,0.026488,0.002491,-0.042775,0.027249,0.112818,-0.008752,0.027324,0.056898
57,0.475,-0.058397,0.026485,0.002495,-0.042777,0.027247,0.112815,-0.00876,0.027324,0.056899
58,0.483333,-0.058399,0.026489,0.002494,-0.042779,0.027246,0.112815,-0.008758,0.027323,0.056899
59,0.491667,-0.058396,0.026483,0.002497,-0.042777,0.027244,0.112814,-0.008766,0.02732,0.056901
60,0.5,-0.058396,0.026489,0.002502,-0.042776,0.027247,0.112811,-0.008764,0.02732,0.056906
61,0.508333,-0.058396,0.026486,0.002501,-0.042778,0.027245,0.112808,-0.008771,0.027317,0.056905
62,0.516667,-0.058395,0.026488,0.002505,-0.042777,0.027242,0.112813,-0.00877,0.027321,0.056902
63,0.525,-0.058392,0.02649,0.002508,-0.042775,0.027249,0.112807,-0.00877,0.027323,0.056909
64,0.533333,-0.058388,0.026486,0.002508,-0.042776,0.027245,0.112806,-0.008769,0.027327,0.056906
65,0.541667,-0.058391,0.02649,0.002512,-0.042777,0.027249,0.112803,-0.008777,0.027322,0.056907
66,0.55,-0.05839,0.026484,0.002515,-0.042774,0.027245,0.1128,-0.008777,0.027324,0.056908
67,0.558333,-0.058387,0.026488,0.002518,-0.042777,0.027243,0.1128,-0.00878,0.027319,0.056911
68,0.566667,-0.058391,0.026487,0.002518,-0.042778,0.027248,0.112794,-0.008785,0.027317,0.056913
69,0.575,-0.058389,0.026484,0.002518,-0.042781,0.027245,0.1128,-0.008787,0.027322,0.056911
70,0.583333,-0.058389,0.026486,0.002526,-0.042784,0.027247,0.112797,-0.008789,0.027323,0.056912
71,0.591667,-0.058389,0.026483,0.002524,-0.042781,0.027243,0.112793,-0.008791,0.027324,0.056913
72,0.6,-0.058386,0.026485,0.002527,-0.042783,0.027247,0.11279,-0.008794,0.027321,0.056914
73,0.608333,-0.058387,0.026483,0.002531,-0.04278,0.027243,0.112791,-0.008796,0.027321,0.056916
74,0.616667,-0.058386,0.026483,0.002532,-0.042781,0.027245,0.11279,-0.008795,0.027322,0.05692
75,0.625,-0.05838,0.026485,0.002537,-0.042777,0.027247,0.112791,-0.008801,0.027321,0.05692
76,0.633333,-0.05838,0.026484,0.00254,-0.042779,0.027245,0.112789,-0.008802,0.027319,0.056919
77,0.641667,-0.058382,0.02648,0.002542,-0.042781,0.02724,0.112787,-0.008803,0.027324,0.056925
78,0.65,-0.058381,0.026483,0.002542,-0.042779,0.027249,0.112786,-0.008808,0.027322,0.056921
79,0.658333,-0.058378,0.026487,0.002552,-0.042776,0.027248,0.112782,-0.00881,0.027322,0.056925
80,0.666667,-0.058375,0.026487,0.002548,-0.042782,0.027247,0.11278,-0.008814,0.027325,0.056916
81,0.675,-0.058381,0.026484,0.002552,-0.04278,0.027246,0.112779,-0.008816,0.027322,0.056924
82,0.683333,-0.05838,0.026483,0.002551,-0.042779,0.027247,0.112775,-0.008816,0.027325,0.056926
83,0.691667,-0.058377,0.026483,0.002553,-0.042776,0.027246,0.112773,-0.008823,0.027322,0.056919
84,0.7,-0.058374,0.026485,0.002556,-0.042779,0.027248,0.112774,-0.008826,0.027323,0.056919
85,0.708333,-0.058373,0.026479,0.002557,-0.042779,0.027242,0.112772,-0.008826,0.027322,0.056923
86,0.716667,-0.058369,0.026482,0.002565,-0.042785,0.027243,0.112773,-0.008828,0.027321,0.056931
87,0.725,-0.058373,0.02648,0.002565,-0.042781,0.027247,0.112768,-0.008832,0.027319,0.05693
88,0.733333,-0.058368,0.026484,0.002573,-0.04278,0.027247,0.112768,-0.008835,0.027321,0.05693
89,0.741667,-0.058365,0.026487,0.002573,-0.042779,0.027244,0.112764,-0.008837,0.027327,0.056927
90,0.75,-0.05837,0.026478,0.002573,-0.04278,0.027245,0.112762,-0.00884,0.027319,0.056934
91,0.758333,-0.058367,0.026482,0.002573,-0.04278,0.027239,0.11276,-0.00884,0.027326,0.056935
92,0.766667,-0.05837,0.026479,0.002576,-0.04278,0.027242,0.112761,-0.008848,0.027321,0.056932
93,0.775,-0.058364,0.026481,0.002579,-0.042781,0.027243,0.112755,-0.008847,0.02732,0.056933
94,0.783333,-0.058367,0.026484,0.002584,-0.042782,0.027244,0.112757,-0.00885,0.02733,0.056933
95,0.791667,-0.058361,0.026486,0.002588,-0.042781,0.027244,0.112759,-0.008855,0.027324,0.056937
96,0.8,-0.058362,0.026485,0.002587,-0.042781,0.027243,0.112754,-0.008856,0.027321,0.056935
97,0.808333,-0.058358,0.026483,0.002592,-0.042781,0.027243,0.112751,-0.008858,0.027328,0.056941
98,0.816667,-0.058357,0.026482,0.002595,-0.042779,0.027236,0.112749,-0.008859,0.027327,0.056938
99,0.825,-0.05836,0.026482,0.002598,-0.042781,0.027242,0.112748,-0.008864,0.027325,0.056941
100,0.833333,-0.058359,0.026482,0.0026,-0.042781,0.027245,0.112747,-0.008866,0.027322,0.056943
101,0.841667,-0.058358,0.026479,0.002604,-0.042782,0.027239,0.112746,-0.008867,0.027321,0.056945
102,0.85,-0.058358,0.02648,0.002606,-0.042782,0.027245,0.112747,-0.008868,0.027322,0.056945
103,0.858333,-0.058355,0.026483,0.002607,-0.042781,0.027244,0.11274,-0.008871,0.027326,0.056945
104,0.866667,-0.058356,0.026477,0.002609,-0.042782,0.027244,0.112744,-0.008874,0.027321,0.056947
105,0.875,-0.058352,0.026478,0.002612,-0.042784,0.027241,0.11274,-0.008875,0.027325,0.056946
106,0.883333,-0.058356,0.02648,0.002613,-0.042782,0.027241,0.112736,-0.008882,0.027329,0.056951
107,0.891667,-0.058352,0.026477,0.002617,-0.042783,0.027243,0.112733,-0.00888,0.027322,0.056947
108,0.9,-0.058351,0.026477,0.002619,-0.042782,0.02724,0.112732,-0.008886,0.027326,0.056949
109,0.908333,-0.058352,0.026473,0.002622,-0.042784,0.027241,0.112733,-0.008884,0.027324,0.056952
110,0.916667,-0.058352,0.026479,0.002623,-0.042782,0.027243,0.112734,-0.008886,0.02732,0.056952
111,0.925,-0.058351,0.02648,0.002624,-0.042782,0.027241,0.112734,-0.008892,0.027326,0.05695
112,0.933333,-0.058349,0.026479,0.002629,-0.042783,0.027243,0.112736,-0.008891,0.02732,0.056953
113,0.941667,-0.058351,0.026476,0.002631,-0.042784,0.027243,0.11273,-0.008898,0.027324,0.056955
114,0.95,-0.058345,0.026481,0.00263,-0.042779,0.027247,0.11273,-0.008895,0.027325,0.056951
115,0.958333,-0.058347,0.026478,0.002636,-0.04278,0.027244,0.112728,-0.008898,0.027323,0.056953
116,0.966667,-0.058344,0.026477,0.002633,-0.042785,0.027242,0.112722,-0.008901,0.027321,0.056955
117,0.975,-0.058346,0.026476,0.002638,-0.042785,0.027243,0.11272,-0.0089,0.027331,0.056953
118,0.983333,-0.058346,0.026476,0.002637,-0.042785,0.027242,0.112721,-0.008901,0.027328,0.056956
