Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z
0,0,-0.00855,0.025547,0.142134,0.003643,0.025428,0.090581,0.007459,0.025229,0.044328
1,0.008333,-0.008493,0.025492,0.142148,0.003637,0.025423,0.09058,0.007457,0.025227,0.044325
2,0.016667,-0.008552,0.025542,0.142123,0.003633,0.025422,0.090574,0.007453,0.025227,0.044329
3,0.025,-0.008494,0.02549,0.142142,0.003636,0.025421,0.090573,0.007454,0.025227,0.044326
4,0.033333,-0.00855,0.025547,0.142126,0.003634,0.025421,0.090574,0.007453,0.025229,0.044325
5,0.041667,-0.008554,0.025543,0.142125,0.003631,0.02542,0.090577,0.00745,0.025227,0.044326
6,0.05,-0.008554,0.025547,0.14213,0.00363,0.025421,0.09058,0.007452,0.025228,0.04433
7,0.058333,-0.008552,0.025543,0.142129,0.003634,0.025415,0.090581,0.007453,0.02523,0.044328
8,0.066667,-0.008549,0.025545,0.142132,0.003637,0.025424,0.090581,0.007455,0.025229,0.044331
9,0.075,-0.008551,0.025544,0.142128,0.003635,0.025419,0.09058,0.007461,0.025229,0.044332
10,0.083333,-0.008547,0.025547,0.142128,0.003639,0.025417,0.090575,0.00746,0.02523,0.044327
11,0.091667,-0.00855,0.025545,0.142129,0.003639,0.025419,0.090576,0.007458,0.025232,0.044332
12,0.1,-0.008546,0.025545,0.142125,0.003639,0.025422,0.090574,0.007458,0.025228,0.044332
13,0.108333,-0.00855,0.025548,0.142125,0.003636,0.025421,0.090577,0.007457,0.025231,0.044331
14,0.116667,-0.00855,0.025546,0.142124,0.003638,0.02542,0.09058,0.007457,0.025226,0.044331
15,0.125,-0.00855,0.025549,0.142126,0.003633,0.025424,0.09058,0.007456,0.025229,0.044331
16,0.133333,-0.00855,0.025545,0.142128,0.003635,0.025422,0.090577,0.007456,0.025225,0.044334
17,0.141667,-0.008492,0.025496,0.142141,0.003657,0.025461,0.090585,0.007454,0.025231,0.044333
18,0.15,-0.008555,0.025547,0.142128,0.003629,0.025417,0.090579,0.007452,0.025228,0.044337
19,0.158333,-0.008555,0.025549,0.142125,0.003658,0.02546,0.090586,0.007454,0.025228,0.044333
20,0.166667,-0.00855,0.025545,0.142126,0.003632,0.025421,0.09058,0.007455,0.025232,0.044332
21,0.175,-0.008549,0.025545,0.14212,0.003634,0.02542,0.090581,0.007458,0.025228,0.044331
22,0.183333,-0.00855,0.025547,0.142126,0.003634,0.025423,0.09058,0.007462,0.025227,0.044333
23,0.191667,-0.008546,0.025549,0.142127,0.003635,0.025424,0.090573,0.00746,0.025228,0.044334
24,0.2,-0.008547,0.025546,0.142128,0.003635,0.025417,0.090581,0.007462,0.025231,0.044336
25,0.208333,-0.008548,0.025544,0.142127,0.003633,0.025418,0.090577,0.00746,0.025226,0.044335
26,0.216667,-0.00855,0.025548,0.142123,0.00363,0.025417,0.090579,0.007457,0.02523,0.044332
27,0.225,-0.008548,0.025547,0.142125,0.00363,0.025415,0.090579,0.007456,0.025226,0.044335
28,0.233333,-0.008552,0.025542,0.142125,0.003628,0.025413,0.090573,0.007454,0.025226,0.044333
29,0.241667,-0.008552,0.025545,0.142122,0.003628,0.025417,0.090574,0.00745,0.025228,0.044332
30,0.25,-0.008553,0.025545,0.142122,0.00363,0.025415,0.090577,0.007452,0.025231,0.044333
31,0.258333,-0.008494,0.025491,0.14214,0.003625,0.025418,0.090578,0.007454,0.025231,0.044332
32,0.266667,-0.008547,0.025546,0.14212,0.003628,0.025413,0.090576,0.007454,0.025229,0.044334
33,0.275,-0.00855,0.025546,0.142124,0.003631,0.025414,0.090576,0.007455,0.025226,0.044339
34,0.283333,-0.008547,0.025548,0.142125,0.003632,0.025413,0.090574,0.00746,0.025227,0.044338
35,0.291667,-0.008551,0.025544,0.142124,0.003632,0.025415,0.090576,0.00746,0.02523,0.044337
36,0.3,-0.008548,0.025546,0.142123,0.003632,0.025416,0.090575,0.007459,0.025228,0.044337
