FFrame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z
0,0.000000,-0.006972,0.025444,0.142786,0.007731,0.025355,0.042056,0.008438,0.025946,0.090295
1,0.008333,-0.007024,0.025500,0.142773,0.007733,0.025352,0.042056,0.008436,0.025945,0.090296
2,0.016667,-0.007022,0.025499,0.142771,0.007731,0.025354,0.042057,0.008439,0.025945,0.090296
3,0.025000,-0.007023,0.025498,0.142770,0.007731,0.025355,0.042056,0.008437,0.025947,0.090296
4,0.033333,-0.007023,0.025495,0.142773,0.007731,0.025354,0.042057,0.008439,0.025945,0.090295
5,0.041667,-0.007023,0.025501,0.142773,0.007735,0.025351,0.042057,0.008435,0.025947,0.090295
6,0.050000,-0.007023,0.025503,0.142769,0.007733,0.025359,0.042058,0.008436,0.025948,0.090302
7,0.058333,-0.007029,0.025500,0.142773,0.007731,0.025355,0.042058,0.008436,0.025945,0.090301
8,0.066667,-0.006974,0.025442,0.142783,0.007729,0.025352,0.042060,0.008435,0.025949,0.090298
9,0.075000,-0.007026,0.025496,0.142774,0.007728,0.025353,0.042061,0.008436,0.025949,0.090300
10,0.083333,-0.007028,0.025497,0.142771,0.007729,0.025349,0.042058,0.008406,0.025910,0.090289
11,0.091667,-0.006973,0.025442,0.142783,0.007731,0.025354,0.042056,0.008432,0.025945,0.090297
12,0.100000,-0.007027,0.025494,0.142769,0.007728,0.025358,0.042057,0.008413,0.025916,0.090290
13,0.108333,-0.007026,0.025496,0.142770,0.007733,0.025350,0.042060,0.008434,0.025944,0.090296
14,0.116667,-0.007026,0.025500,0.142771,0.007730,0.025355,0.042060,0.008410,0.025910,0.090290
15,0.125000,-0.007022,0.025497,0.142771,0.007731,0.025356,0.042058,0.008436,0.025948,0.090299
16,0.133333,-0.007027,0.025499,0.142768,0.007733,0.025356,0.042062,0.008408,0.025913,0.090295
17,0.141667,-0.007026,0.025494,0.142774,0.007732,0.025357,0.042064,0.008411,0.025912,0.090298
18,0.150000,-0.007028,0.025496,0.142774,0.007731,0.025355,0.042064,0.008435,0.025942,0.090299
19,0.158333,-0.007028,0.025496,0.142772,0.007731,0.025355,0.042060,0.008434,0.025942,0.090301
20,0.166667,-0.007028,0.025497,0.142769,0.007728,0.025355,0.042060,0.008432,0.025942,0.090297
21,0.175000,-0.007026,0.025497,0.142769,0.007730,0.025355,0.042060,0.008435,0.025948,0.090298
22,0.183333,-0.007027,0.025498,0.142767,0.007730,0.025354,0.042061,0.008432,0.025945,0.090297
23,0.191667,-0.007026,0.025494,0.142768,0.007729,0.025357,0.042058,0.008431,0.025946,0.090295
24,0.200000,-0.007024,0.025496,0.142768,0.007728,0.025357,0.042058,0.008431,0.025944,0.090295
25,0.208333,-0.007027,0.025503,0.142771,0.007732,0.025355,0.042061,0.008433,0.025948,0.090297
26,0.216667,-0.007025,0.025500,0.142772,0.007730,0.025353,0.042063,0.008437,0.025946,0.090299
27,0.225000,-0.007024,0.025492,0.142768,0.007731,0.025356,0.042064,0.008434,0.025946,0.090301
28,0.233333,-0.007026,0.025496,0.142774,0.007730,0.025355,0.042062,0.008436,0.025939,0.090302
29,0.241667,-0.007029,0.025498,0.142769,0.007734,0.025354,0.042062,0.008434,0.025943,0.090298
