Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z
0,0.000000,-0.050063,0.027025,0.064112,-0.030706,0.027078,0.119656,-0.023785,0.026039,0.002955
1,0.008333,-0.050063,0.027025,0.064113,-0.030708,0.027075,0.119649,-0.023783,0.026035,0.002954
2,0.016667,-0.050060,0.027027,0.064112,-0.030708,0.027080,0.119653,-0.023780,0.026038,0.002952
3,0.025000,-0.050059,0.027025,0.064109,-0.030707,0.027079,0.119650,-0.023782,0.026039,0.002954
4,0.033333,-0.050057,0.027024,0.064109,-0.030710,0.027075,0.119651,-0.023782,0.026036,0.002952
5,0.041667,-0.050060,0.027024,0.064111,-0.030705,0.027080,0.119654,-0.023781,0.026036,0.002953
6,0.050000,-0.050054,0.027028,0.064108,-0.030703,0.027077,0.119648,-0.023780,0.026037,0.002953
7,0.058333,-0.050060,0.027027,0.064112,-0.030704,0.027078,0.119646,-0.023781,0.026033,0.002955
8,0.066667,-0.050058,0.027026,0.064112,-0.030703,0.027076,0.119645,-0.023779,0.026034,0.002957
9,0.075000,-0.050055,0.027026,0.064108,-0.030706,0.027077,0.119645,-0.023779,0.026037,0.002954
10,0.083333,-0.050056,0.027032,0.064112,-0.030702,0.027079,0.119649,-0.023779,0.026037,0.002957
11,0.091667,-0.050051,0.027024,0.064113,-0.030701,0.027076,0.119650,-0.023777,0.026034,0.002960
12,0.100000,-0.050053,0.027027,0.064115,-0.030702,0.027076,0.119649,-0.023778,0.026037,0.002962
13,0.108333,-0.050052,0.027029,0.064110,-0.030701,0.027074,0.119651,-0.023777,0.026040,0.002959
14,0.116667,-0.050050,0.027030,0.064112,-0.030701,0.027076,0.119647,-0.023777,0.026036,0.002961
15,0.125000,-0.050053,0.027029,0.064110,-0.030700,0.027076,0.119650,-0.023775,0.026039,0.002960
16,0.133333,-0.050052,0.027031,0.064113,-0.030700,0.027080,0.119648,-0.023777,0.026038,0.002961
17,0.141667,-0.050052,0.027027,0.064117,-0.030702,0.027080,0.119650,-0.023779,0.026040,0.002962
18,0.150000,-0.050053,0.027026,0.064110,-0.030701,0.027076,0.119645,-0.023781,0.026037,0.002962
19,0.158333,-0.050052,0.027024,0.064108,-0.030703,0.027076,0.119647,-0.023779,0.026036,0.002960
20,0.166667,-0.050049,0.027025,0.064113,-0.030698,0.027071,0.119645,-0.023779,0.026036,0.002960
21,0.175000,-0.050051,0.027024,0.064108,-0.030700,0.027078,0.119647,-0.023774,0.026038,0.002961
22,0.183333,-0.050051,0.027028,0.064109,-0.030699,0.027080,0.119648,-0.023777,0.026038,0.002959
23,0.191667,-0.050050,0.027025,0.064112,-0.030697,0.027075,0.119649,-0.023776,0.026040,0.002961
24,0.200000,-0.050047,0.027027,0.064108,-0.030696,0.027079,0.119649,-0.023775,0.026039,0.002963
25,0.208333,-0.050049,0.027030,0.064110,-0.030701,0.027077,0.119641,-0.023776,0.026036,0.002961
26,0.216667,-0.050050,0.027028,0.064113,-0.030699,0.027076,0.119644,-0.023777,0.026035,0.002959
27,0.225000,-0.050051,0.027028,0.064110,-0.030700,0.027078,0.119646,-0.023775,0.026034,0.002964
28,0.233333,-0.050051,0.027025,0.064108,-0.030702,0.027074,0.119644,-0.023775,0.026037,0.002963
29,0.241667,-0.050056,0.027020,0.064111,-0.030697,0.027074,0.119644,-0.023776,0.026038,0.002964
30,0.250000,-0.050052,0.027026,0.064111,-0.030699,0.027079,0.119646,-0.023775,0.026035,0.002956
31,0.258333,-0.050053,0.027026,0.064108,-0.030701,0.027078,0.119646,-0.023780,0.026037,0.002956
32,0.266667,-0.050053,0.027021,0.064110,-0.030697,0.027073,0.119648,-0.023776,0.026041,0.002962
33,0.275000,-0.050049,0.027027,0.064111,-0.030698,0.027078,0.119647,-0.023779,0.026038,0.002960
34,0.283333,-0.050051,0.027027,0.064108,-0.030703,0.027076,0.119646,-0.023778,0.026038,0.002960
35,0.291667,-0.050052,0.027022,0.064114,-0.030700,0.027071,0.119649,-0.023776,0.026039,0.002960
36,0.300000,-0.050051,0.027032,0.064113,-0.030703,0.027075,0.119650,-0.023778,0.026039,0.002964
37,0.308333,-0.050054,0.027023,0.064112,-0.030703,0.027080,0.119647,-0.023778,0.026035,0.002957
38,0.316667,-0.050056,0.027025,0.064113,-0.030698,0.027078,0.119651,-0.023779,0.026038,0.002959
39,0.325000,-0.050054,0.027024,0.064105,-0.030700,0.027080,0.119647,-0.023778,0.026038,0.002957
40,0.333333,-0.050050,0.027027,0.064108,-0.030701,0.027079,0.119648,-0.023774,0.026035,0.002959
41,0.341667,-0.050053,0.027030,0.064110,-0.030702,0.027077,0.119646,-0.023777,0.026038,0.002958
42,0.350000,-0.050056,0.027024,0.064108,-0.030702,0.027075,0.119644,-0.023777,0.026036,0.002956
43,0.358333,-0.050053,0.027028,0.064108,-0.030703,0.027073,0.119644,-0.023782,0.026036,0.002957
44,0.366667,-0.050052,0.027025,0.064111,-0.030698,0.027084,0.119649,-0.023777,0.026040,0.002962
45,0.375000,-0.050057,0.027025,0.064111,-0.030703,0.027077,0.119648,-0.023777,0.026034,0.002956
46,0.383333,-0.050052,0.027024,0.064112,-0.030700,0.027080,0.119647,-0.023777,0.026036,0.002958
47,0.391667,-0.050051,0.027029,0.064109,-0.030699,0.027075,0.119649,-0.023775,0.026036,0.002961
48,0.400000,-0.050053,0.027024,0.064112,-0.030702,0.027077,0.119649,-0.023776,0.026040,0.002960
49,0.408333,-0.050054,0.027022,0.064111,-0.030702,0.027076,0.119648,-0.023779,0.026034,0.002960
50,0.416667,-0.050053,0.027026,0.064114,-0.030701,0.027084,0.119649,-0.023777,0.026037,0.002959
51,0.425000,-0.050052,0.027030,0.064114,-0.030701,0.027077,0.119648,-0.023776,0.026037,0.002958
52,0.433333,-0.050056,0.027027,0.064111,-0.030701,0.027084,0.119648,-0.023779,0.026038,0.002956
53,0.441667,-0.050053,0.027029,0.064106,-0.030702,0.027075,0.119647,-0.023780,0.026035,0.002957
54,0.450000,-0.050056,0.027023,0.064110,-0.030700,0.027077,0.119650,-0.023780,0.026035,0.002957
55,0.458333,-0.050052,0.027024,0.064112,-0.030699,0.027076,0.119649,-0.023782,0.026034,0.002958
56,0.466667,-0.050053,0.027026,0.064114,-0.030703,0.027076,0.119647,-0.023775,0.026035,0.002957
57,0.475000,-0.050053,0.027028,0.064110,-0.030701,0.027075,0.119650,-0.023778,0.026036,0.002958
58,0.483333,-0.050053,0.027025,0.064110,-0.030701,0.027078,0.119649,-0.023775,0.026037,0.002965
59,0.491667,-0.050054,0.027027,0.064116,-0.030697,0.027080,0.119650,-0.023777,0.026036,0.002960
60,0.500000,-0.050053,0.027026,0.064112,-0.030698,0.027073,0.119648,-0.023777,0.026035,0.002961
61,0.508333,-0.050051,0.027027,0.064106,-0.030698,0.027076,0.119647,-0.023776,0.026040,0.002961
62,0.516667,-0.050051,0.027029,0.064111,-0.030696,0.027070,0.119648,-0.023776,0.026035,0.002961
