Frame,Time,Marker 1 X,Marker 1 Y,Marker 1 Z,Marker 2 X,Marker 2 Y,Marker 2 Z,Marker 3 X,Marker 3 Y,Marker 3 Z
0,0.000000,-0.012141,0.025543,0.098830,-0.007398,0.025430,0.052755,-0.003967,0.025549,0.151085
1,0.008333,-0.012137,0.025543,0.098832,-0.007397,0.025430,0.052753,-0.003965,0.025552,0.151090
2,0.016667,-0.012137,0.025549,0.098832,-0.007397,0.025425,0.052756,-0.003962,0.025548,0.151089
3,0.025000,-0.012136,0.025548,0.098834,-0.007390,0.025427,0.052760,-0.003962,0.025550,0.151091
4,0.033333,-0.012136,0.025551,0.098836,-0.007391,0.025430,0.052757,-0.003964,0.025549,0.151089
5,0.041667,-0.012135,0.025556,0.098832,-0.007391,0.025427,0.052757,-0.003962,0.025551,0.151090
6,0.050000,-0.012133,0.025550,0.098830,-0.007391,0.025432,0.052754,-0.003961,0.025550,0.151088
7,0.058333,-0.012135,0.025550,0.098833,-0.007391,0.025423,0.052758,-0.003961,0.025548,0.151086
8,0.066667,-0.012134,0.025547,0.098828,-0.007390,0.025427,0.052755,-0.003959,0.025549,0.151088
9,0.075000,-0.012136,0.025553,0.098833,-0.007390,0.025430,0.052755,-0.003966,0.025552,0.151087
10,0.083333,-0.012136,0.025551,0.098828,-0.007397,0.025428,0.052753,-0.003967,0.025553,0.151089
11,0.091667,-0.012141,0.025549,0.098829,-0.007399,0.025427,0.052752,-0.003967,0.025552,0.151091
12,0.100000,-0.012135,0.025548,0.098832,-0.007397,0.025428,0.052756,-0.003963,0.025547,0.151088
13,0.108333,-0.012136,0.025550,0.098826,-0.007393,0.025430,0.052753,-0.003967,0.025544,0.151087
14,0.116667,-0.012138,0.025547,0.098828,-0.007394,0.025431,0.052755,-0.003969,0.025552,0.151087
15,0.125000,-0.012139,0.025545,0.098832,-0.007395,0.025429,0.052756,-0.003963,0.025552,0.151087
16,0.133333,-0.012136,0.025549,0.098834,-0.007392,0.025429,0.052753,-0.003962,0.025551,0.151085
17,0.141667,-0.012133,0.025550,0.098827,-0.007390,0.025428,0.052757,-0.003959,0.025548,0.151089
18,0.150000,-0.012133,0.025549,0.098831,-0.007392,0.025428,0.052758,-0.003959,0.025546,0.151091
19,0.158333,-0.012135,0.025550,0.098832,-0.007394,0.025429,0.052757,-0.003963,0.025551,0.151089
20,0.166667,-0.012136,0.025552,0.098834,-0.007394,0.025429,0.052759,-0.003967,0.025550,0.151092
21,0.175000,-0.012135,0.025548,0.098834,-0.007395,0.025431,0.052758,-0.003965,0.025550,0.151087
22,0.183333,-0.012140,0.025543,0.098827,-0.007396,0.025424,0.052758,-0.003964,0.025552,0.151090
23,0.191667,-0.012134,0.025549,0.098826,-0.007395,0.025427,0.052752,-0.003967,0.025549,0.151086
24,0.200000,-0.012135,0.025551,0.098827,-0.007400,0.025430,0.052752,-0.003965,0.025546,0.151086
25,0.208333,-0.012135,0.025554,0.098833,-0.007397,0.025427,0.052753,-0.003965,0.025542,0.151089
26,0.216667,-0.012145,0.025544,0.098829,-0.007395,0.025426,0.052756,-0.003965,0.025551,0.151091
27,0.225000,-0.012136,0.025552,0.098832,-0.007394,0.025426,0.052757,-0.003967,0.025552,0.151090
28,0.233333,-0.012133,0.025552,0.098831,-0.007394,0.025432,0.052755,-0.003961,0.025553,0.151089
29,0.241667,-0.012131,0.025549,0.098830,-0.007390,0.025429,0.052758,-0.003962,0.025551,0.151091
30,0.250000,-0.012132,0.025548,0.098831,-0.007392,0.025428,0.052758,-0.003966,0.025549,0.151088
31,0.258333,-0.012134,0.025550,0.098835,-0.007395,0.025428,0.052758,-0.003965,0.025548,0.151083
32,0.266667,-0.012135,0.025543,0.098827,-0.007393,0.025429,0.052754,-0.003963,0.025550,0.151088
33,0.275000,-0.012135,0.025553,0.098831,-0.007397,0.025426,0.052753,-0.003965,0.025548,0.151084
34,0.283333,-0.012133,0.025545,0.098828,-0.007396,0.025425,0.052753,-0.003962,0.025550,0.151082
35,0.291667,-0.012137,0.025547,0.098831,-0.007395,0.025428,0.052753,-0.003965,0.025549,0.151083
36,0.300000,-0.012134,0.025550,0.098833,-0.007396,0.025430,0.052757,-0.003968,0.025549,0.151086
37,0.308333,-0.012134,0.025551,0.098831,-0.007396,0.025429,0.052756,-0.003969,0.025548,0.151092
38,0.316667,-0.012139,0.025549,0.098831,-0.007394,0.025429,0.052755,-0.003964,0.025550,0.151088
39,0.325000,-0.012134,0.025544,0.098830,-0.007396,0.025426,0.052760,-0.003961,0.025550,0.151088
40,0.333333,-0.012135,0.025551,0.098832,-0.007396,0.025428,0.052759,-0.003965,0.025545,0.151087
41,0.341667,-0.012134,0.025547,0.098829,-0.007391,0.025426,0.052759,-0.003967,0.025547,0.151090
42,0.350000,-0.012130,0.025554,0.098830,-0.007393,0.025429,0.052759,-0.003964,0.025547,0.151084
43,0.358333,-0.012135,0.025545,0.098828,-0.007396,0.025426,0.052752,-0.003965,0.025548,0.151089
44,0.366667,-0.012136,0.025542,0.098833,-0.007394,0.025426,0.052756,-0.003963,0.025549,0.151085
45,0.375000,-0.012132,0.025546,0.098830,-0.007396,0.025428,0.052757,-0.003962,0.025549,0.151085
46,0.383333,-0.012134,0.025551,0.098826,-0.007396,0.025426,0.052760,-0.003966,0.025549,0.151087
47,0.391667,-0.012140,0.025548,0.098832,-0.007395,0.025428,0.052754,-0.003968,0.025551,0.151087
48,0.400000,-0.012136,0.025548,0.098832,-0.007396,0.025426,0.052757,-0.003963,0.025549,0.151086
49,0.408333,-0.012133,0.025552,0.098831,-0.007395,0.025429,0.052758,-0.003966,0.025549,0.151088
50,0.416667,-0.012134,0.025546,0.098826,-0.007395,0.025425,0.052755,-0.003965,0.025547,0.151084
51,0.425000,-0.012133,0.025547,0.098833,-0.007394,0.025429,0.052756,-0.003964,0.025552,0.151087
52,0.433333,-0.012135,0.025552,0.098830,-0.007392,0.025429,0.052757,-0.003964,0.025545,0.151088
53,0.441667,-0.012134,0.025550,0.098831,-0.007393,0.025431,0.052758,-0.003964,0.025548,0.151087
54,0.450000,-0.012135,0.025550,0.098832,-0.007393,0.025429,0.052755,-0.003964,0.025550,0.151088
55,0.458333,-0.012132,0.025544,0.098836,-0.007392,0.025427,0.052757,-0.003962,0.025544,0.151084
56,0.466667,-0.012133,0.025545,0.098828,-0.007395,0.025428,0.052757,-0.003965,0.025550,0.151086
57,0.475000,-0.012139,0.025549,0.098831,-0.007396,0.025429,0.052756,-0.003968,0.025548,0.151085
58,0.483333,-0.012137,0.025543,0.098829,-0.007396,0.025428,0.052756,-0.003966,0.025552,0.151085
59,0.491667,-0.012139,0.025542,0.098825,-0.007393,0.025428,0.052758,-0.003963,0.025551,0.151086
60,0.500000,-0.012135,0.025544,0.098830,-0.007394,0.025428,0.052755,-0.003965,0.025552,0.151086
61,0.508333,-0.012134,0.025550,0.098831,-0.007392,0.025432,0.052757,-0.003967,0.025548,0.151086
62,0.516667,-0.012131,0.025552,0.098833,-0.007395,0.025428,0.052758,-0.003966,0.025553,0.151089
63,0.525000,-0.012134,0.025546,0.098835,-0.007397,0.025428,0.052755,-0.003965,0.025552,0.151091
64,0.533333,-0.012137,0.025544,0.098829,-0.007393,0.025426,0.052762,-0.003964,0.025550,0.151088
65,0.541667,-0.012131,0.025548,0.098833,-0.007396,0.025430,0.052760,-0.003965,0.025544,0.151087
66,0.550000,-0.012138,0.025545,0.098830,-0.007397,0.025431,0.052760,-0.003966,0.025552,0.151086
67,0.558333,-0.012133,0.025549,0.098827,-0.007396,0.025426,0.052757,-0.003968,0.025551,0.151085
68,0.566667,-0.012131,0.025550,0.098829,-0.007395,0.025430,0.052756,-0.003968,0.025550,0.151083
69,0.575000,-0.012130,0.025552,0.098829,-0.007395,0.025426,0.052756,-0.003963,0.025552,0.151085
70,0.583333,-0.012131,0.025555,0.098832,-0.007395,0.025425,0.052757,-0.003965,0.025549,0.151081
71,0.591667,-0.012132,0.025546,0.098827,-0.007391,0.025426,0.052756,-0.003960,0.025550,0.151086
72,0.600000,-0.012135,0.025549,0.098830,-0.007393,0.025432,0.052759,-0.003964,0.025551,0.151082
73,0.608333,-0.012128,0.025547,0.098831,-0.007391,0.025430,0.052761,-0.003966,0.025546,0.151085
74,0.616667,-0.012134,0.025546,0.098834,-0.007394,0.025429,0.052758,-0.003964,0.025546,0.151089
75,0.625000,-0.012132,0.025546,0.098831,-0.007395,0.025430,0.052758,-0.003963,0.025549,0.151085
76,0.633333,-0.012134,0.025547,0.098833,-0.007396,0.025427,0.052757,-0.003965,0.025550,0.151084
77,0.641667,-0.012133,0.025548,0.098831,-0.007397,0.025431,0.052757,-0.003961,0.025549,0.151083
78,0.650000,-0.012135,0.025549,0.098830,-0.007397,0.025430,0.052759,-0.003965,0.025552,0.151088
79,0.658333,-0.012135,0.025547,0.098828,-0.007394,0.025426,0.052757,-0.003967,0.025546,0.151083
80,0.666667,-0.012131,0.025550,0.098832,-0.007393,0.025428,0.052757,-0.003966,0.025548,0.151087
81,0.675000,-0.012133,0.025548,0.098832,-0.007390,0.025432,0.052758,-0.003960,0.025545,0.151087
82,0.683333,-0.012135,0.025549,0.098832,-0.007391,0.025426,0.052757,-0.003964,0.025546,0.151085
83,0.691667,-0.012131,0.025544,0.098833,-0.007394,0.025425,0.052759,-0.003964,0.025552,0.151090
84,0.700000,-0.012134,0.025551,0.098830,-0.007393,0.025428,0.052757,-0.003962,0.025551,0.151089
85,0.708333,-0.012131,0.025546,0.098835,-0.007395,0.025426,0.052761,-0.003961,0.025549,0.151089
86,0.716667,-0.012132,0.025550,0.098831,-0.007394,0.025430,0.052759,-0.003965,0.025549,0.151087
87,0.725000,-0.012134,0.025550,0.098833,-0.007392,0.025430,0.052758,-0.003964,0.025549,0.151087
88,0.733333,-0.012134,0.025548,0.098832,-0.007392,0.025428,0.052757,-0.003968,0.025552,0.151083
89,0.741667,-0.012132,0.025545,0.098831,-0.007395,0.025428,0.052759,-0.003967,0.025550,0.151086
90,0.750000,-0.012136,0.025546,0.098830,-0.007397,0.025426,0.052760,-0.003963,0.025549,0.151080
91,0.758333,-0.012131,0.025553,0.098829,-0.007392,0.025427,0.052757,-0.003962,0.025553,0.151087
