Format Version,1.21,Take Name,E1L_1_psi,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-01 10.25.48.826 AM,Total Frames in Take,266,Total Exported Frames,266,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:554,Unlabeled:554,Unlabeled:554,Unlabeled:555,Unlabeled:555,Unlabeled:555,Unlabeled:563,Unlabeled:563,Unlabeled:563
,,"8392B20CF49E357022A","8392B20CF49E357022A","8392B20CF49E357022A","8392B20CF49E357022B","8392B20CF49E357022B","8392B20CF49E357022B","8392B20CF49E3570233","8392B20CF49E3570233","8392B20CF49E3570233"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.015635,0.023880,0.188317,-0.024872,0.024404,0.132783,-0.020011,0.024948,0.240428
1,0.008333,-0.015637,0.023879,0.188317,-0.024874,0.024403,0.132781,-0.020010,0.024951,0.240423
2,0.016667,-0.015639,0.023877,0.188317,-0.024877,0.024402,0.132779,-0.020017,0.024943,0.240423
3,0.025000,-0.015638,0.023880,0.188314,-0.024876,0.024410,0.132780,-0.020014,0.024949,0.240420
4,0.033333,-0.015641,0.023878,0.188314,-0.024880,0.024404,0.132781,-0.020018,0.024949,0.240425
5,0.041667,-0.015637,0.023876,0.188314,-0.024876,0.024406,0.132779,-0.020015,0.024952,0.240424
6,0.050000,-0.015639,0.023876,0.188318,-0.024877,0.024406,0.132783,-0.020016,0.024945,0.240424
7,0.058333,-0.015638,0.023875,0.188317,-0.024879,0.024405,0.132780,-0.020015,0.024947,0.240425
8,0.066667,-0.015637,0.023876,0.188320,-0.024878,0.024405,0.132785,-0.020014,0.024948,0.240423
9,0.075000,-0.015637,0.023878,0.188320,-0.024877,0.024405,0.132785,-0.020012,0.024950,0.240427
10,0.083333,-0.015634,0.023875,0.188316,-0.024874,0.024404,0.132781,-0.020012,0.024945,0.240427
11,0.091667,-0.015636,0.023874,0.188318,-0.024876,0.024400,0.132784,-0.020013,0.024949,0.240421
12,0.100000,-0.015636,0.023876,0.188318,-0.024876,0.024405,0.132781,-0.020013,0.024947,0.240426
13,0.108333,-0.015639,0.023876,0.188315,-0.024876,0.024407,0.132785,-0.020014,0.024945,0.240425
14,0.116667,-0.015637,0.023877,0.188318,-0.024879,0.024407,0.132784,-0.020019,0.024945,0.240427
15,0.125000,-0.015642,0.023876,0.188320,-0.024879,0.024407,0.132782,-0.020020,0.024949,0.240428
16,0.133333,-0.015642,0.023877,0.188320,-0.024878,0.024405,0.132788,-0.020019,0.024951,0.240424
17,0.141667,-0.015647,0.023875,0.188320,-0.024883,0.024403,0.132784,-0.020014,0.024951,0.240422
18,0.150000,-0.015642,0.023875,0.188317,-0.024880,0.024406,0.132782,-0.020019,0.024949,0.240428
19,0.158333,-0.015641,0.023876,0.188318,-0.024879,0.024405,0.132784,-0.020014,0.024948,0.240424
20,0.166667,-0.015639,0.023877,0.188318,-0.024877,0.024408,0.132786,-0.020014,0.024949,0.240425
21,0.175000,-0.015633,0.023877,0.188311,-0.024874,0.024406,0.132781,-0.020007,0.024951,0.240423
22,0.183333,-0.015633,0.023880,0.188320,-0.024873,0.024410,0.132781,-0.020008,0.024954,0.240421
23,0.191667,-0.015633,0.023873,0.188316,-0.024875,0.024406,0.132781,-0.020007,0.024946,0.240423
24,0.200000,-0.015634,0.023878,0.188316,-0.024874,0.024406,0.132784,-0.020010,0.024952,0.240420
25,0.208333,-0.015637,0.023874,0.188321,-0.024875,0.024402,0.132782,-0.020014,0.024947,0.240424
26,0.216667,-0.015639,0.023877,0.188316,-0.024878,0.024404,0.132783,-0.020012,0.024951,0.240421
27,0.225000,-0.015640,0.023875,0.188317,-0.024882,0.024406,0.132786,-0.020018,0.024949,0.240424
28,0.233333,-0.015643,0.023875,0.188315,-0.024880,0.024402,0.132783,-0.020015,0.024950,0.240424
29,0.241667,-0.015642,0.023877,0.188318,-0.024881,0.024406,0.132783,-0.020019,0.024945,0.240424
30,0.250000,-0.015641,0.023882,0.188318,-0.024879,0.024408,0.132785,-0.020019,0.024949,0.240430
31,0.258333,-0.015639,0.023879,0.188320,-0.024875,0.024409,0.132783,-0.020018,0.024949,0.240428
32,0.266667,-0.015638,0.023877,0.188320,-0.024879,0.024406,0.132785,-0.020012,0.024954,0.240426
33,0.275000,-0.015640,0.023875,0.188323,-0.024879,0.024407,0.132788,-0.020014,0.024944,0.240427
34,0.283333,-0.015638,0.023871,0.188321,-0.024879,0.024407,0.132787,-0.020012,0.024953,0.240427
35,0.291667,-0.015639,0.023877,0.188319,-0.024875,0.024407,0.132788,-0.020013,0.024953,0.240425
36,0.300000,-0.015637,0.023876,0.188317,-0.024875,0.024406,0.132784,-0.020016,0.024944,0.240425
37,0.308333,-0.015640,0.023880,0.188317,-0.024878,0.024407,0.132782,-0.020014,0.024948,0.240425
38,0.316667,-0.015640,0.023875,0.188317,-0.024879,0.024406,0.132784,-0.020014,0.024952,0.240427
39,0.325000,-0.015640,0.023879,0.188316,-0.024879,0.024408,0.132786,-0.020011,0.024953,0.240422
40,0.333333,-0.015641,0.023878,0.188316,-0.024881,0.024409,0.132787,-0.020015,0.024950,0.240423
41,0.341667,-0.015639,0.023877,0.188321,-0.024880,0.024410,0.132785,-0.020016,0.024951,0.240423
42,0.350000,-0.015641,0.023877,0.188320,-0.024878,0.024409,0.132785,-0.020017,0.024943,0.240426
43,0.358333,-0.015641,0.023877,0.188318,-0.024878,0.024403,0.132785,-0.020018,0.024947,0.240423
44,0.366667,-0.015640,0.023874,0.188317,-0.024877,0.024406,0.132785,-0.020013,0.024950,0.240423
45,0.375000,-0.015637,0.023875,0.188317,-0.024879,0.024403,0.132783,-0.020013,0.024949,0.240424
46,0.383333,-0.015641,0.023875,0.188314,-0.024876,0.024404,0.132784,-0.020012,0.024950,0.240419
47,0.391667,-0.015639,0.023877,0.188317,-0.024877,0.024406,0.132784,-0.020015,0.024946,0.240423
48,0.400000,-0.015637,0.023875,0.188315,-0.024877,0.024407,0.132784,-0.020008,0.024954,0.240423
49,0.408333,-0.015641,0.023879,0.188319,-0.024878,0.024406,0.132786,-0.020016,0.024952,0.240423
50,0.416667,-0.015639,0.023879,0.188317,-0.024879,0.024401,0.132786,-0.020013,0.024949,0.240420
51,0.425000,-0.015643,0.023874,0.188319,-0.024880,0.024407,0.132789,-0.020016,0.024952,0.240426
52,0.433333,-0.015645,0.023873,0.188318,-0.024882,0.024409,0.132786,-0.020018,0.024951,0.240421
53,0.441667,-0.015645,0.023876,0.188322,-0.024880,0.024402,0.132786,-0.020019,0.024946,0.240420
54,0.450000,-0.015645,0.023874,0.188319,-0.024881,0.024404,0.132784,-0.020018,0.024948,0.240425
55,0.458333,-0.015646,0.023876,0.188318,-0.024878,0.024405,0.132787,-0.020017,0.024949,0.240427
56,0.466667,-0.015642,0.023879,0.188319,-0.024880,0.024406,0.132789,-0.020014,0.024955,0.240423
57,0.475000,-0.015639,0.023879,0.188317,-0.024876,0.024407,0.132787,-0.020010,0.024951,0.240422
58,0.483333,-0.015638,0.023877,0.188316,-0.024876,0.024407,0.132787,-0.020013,0.024949,0.240421
59,0.491667,-0.015637,0.023881,0.188317,-0.024873,0.024407,0.132785,-0.020010,0.024955,0.240418
60,0.500000,-0.015637,0.023876,0.188314,-0.024878,0.024408,0.132781,-0.020012,0.024949,0.240425
61,0.508333,-0.015641,0.023877,0.188319,-0.024879,0.024407,0.132783,-0.020011,0.024951,0.240419
62,0.516667,-0.015643,0.023878,0.188316,-0.024877,0.024406,0.132783,-0.020016,0.024950,0.240420
63,0.525000,-0.015643,0.023877,0.188315,-0.024879,0.024403,0.132785,-0.020017,0.024949,0.240424
64,0.533333,-0.015640,0.023877,0.188316,-0.024882,0.024405,0.132786,-0.020018,0.024950,0.240422
65,0.541667,-0.015644,0.023875,0.188317,-0.024880,0.024408,0.132788,-0.020019,0.024956,0.240426
66,0.550000,-0.015640,0.023875,0.188319,-0.024877,0.024409,0.132786,-0.020013,0.024951,0.240420
67,0.558333,-0.015642,0.023877,0.188319,-0.024879,0.024405,0.132785,-0.020015,0.024953,0.240424
68,0.566667,-0.015642,0.023874,0.188320,-0.024876,0.024408,0.132786,-0.020014,0.024953,0.240423
69,0.575000,-0.015639,0.023879,0.188317,-0.024878,0.024405,0.132787,-0.020015,0.024953,0.240421
70,0.583333,-0.015643,0.023872,0.188318,-0.024879,0.024403,0.132787,-0.020012,0.024947,0.240424
71,0.591667,-0.015642,0.023876,0.188318,-0.024879,0.024406,0.132788,-0.020016,0.024952,0.240423
72,0.600000,-0.015642,0.023872,0.188317,-0.024880,0.024406,0.132784,-0.020017,0.024946,0.240424
73,0.608333,-0.015642,0.023876,0.188317,-0.024879,0.024406,0.132789,-0.020015,0.024946,0.240424
74,0.616667,-0.015642,0.023877,0.188315,-0.024880,0.024405,0.132783,-0.020015,0.024951,0.240424
75,0.625000,-0.015643,0.023878,0.188317,-0.024880,0.024404,0.132786,-0.020017,0.024948,0.240422
