Format Version,1.21,Take Name,E1L_1.5_psi,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-01 10.26.51.443 AM,Total Frames in Take,269,Total Exported Frames,269,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:554,Unlabeled:554,Unlabeled:554,Unlabeled:555,Unlabeled:555,Unlabeled:555,Unlabeled:563,Unlabeled:563,Unlabeled:563
,,"8392B20CF49E357022A","8392B20CF49E357022A","8392B20CF49E357022A","8392B20CF49E357022B","8392B20CF49E357022B","8392B20CF49E357022B","8392B20CF49E3570233","8392B20CF49E3570233","8392B20CF49E3570233"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.008047,0.024733,0.188133,-0.025977,0.024424,0.132701,-0.012838,0.025144,0.242185
1,0.008333,-0.008048,0.024729,0.188132,-0.025979,0.024423,0.132701,-0.012832,0.025143,0.242187
2,0.016667,-0.008047,0.024731,0.188131,-0.025976,0.024426,0.132703,-0.012831,0.025145,0.242186
3,0.025000,-0.008045,0.024727,0.188131,-0.025979,0.024425,0.132704,-0.012835,0.025142,0.242183
4,0.033333,-0.008052,0.024724,0.188134,-0.025977,0.024424,0.132703,-0.012833,0.025143,0.242179
5,0.041667,-0.008049,0.024729,0.188133,-0.025974,0.024425,0.132698,-0.012835,0.025144,0.242182
6,0.050000,-0.008052,0.024731,0.188133,-0.025980,0.024427,0.132705,-0.012836,0.025141,0.242180
7,0.058333,-0.008049,0.024729,0.188130,-0.025977,0.024425,0.132700,-0.012838,0.025142,0.242182
8,0.066667,-0.008052,0.024730,0.188130,-0.025979,0.024425,0.132702,-0.012837,0.025141,0.242187
9,0.075000,-0.008051,0.024731,0.188132,-0.025980,0.024428,0.132704,-0.012837,0.025138,0.242185
10,0.083333,-0.008052,0.024725,0.188134,-0.025980,0.024425,0.132704,-0.012837,0.025143,0.242183
11,0.091667,-0.008052,0.024728,0.188132,-0.025979,0.024424,0.132703,-0.012835,0.025143,0.242183
12,0.100000,-0.008053,0.024728,0.188132,-0.025977,0.024427,0.132703,-0.012838,0.025142,0.242186
13,0.108333,-0.008052,0.024726,0.188130,-0.025975,0.024423,0.132702,-0.012836,0.025145,0.242183
14,0.116667,-0.008050,0.024724,0.188130,-0.025973,0.024425,0.132705,-0.012832,0.025142,0.242183
15,0.125000,-0.008046,0.024729,0.188134,-0.025976,0.024424,0.132701,-0.012836,0.025140,0.242180
16,0.133333,-0.008048,0.024732,0.188132,-0.025974,0.024428,0.132701,-0.012836,0.025147,0.242187
17,0.141667,-0.008049,0.024728,0.188133,-0.025976,0.024428,0.132702,-0.012833,0.025142,0.242180
18,0.150000,-0.008048,0.024732,0.188131,-0.025975,0.024428,0.132706,-0.012834,0.025143,0.242182
19,0.158333,-0.008052,0.024725,0.188129,-0.025976,0.024427,0.132703,-0.012838,0.025149,0.242183
20,0.166667,-0.008051,0.024732,0.188130,-0.025979,0.024425,0.132704,-0.012840,0.025144,0.242179
21,0.175000,-0.008055,0.024725,0.188131,-0.025977,0.024423,0.132706,-0.012840,0.025140,0.242183
22,0.183333,-0.008053,0.024729,0.188133,-0.025977,0.024425,0.132701,-0.012838,0.025142,0.242185
23,0.191667,-0.008053,0.024729,0.188134,-0.025977,0.024424,0.132702,-0.012838,0.025146,0.242184
24,0.200000,-0.008052,0.024731,0.188132,-0.025978,0.024425,0.132705,-0.012840,0.025144,0.242187
25,0.208333,-0.008055,0.024724,0.188130,-0.025977,0.024425,0.132706,-0.012834,0.025144,0.242182
26,0.216667,-0.008052,0.024725,0.188132,-0.025978,0.024424,0.132704,-0.012835,0.025143,0.242183
27,0.225000,-0.008052,0.024725,0.188131,-0.025977,0.024427,0.132704,-0.012835,0.025142,0.242186
28,0.233333,-0.008050,0.024730,0.188130,-0.025977,0.024427,0.132701,-0.012832,0.025144,0.242186
29,0.241667,-0.008053,0.024729,0.188130,-0.025977,0.024425,0.132704,-0.012837,0.025146,0.242179
30,0.250000,-0.008055,0.024727,0.188130,-0.025975,0.024426,0.132702,-0.012845,0.025139,0.242181
31,0.258333,-0.008055,0.024724,0.188131,-0.025983,0.024424,0.132703,-0.012842,0.025145,0.242182
32,0.266667,-0.008057,0.024726,0.188132,-0.025978,0.024428,0.132705,-0.012840,0.025146,0.242182
33,0.275000,-0.008057,0.024728,0.188134,-0.025979,0.024426,0.132704,-0.012842,0.025141,0.242183
34,0.283333,-0.008056,0.024729,0.188131,-0.025982,0.024426,0.132706,-0.012839,0.025143,0.242181
35,0.291667,-0.008057,0.024728,0.188133,-0.025977,0.024426,0.132704,-0.012838,0.025141,0.242184
36,0.300000,-0.008055,0.024724,0.188130,-0.025978,0.024429,0.132707,-0.012838,0.025141,0.242185
37,0.308333,-0.008054,0.024729,0.188133,-0.025976,0.024428,0.132703,-0.012838,0.025141,0.242180
38,0.316667,-0.008054,0.024727,0.188134,-0.025976,0.024427,0.132704,-0.012835,0.025144,0.242181
39,0.325000,-0.008049,0.024729,0.188128,-0.025975,0.024423,0.132703,-0.012832,0.025142,0.242181
40,0.333333,-0.008053,0.024731,0.188132,-0.025974,0.024427,0.132702,-0.012835,0.025145,0.242176
41,0.341667,-0.008053,0.024729,0.188131,-0.025977,0.024427,0.132704,-0.012837,0.025142,0.242180
42,0.350000,-0.008052,0.024727,0.188133,-0.025977,0.024427,0.132707,-0.012838,0.025147,0.242180
43,0.358333,-0.008056,0.024730,0.188131,-0.025978,0.024424,0.132707,-0.012840,0.025144,0.242184
44,0.366667,-0.008057,0.024732,0.188132,-0.025975,0.024427,0.132702,-0.012843,0.025142,0.242183
45,0.375000,-0.008058,0.024730,0.188131,-0.025978,0.024423,0.132707,-0.012843,0.025141,0.242180
46,0.383333,-0.008058,0.024727,0.188133,-0.025982,0.024428,0.132706,-0.012843,0.025142,0.242180
47,0.391667,-0.008058,0.024727,0.188132,-0.025979,0.024429,0.132706,-0.012841,0.025141,0.242181
48,0.400000,-0.008058,0.024729,0.188131,-0.025980,0.024429,0.132711,-0.012838,0.025145,0.242185
49,0.408333,-0.008055,0.024727,0.188134,-0.025977,0.024426,0.132705,-0.012837,0.025143,0.242181
50,0.416667,-0.008057,0.024725,0.188134,-0.025976,0.024425,0.132705,-0.012838,0.025142,0.242182
51,0.425000,-0.008055,0.024727,0.188131,-0.025975,0.024426,0.132703,-0.012836,0.025144,0.242182
52,0.433333,-0.008053,0.024727,0.188132,-0.025975,0.024425,0.132705,-0.012837,0.025141,0.242180
53,0.441667,-0.008057,0.024728,0.188132,-0.025978,0.024426,0.132706,-0.012837,0.025146,0.242183
54,0.450000,-0.008056,0.024730,0.188129,-0.025975,0.024429,0.132704,-0.012834,0.025143,0.242181
55,0.458333,-0.008059,0.024727,0.188133,-0.025977,0.024426,0.132704,-0.012838,0.025146,0.242181
56,0.466667,-0.008059,0.024727,0.188131,-0.025978,0.024424,0.132703,-0.012841,0.025142,0.242180
57,0.475000,-0.008059,0.024728,0.188132,-0.025977,0.024429,0.132706,-0.012843,0.025144,0.242176
58,0.483333,-0.008061,0.024729,0.188134,-0.025977,0.024427,0.132708,-0.012843,0.025141,0.242178
59,0.491667,-0.008064,0.024731,0.188134,-0.025979,0.024423,0.132707,-0.012844,0.025147,0.242175
60,0.500000,-0.008059,0.024729,0.188133,-0.025980,0.024427,0.132708,-0.012841,0.025144,0.242180
61,0.508333,-0.008058,0.024728,0.188129,-0.025978,0.024426,0.132706,-0.012839,0.025143,0.242176
62,0.516667,-0.008057,0.024725,0.188130,-0.025978,0.024429,0.132705,-0.012841,0.025142,0.242178
63,0.525000,-0.008057,0.024726,0.188131,-0.025979,0.024430,0.132706,-0.012836,0.025144,0.242179
64,0.533333,-0.008059,0.024725,0.188132,-0.025976,0.024425,0.132707,-0.012837,0.025145,0.242179
65,0.541667,-0.008057,0.024725,0.188132,-0.025978,0.024426,0.132706,-0.012836,0.025146,0.242177
66,0.550000,-0.008057,0.024727,0.188134,-0.025979,0.024425,0.132706,-0.012838,0.025147,0.242180
67,0.558333,-0.008058,0.024727,0.188132,-0.025977,0.024428,0.132704,-0.012842,0.025141,0.242179
68,0.566667,-0.008060,0.024729,0.188134,-0.025979,0.024427,0.132709,-0.012839,0.025140,0.242182
69,0.575000,-0.008062,0.024725,0.188133,-0.025979,0.024428,0.132708,-0.012847,0.025144,0.242179
70,0.583333,-0.008064,0.024728,0.188133,-0.025979,0.024426,0.132705,-0.012844,0.025144,0.242178
71,0.591667,-0.008066,0.024727,0.188134,-0.025980,0.024427,0.132708,-0.012843,0.025143,0.242178
72,0.600000,-0.008062,0.024726,0.188133,-0.025975,0.024423,0.132709,-0.012845,0.025144,0.242180
73,0.608333,-0.008060,0.024726,0.188133,-0.025979,0.024427,0.132706,-0.012843,0.025142,0.242180
74,0.616667,-0.008060,0.024726,0.188130,-0.025978,0.024430,0.132707,-0.012842,0.025146,0.242181
75,0.625000,-0.008058,0.024729,0.188131,-0.025975,0.024427,0.132708,-0.012840,0.025139,0.242180
