Format Version,1.21,Take Name,E1_2.5_psi,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-01 10.30.31.691 AM,Total Frames in Take,223,Total Exported Frames,223,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:554,Unlabeled:554,Unlabeled:554,Unlabeled:555,Unlabeled:555,Unlabeled:555,Unlabeled:563,Unlabeled:563,Unlabeled:563
,,"8392B20CF49E357022A","8392B20CF49E357022A","8392B20CF49E357022A","8392B20CF49E357022B","8392B20CF49E357022B","8392B20CF49E357022B","8392B20CF49E3570233","8392B20CF49E3570233","8392B20CF49E3570233"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.002125,0.025395,0.186964,-0.030442,0.024617,0.131894,-0.012769,0.025399,0.245367
1,0.008333,0.002124,0.025391,0.186968,-0.030445,0.024618,0.131894,-0.012764,0.025405,0.245369
2,0.016667,0.002122,0.025393,0.186970,-0.030447,0.024621,0.131895,-0.012771,0.025400,0.245369
3,0.025000,0.002122,0.025394,0.186970,-0.030445,0.024622,0.131896,-0.012764,0.025402,0.245370
4,0.033333,0.002119,0.025388,0.186972,-0.030448,0.024619,0.131898,-0.012767,0.025402,0.245371
5,0.041667,0.002120,0.025390,0.186968,-0.030451,0.024620,0.131896,-0.012768,0.025401,0.245365
6,0.050000,0.002118,0.025388,0.186970,-0.030445,0.024621,0.131895,-0.012768,0.025397,0.245366
7,0.058333,0.002120,0.025391,0.186968,-0.030447,0.024615,0.131892,-0.012771,0.025405,0.245368
8,0.066667,0.002120,0.025391,0.186968,-0.030447,0.024619,0.131895,-0.012773,0.025403,0.245365
9,0.075000,0.002118,0.025389,0.186969,-0.030446,0.024620,0.131896,-0.012771,0.025402,0.245364
10,0.083333,0.002117,0.025391,0.186969,-0.030445,0.024618,0.131901,-0.012770,0.025399,0.245365
11,0.091667,0.002120,0.025395,0.186971,-0.030446,0.024620,0.131899,-0.012771,0.025402,0.245368
12,0.100000,0.002119,0.025392,0.186973,-0.030448,0.024616,0.131898,-0.012771,0.025398,0.245366
13,0.108333,0.002117,0.025389,0.186970,-0.030446,0.024619,0.131899,-0.012771,0.025402,0.245364
14,0.116667,0.002116,0.025391,0.186968,-0.030446,0.024615,0.131894,-0.012772,0.025398,0.245362
15,0.125000,0.002117,0.025388,0.186968,-0.030448,0.024621,0.131896,-0.012770,0.025398,0.245363
16,0.133333,0.002115,0.025390,0.186966,-0.030447,0.024618,0.131897,-0.012772,0.025400,0.245359
17,0.141667,0.002113,0.025389,0.186967,-0.030445,0.024616,0.131896,-0.012771,0.025401,0.245362
18,0.150000,0.002112,0.025390,0.186971,-0.030448,0.024620,0.131898,-0.012772,0.025401,0.245365
19,0.158333,0.002114,0.025388,0.186972,-0.030445,0.024618,0.131903,-0.012773,0.025397,0.245367
20,0.166667,0.002114,0.025388,0.186973,-0.030445,0.024623,0.131904,-0.012769,0.025401,0.245365
21,0.175000,0.002114,0.025389,0.186972,-0.030446,0.024620,0.131902,-0.012771,0.025404,0.245366
22,0.183333,0.002112,0.025391,0.186970,-0.030447,0.024620,0.131900,-0.012772,0.025405,0.245363
23,0.191667,0.002113,0.025388,0.186969,-0.030447,0.024618,0.131902,-0.012774,0.025400,0.245362
24,0.200000,0.002112,0.025392,0.186970,-0.030447,0.024621,0.131904,-0.012776,0.025397,0.245363
25,0.208333,0.002112,0.025389,0.186972,-0.030449,0.024618,0.131902,-0.012776,0.025396,0.245362
26,0.216667,0.002108,0.025391,0.186970,-0.030447,0.024623,0.131903,-0.012776,0.025395,0.245364
27,0.225000,0.002108,0.025388,0.186974,-0.030448,0.024619,0.131904,-0.012774,0.025402,0.245361
28,0.233333,0.002111,0.025390,0.186972,-0.030447,0.024619,0.131902,-0.012774,0.025399,0.245362
29,0.241667,0.002108,0.025388,0.186972,-0.030448,0.024622,0.131905,-0.012773,0.025402,0.245362
30,0.250000,0.002108,0.025391,0.186973,-0.030447,0.024626,0.131902,-0.012774,0.025395,0.245363
31,0.258333,0.002106,0.025391,0.186971,-0.030443,0.024621,0.131907,-0.012772,0.025401,0.245364
32,0.266667,0.002106,0.025394,0.186973,-0.030447,0.024617,0.131903,-0.012775,0.025402,0.245360
33,0.275000,0.002106,0.025388,0.186972,-0.030447,0.024622,0.131905,-0.012777,0.025402,0.245362
34,0.283333,0.002105,0.025388,0.186975,-0.030448,0.024624,0.131904,-0.012779,0.025402,0.245360
35,0.291667,0.002107,0.025391,0.186974,-0.030443,0.024623,0.131905,-0.012777,0.025398,0.245358
36,0.300000,0.002105,0.025392,0.186973,-0.030447,0.024621,0.131909,-0.012777,0.025400,0.245357
37,0.308333,0.002108,0.025390,0.186972,-0.030446,0.024623,0.131907,-0.012778,0.025400,0.245357
38,0.316667,0.002106,0.025391,0.186972,-0.030443,0.024621,0.131902,-0.012776,0.025401,0.245358
39,0.325000,0.002102,0.025389,0.186971,-0.030447,0.024620,0.131905,-0.012778,0.025399,0.245357
40,0.333333,0.002102,0.025390,0.186969,-0.030445,0.024622,0.131906,-0.012781,0.025400,0.245352
41,0.341667,0.002103,0.025387,0.186971,-0.030454,0.024621,0.131906,-0.012781,0.025396,0.245356
42,0.350000,0.002099,0.025387,0.186969,-0.030450,0.024619,0.131906,-0.012780,0.025397,0.245354
43,0.358333,0.002100,0.025389,0.186972,-0.030451,0.024619,0.131908,-0.012781,0.025394,0.245356
44,0.366667,0.002098,0.025391,0.186974,-0.030451,0.024621,0.131909,-0.012781,0.025401,0.245359
45,0.375000,0.002098,0.025390,0.186975,-0.030447,0.024618,0.131911,-0.012781,0.025398,0.245357
46,0.383333,0.002100,0.025389,0.186975,-0.030447,0.024620,0.131911,-0.012784,0.025397,0.245355
47,0.391667,0.002098,0.025391,0.186971,-0.030448,0.024620,0.131907,-0.012778,0.025401,0.245351
48,0.400000,0.002098,0.025389,0.186973,-0.030450,0.024622,0.131910,-0.012778,0.025405,0.245349
49,0.408333,0.002099,0.025393,0.186973,-0.030449,0.024624,0.131910,-0.012782,0.025400,0.245356
50,0.416667,0.002098,0.025392,0.186972,-0.030449,0.024618,0.131908,-0.012780,0.025400,0.245353
51,0.425000,0.002097,0.025389,0.186973,-0.030451,0.024624,0.131909,-0.012782,0.025402,0.245353
52,0.433333,0.002095,0.025391,0.186973,-0.030449,0.024626,0.131908,-0.012784,0.025396,0.245354
53,0.441667,0.002096,0.025391,0.186972,-0.030447,0.024622,0.131913,-0.012785,0.025401,0.245352
54,0.450000,0.002098,0.025395,0.186973,-0.030447,0.024624,0.131913,-0.012781,0.025399,0.245355
55,0.458333,0.002099,0.025395,0.186976,-0.030451,0.024623,0.131913,-0.012784,0.025398,0.245354
56,0.466667,0.002097,0.025389,0.186976,-0.030450,0.024622,0.131913,-0.012780,0.025400,0.245347
57,0.475000,0.002095,0.025392,0.186973,-0.030449,0.024625,0.131913,-0.012781,0.025397,0.245349
58,0.483333,0.002094,0.025392,0.186974,-0.030447,0.024621,0.131909,-0.012784,0.025405,0.245349
59,0.491667,0.002094,0.025390,0.186973,-0.030448,0.024619,0.131913,-0.012783,0.025401,0.245347
60,0.500000,0.002093,0.025393,0.186974,-0.030446,0.024622,0.131913,-0.012783,0.025401,0.245350
61,0.508333,0.002092,0.025392,0.186974,-0.030448,0.024623,0.131915,-0.012786,0.025401,0.245348
62,0.516667,0.002091,0.025393,0.186975,-0.030448,0.024624,0.131918,-0.012787,0.025399,0.245352
63,0.525000,0.002089,0.025386,0.186974,-0.030448,0.024624,0.131916,-0.012787,0.025398,0.245350
64,0.533333,0.002093,0.025393,0.186976,-0.030447,0.024628,0.131915,-0.012787,0.025403,0.245351
65,0.541667,0.002089,0.025389,0.186976,-0.030449,0.024623,0.131913,-0.012783,0.025400,0.245348
66,0.550000,0.002087,0.025392,0.186977,-0.030449,0.024622,0.131918,-0.012790,0.025400,0.245349
67,0.558333,0.002086,0.025392,0.186974,-0.030450,0.024619,0.131913,-0.012791,0.025400,0.245350
68,0.566667,0.002087,0.025393,0.186974,-0.030450,0.024619,0.131914,-0.012786,0.025403,0.245347
69,0.575000,0.002085,0.025393,0.186971,-0.030450,0.024626,0.131915,-0.012786,0.025397,0.245344
70,0.583333,0.002091,0.025393,0.186974,-0.030449,0.024622,0.131917,-0.012788,0.025394,0.245345
71,0.591667,0.002085,0.025394,0.186976,-0.030449,0.024623,0.131915,-0.012787,0.025402,0.245344
72,0.600000,0.002085,0.025393,0.186975,-0.030449,0.024624,0.131918,-0.012791,0.025395,0.245346
73,0.608333,0.002082,0.025391,0.186975,-0.030450,0.024626,0.131916,-0.012789,0.025403,0.245345
74,0.616667,0.002084,0.025392,0.186974,-0.030448,0.024626,0.131916,-0.012786,0.025400,0.245347
75,0.625000,0.002084,0.025391,0.186974,-0.030448,0.024626,0.131919,-0.012788,0.025399,0.245344
76,0.633333,0.002085,0.025392,0.186976,-0.030452,0.024622,0.131917,-0.012788,0.025401,0.245340
77,0.641667,0.002082,0.025392,0.186981,-0.030451,0.024625,0.131918,-0.012792,0.025401,0.245342
