Format Version,1.21,Take Name,E1R_1.5_psi,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-01 10.39.24.195 AM,Total Frames in Take,324,Total Exported Frames,324,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:102,Unlabeled:102,Unlabeled:102,Unlabeled:103,Unlabeled:103,Unlabeled:103
,,"8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357067"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.045744,0.024793,0.188847,-0.041863,0.024395,0.130921,-0.031072,0.025047,0.241028
1,0.008333,-0.045746,0.024793,0.188847,-0.041865,0.024391,0.130920,-0.031075,0.025050,0.241024
2,0.016667,-0.045746,0.024790,0.188849,-0.041866,0.024393,0.130924,-0.031075,0.025048,0.241024
3,0.025000,-0.045742,0.024797,0.188851,-0.041864,0.024392,0.130922,-0.031075,0.025044,0.241026
4,0.033333,-0.045745,0.024793,0.188846,-0.041863,0.024393,0.130923,-0.031074,0.025044,0.241026
5,0.041667,-0.045745,0.024792,0.188848,-0.041865,0.024393,0.130919,-0.031070,0.025046,0.241026
6,0.050000,-0.045741,0.024794,0.188847,-0.041862,0.024393,0.130919,-0.031071,0.025049,0.241021
7,0.058333,-0.045742,0.024794,0.188849,-0.041862,0.024394,0.130923,-0.031071,0.025050,0.241025
8,0.066667,-0.045743,0.024793,0.188845,-0.041861,0.024394,0.130922,-0.031075,0.025050,0.241023
9,0.075000,-0.045745,0.024793,0.188850,-0.041864,0.024395,0.130921,-0.031073,0.025042,0.241024
10,0.083333,-0.045744,0.024791,0.188850,-0.041865,0.024395,0.130921,-0.031074,0.025044,0.241025
11,0.091667,-0.045746,0.024793,0.188848,-0.041865,0.024393,0.130923,-0.031075,0.025047,0.241029
12,0.100000,-0.045743,0.024797,0.188848,-0.041864,0.024393,0.130922,-0.031075,0.025047,0.241022
13,0.108333,-0.045743,0.024793,0.188848,-0.041866,0.024396,0.130923,-0.031076,0.025048,0.241026
14,0.116667,-0.045741,0.024793,0.188849,-0.041866,0.024391,0.130924,-0.031074,0.025049,0.241023
15,0.125000,-0.045739,0.024793,0.188848,-0.041864,0.024393,0.130923,-0.031074,0.025046,0.241022
16,0.133333,-0.045738,0.024794,0.188844,-0.041862,0.024396,0.130922,-0.031072,0.025050,0.241022
17,0.141667,-0.045739,0.024793,0.188845,-0.041861,0.024398,0.130921,-0.031070,0.025051,0.241026
18,0.150000,-0.045740,0.024796,0.188847,-0.041862,0.024394,0.130920,-0.031068,0.025053,0.241021
19,0.158333,-0.045735,0.024798,0.188847,-0.041864,0.024393,0.130923,-0.031067,0.025050,0.241025
20,0.166667,-0.045741,0.024798,0.188849,-0.041865,0.024393,0.130924,-0.031072,0.025048,0.241022
21,0.175000,-0.045740,0.024795,0.188849,-0.041863,0.024396,0.130923,-0.031073,0.025046,0.241023
22,0.183333,-0.045745,0.024793,0.188849,-0.041864,0.024393,0.130923,-0.031073,0.025053,0.241029
23,0.191667,-0.045740,0.024790,0.188850,-0.041866,0.024391,0.130924,-0.031073,0.025046,0.241026
24,0.200000,-0.045742,0.024794,0.188847,-0.041865,0.024395,0.130925,-0.031074,0.025047,0.241023
25,0.208333,-0.045741,0.024794,0.188848,-0.041864,0.024394,0.130926,-0.031071,0.025050,0.241025
26,0.216667,-0.045740,0.024794,0.188848,-0.041862,0.024396,0.130928,-0.031068,0.025051,0.241027
27,0.225000,-0.045738,0.024793,0.188849,-0.041860,0.024391,0.130927,-0.031070,0.025049,0.241022
28,0.233333,-0.045740,0.024794,0.188850,-0.041861,0.024394,0.130927,-0.031068,0.025052,0.241025
29,0.241667,-0.045741,0.024794,0.188847,-0.041857,0.024397,0.130922,-0.031068,0.025052,0.241024
30,0.250000,-0.045738,0.024795,0.188849,-0.041860,0.024394,0.130925,-0.031069,0.025050,0.241027
31,0.258333,-0.045739,0.024795,0.188849,-0.041860,0.024391,0.130922,-0.031069,0.025047,0.241022
32,0.266667,-0.045738,0.024792,0.188849,-0.041860,0.024394,0.130923,-0.031073,0.025047,0.241025
33,0.275000,-0.045737,0.024792,0.188848,-0.041862,0.024391,0.130923,-0.031070,0.025050,0.241023
34,0.283333,-0.045739,0.024791,0.188847,-0.041861,0.024393,0.130925,-0.031072,0.025046,0.241022
35,0.291667,-0.045738,0.024793,0.188845,-0.041858,0.024392,0.130926,-0.031068,0.025047,0.241025
36,0.300000,-0.045739,0.024792,0.188847,-0.041861,0.024393,0.130923,-0.031071,0.025043,0.241021
37,0.308333,-0.045738,0.024792,0.188848,-0.041862,0.024396,0.130922,-0.031072,0.025044,0.241023
38,0.316667,-0.045738,0.024791,0.188850,-0.041863,0.024391,0.130924,-0.031070,0.025047,0.241023
39,0.325000,-0.045735,0.024792,0.188847,-0.041862,0.024393,0.130924,-0.031070,0.025044,0.241023
40,0.333333,-0.045738,0.024793,0.188845,-0.041859,0.024395,0.130924,-0.031065,0.025050,0.241021
41,0.341667,-0.045734,0.024794,0.188849,-0.041859,0.024392,0.130923,-0.031069,0.025048,0.241025
42,0.350000,-0.045736,0.024791,0.188847,-0.041861,0.024395,0.130922,-0.031069,0.025048,0.241021
43,0.358333,-0.045735,0.024794,0.188847,-0.041861,0.024393,0.130925,-0.031068,0.025044,0.241018
44,0.366667,-0.045736,0.024789,0.188846,-0.041860,0.024392,0.130923,-0.031067,0.025047,0.241021
45,0.375000,-0.045739,0.024792,0.188846,-0.041859,0.024390,0.130923,-0.031067,0.025048,0.241023
46,0.383333,-0.045736,0.024792,0.188846,-0.041859,0.024392,0.130923,-0.031070,0.025047,0.241021
47,0.391667,-0.045736,0.024790,0.188847,-0.041859,0.024396,0.130924,-0.031069,0.025051,0.241022
48,0.400000,-0.045737,0.024791,0.188846,-0.041862,0.024392,0.130923,-0.031072,0.025047,0.241021
49,0.408333,-0.045737,0.024792,0.188847,-0.041861,0.024394,0.130924,-0.031070,0.025052,0.241021
50,0.416667,-0.045734,0.024792,0.188846,-0.041861,0.024394,0.130923,-0.031070,0.025045,0.241020
51,0.425000,-0.045735,0.024792,0.188845,-0.041858,0.024394,0.130924,-0.031069,0.025046,0.241022
52,0.433333,-0.045734,0.024789,0.188847,-0.041857,0.024389,0.130923,-0.031068,0.025045,0.241018
53,0.441667,-0.045734,0.024792,0.188846,-0.041854,0.024394,0.130923,-0.031067,0.025045,0.241024
54,0.450000,-0.045736,0.024795,0.188848,-0.041859,0.024390,0.130924,-0.031065,0.025049,0.241021
55,0.458333,-0.045735,0.024788,0.188842,-0.041860,0.024391,0.130922,-0.031069,0.025047,0.241022
56,0.466667,-0.045733,0.024792,0.188846,-0.041860,0.024392,0.130926,-0.031067,0.025046,0.241020
57,0.475000,-0.045735,0.024794,0.188847,-0.041859,0.024394,0.130925,-0.031067,0.025050,0.241022
58,0.483333,-0.045733,0.024791,0.188846,-0.041860,0.024396,0.130923,-0.031071,0.025048,0.241021
