Format Version,1.21,Take Name,E1R_3_psi,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-01 01.12.11.012 PM,Total Frames in Take,484,Total Exported Frames,484,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:218,Unlabeled:218,Unlabeled:218,Unlabeled:219,Unlabeled:219,Unlabeled:219,Unlabeled:220,Unlabeled:220,Unlabeled:220
,,"8392B20CF49E3570DA","8392B20CF49E3570DA","8392B20CF49E3570DA","8392B20CF49E3570DB","8392B20CF49E3570DB","8392B20CF49E3570DB","8392B20CF49E3570DC","8392B20CF49E3570DC","8392B20CF49E3570DC"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.147078,0.025565,0.088634,-0.114675,0.025389,0.202726,-0.158097,0.025677,0.155678
1,0.008333,-0.147074,0.025563,0.088634,-0.114672,0.025389,0.202721,-0.158099,0.025682,0.155680
2,0.016667,-0.147076,0.025564,0.088632,-0.114675,0.025392,0.202722,-0.158097,0.025680,0.155680
3,0.025000,-0.147074,0.025567,0.088633,-0.114674,0.025385,0.202727,-0.158093,0.025679,0.155680
4,0.033333,-0.147074,0.025564,0.088633,-0.114668,0.025387,0.202727,-0.158092,0.025682,0.155677
5,0.041667,-0.147076,0.025565,0.088638,-0.114670,0.025386,0.202725,-0.158095,0.025681,0.155682
6,0.050000,-0.147075,0.025567,0.088635,-0.114670,0.025389,0.202720,-0.158089,0.025681,0.155682
7,0.058333,-0.147075,0.025565,0.088635,-0.114671,0.025390,0.202723,-0.158089,0.025685,0.155680
8,0.066667,-0.147075,0.025566,0.088634,-0.114672,0.025391,0.202724,-0.158091,0.025677,0.155677
9,0.075000,-0.147073,0.025565,0.088635,-0.114674,0.025388,0.202717,-0.158093,0.025678,0.155677
10,0.083333,-0.147072,0.025564,0.088634,-0.114673,0.025389,0.202719,-0.158089,0.025682,0.155675
11,0.091667,-0.147072,0.025563,0.088637,-0.114669,0.025392,0.202721,-0.158088,0.025682,0.155679
12,0.100000,-0.147072,0.025565,0.088635,-0.114670,0.025389,0.202717,-0.158086,0.025678,0.155676
13,0.108333,-0.147072,0.025564,0.088635,-0.114671,0.025394,0.202722,-0.158084,0.025681,0.155677
14,0.116667,-0.147067,0.025564,0.088640,-0.114670,0.025386,0.202718,-0.158084,0.025681,0.155677
15,0.125000,-0.147068,0.025561,0.088639,-0.114667,0.025393,0.202720,-0.158086,0.025681,0.155678
16,0.133333,-0.147067,0.025565,0.088637,-0.114672,0.025387,0.202717,-0.158085,0.025678,0.155678
17,0.141667,-0.147068,0.025562,0.088639,-0.114666,0.025394,0.202716,-0.158081,0.025681,0.155677
18,0.150000,-0.147070,0.025565,0.088640,-0.114669,0.025387,0.202716,-0.158081,0.025682,0.155677
19,0.158333,-0.147067,0.025564,0.088639,-0.114667,0.025389,0.202718,-0.158081,0.025684,0.155677
20,0.166667,-0.147072,0.025561,0.088636,-0.114670,0.025390,0.202714,-0.158080,0.025682,0.155675
21,0.175000,-0.147065,0.025562,0.088636,-0.114671,0.025389,0.202712,-0.158081,0.025680,0.155675
22,0.183333,-0.147070,0.025563,0.088640,-0.114673,0.025388,0.202715,-0.158081,0.025681,0.155676
23,0.191667,-0.147070,0.025562,0.088639,-0.114673,0.025387,0.202713,-0.158080,0.025681,0.155676
24,0.200000,-0.147069,0.025566,0.088639,-0.114668,0.025391,0.202712,-0.158080,0.025680,0.155677
25,0.208333,-0.147062,0.025567,0.088642,-0.114669,0.025390,0.202715,-0.158078,0.025681,0.155676
26,0.216667,-0.147068,0.025561,0.088642,-0.114667,0.025393,0.202713,-0.158075,0.025682,0.155676
27,0.225000,-0.147065,0.025563,0.088642,-0.114666,0.025388,0.202715,-0.158076,0.025680,0.155678
28,0.233333,-0.147063,0.025566,0.088645,-0.114663,0.025388,0.202710,-0.158075,0.025678,0.155674
29,0.241667,-0.147063,0.025564,0.088642,-0.114667,0.025392,0.202711,-0.158075,0.025681,0.155673
30,0.250000,-0.147066,0.025567,0.088639,-0.114668,0.025390,0.202709,-0.158073,0.025682,0.155675
31,0.258333,-0.147069,0.025559,0.088640,-0.114666,0.025392,0.202709,-0.158073,0.025682,0.155674
32,0.266667,-0.147064,0.025564,0.088639,-0.114663,0.025393,0.202710,-0.158075,0.025683,0.155675
33,0.275000,-0.147063,0.025564,0.088644,-0.114667,0.025388,0.202704,-0.158076,0.025679,0.155673
34,0.283333,-0.147066,0.025566,0.088643,-0.114667,0.025389,0.202711,-0.158076,0.025683,0.155677
35,0.291667,-0.147063,0.025563,0.088641,-0.114671,0.025389,0.202708,-0.158076,0.025678,0.155672
36,0.300000,-0.147064,0.025563,0.088641,-0.114669,0.025394,0.202702,-0.158072,0.025679,0.155672
37,0.308333,-0.147059,0.025566,0.088645,-0.114669,0.025390,0.202707,-0.158066,0.025680,0.155673
38,0.316667,-0.147058,0.025565,0.088642,-0.114663,0.025393,0.202703,-0.158068,0.025681,0.155673
39,0.325000,-0.147056,0.025564,0.088641,-0.114662,0.025389,0.202706,-0.158067,0.025681,0.155672
40,0.333333,-0.147063,0.025565,0.088647,-0.114665,0.025387,0.202706,-0.158065,0.025684,0.155671
41,0.341667,-0.147058,0.025567,0.088643,-0.114667,0.025386,0.202702,-0.158066,0.025678,0.155671
42,0.350000,-0.147063,0.025564,0.088648,-0.114666,0.025387,0.202706,-0.158069,0.025681,0.155672
43,0.358333,-0.147064,0.025565,0.088648,-0.114666,0.025389,0.202705,-0.158065,0.025684,0.155670
44,0.366667,-0.147064,0.025564,0.088645,-0.114664,0.025393,0.202700,-0.158067,0.025681,0.155672
45,0.375000,-0.147062,0.025561,0.088645,-0.114668,0.025390,0.202704,-0.158069,0.025679,0.155673
46,0.383333,-0.147059,0.025562,0.088641,-0.114665,0.025388,0.202701,-0.158065,0.025682,0.155670
47,0.391667,-0.147057,0.025562,0.088647,-0.114666,0.025386,0.202698,-0.158061,0.025680,0.155666
48,0.400000,-0.147061,0.025564,0.088646,-0.114662,0.025389,0.202698,-0.158064,0.025682,0.155672
49,0.408333,-0.147058,0.025559,0.088648,-0.114663,0.025390,0.202697,-0.158058,0.025683,0.155670
