Format Version,1.21,Take Name,E2R_1_psi,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-01 11.00.08.540 AM,Total Frames in Take,320,Total Exported Frames,320,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:106,Unlabeled:106,Unlabeled:106,Unlabeled:109,Unlabeled:109,Unlabeled:109,Unlabeled:110,Unlabeled:110,Unlabeled:110
,,"8392B20CF49E35706A","8392B20CF49E35706A","8392B20CF49E35706A","8392B20CF49E35706D","8392B20CF49E35706D","8392B20CF49E35706D","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E35706E"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.041621,0.024812,0.097846,-0.028456,0.023744,0.148252,-0.002657,0.025680,0.194335
1,0.008333,-0.041615,0.024809,0.097843,-0.028456,0.023739,0.148255,-0.002653,0.025679,0.194336
2,0.016667,-0.041620,0.024817,0.097839,-0.028459,0.023740,0.148255,-0.002654,0.025680,0.194339
3,0.025000,-0.041617,0.024810,0.097844,-0.028459,0.023740,0.148256,-0.002656,0.025678,0.194340
4,0.033333,-0.041619,0.024807,0.097842,-0.028456,0.023738,0.148253,-0.002656,0.025680,0.194335
5,0.041667,-0.041618,0.024809,0.097840,-0.028456,0.023746,0.148254,-0.002656,0.025678,0.194335
6,0.050000,-0.041615,0.024812,0.097840,-0.028458,0.023741,0.148255,-0.002656,0.025680,0.194336
7,0.058333,-0.041621,0.024811,0.097845,-0.028462,0.023737,0.148255,-0.002659,0.025678,0.194339
8,0.066667,-0.041621,0.024811,0.097840,-0.028459,0.023739,0.148257,-0.002657,0.025678,0.194338
9,0.075000,-0.041618,0.024813,0.097843,-0.028461,0.023741,0.148253,-0.002659,0.025677,0.194335
10,0.083333,-0.041618,0.024811,0.097841,-0.028459,0.023743,0.148256,-0.002660,0.025680,0.194340
11,0.091667,-0.041616,0.024816,0.097844,-0.028461,0.023739,0.148258,-0.002658,0.025682,0.194335
12,0.100000,-0.041617,0.024810,0.097846,-0.028460,0.023739,0.148256,-0.002659,0.025678,0.194335
13,0.108333,-0.041618,0.024817,0.097842,-0.028458,0.023739,0.148253,-0.002655,0.025683,0.194336
14,0.116667,-0.041617,0.024809,0.097839,-0.028455,0.023739,0.148257,-0.002656,0.025679,0.194338
15,0.125000,-0.041619,0.024812,0.097842,-0.028457,0.023741,0.148251,-0.002656,0.025683,0.194338
16,0.133333,-0.041615,0.024812,0.097837,-0.028457,0.023739,0.148253,-0.002656,0.025678,0.194338
17,0.141667,-0.041617,0.024808,0.097838,-0.028458,0.023746,0.148257,-0.002657,0.025678,0.194336
