Format Version,1.21,Take Name,E2_0_psi,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-01 10.52.47.985 AM,Total Frames in Take,175,Total Exported Frames,175,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:102,Unlabeled:102,Unlabeled:102
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.017518,0.024425,0.045369,-0.010566,0.023182,0.095110,-0.006733,0.024704,0.145684
1,0.008333,-0.017519,0.024423,0.045366,-0.010568,0.023184,0.095111,-0.006731,0.024702,0.145684
2,0.016667,-0.017521,0.024425,0.045366,-0.010570,0.023180,0.095112,-0.006733,0.024700,0.145687
3,0.025000,-0.017521,0.024426,0.045372,-0.010570,0.023181,0.095115,-0.006738,0.024701,0.145690
4,0.033333,-0.017518,0.024425,0.045368,-0.010569,0.023178,0.095112,-0.006733,0.024702,0.145688
5,0.041667,-0.017517,0.024428,0.045370,-0.010570,0.023178,0.095115,-0.006735,0.024702,0.145687
6,0.050000,-0.017522,0.024426,0.045369,-0.010572,0.023182,0.095114,-0.006735,0.024704,0.145691
7,0.058333,-0.017523,0.024428,0.045371,-0.010573,0.023187,0.095114,-0.006737,0.024703,0.145692
8,0.066667,-0.017525,0.024422,0.045370,-0.010574,0.023184,0.095113,-0.006740,0.024702,0.145687
9,0.075000,-0.017524,0.024426,0.045372,-0.010575,0.023180,0.095113,-0.006742,0.024699,0.145689
10,0.083333,-0.017530,0.024421,0.045373,-0.010575,0.023181,0.095114,-0.006742,0.024704,0.145691
11,0.091667,-0.017526,0.024425,0.045374,-0.010577,0.023182,0.095116,-0.006738,0.024704,0.145688
12,0.100000,-0.017521,0.024427,0.045370,-0.010571,0.023186,0.095115,-0.006738,0.024705,0.145689
13,0.108333,-0.017520,0.024422,0.045370,-0.010570,0.023180,0.095114,-0.006734,0.024700,0.145689
14,0.116667,-0.017516,0.024424,0.045368,-0.010570,0.023183,0.095112,-0.006734,0.024704,0.145687
15,0.125000,-0.017515,0.024429,0.045366,-0.010566,0.023182,0.095109,-0.006730,0.024704,0.145681
16,0.133333,-0.017514,0.024427,0.045368,-0.010567,0.023185,0.095108,-0.006733,0.024702,0.145682
17,0.141667,-0.017517,0.024428,0.045366,-0.010563,0.023185,0.095110,-0.006732,0.024705,0.145683
