Format Version,1.21,Take Name,I1L_2.5_psi,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-01 12.13.39.854 AM,Total Frames in Take,306,Total Exported Frames,306,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:205,Unlabeled:205,Unlabeled:205,Unlabeled:216,Unlabeled:216,Unlabeled:216,Unlabeled:217,Unlabeled:217,Unlabeled:217
,,"8392B20CF49E3570CD","8392B20CF49E3570CD","8392B20CF49E3570CD","8392B20CF49E3570D8","8392B20CF49E3570D8","8392B20CF49E3570D8","8392B20CF49E3570D9","8392B20CF49E3570D9","8392B20CF49E3570D9"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.137491,0.023844,0.076768,-0.097397,0.025285,0.111020,-0.114031,0.025229,0.161307
1,0.008333,-0.137465,0.023744,0.076815,-0.097393,0.025284,0.111017,-0.114032,0.025229,0.161306
2,0.016667,-0.137466,0.023740,0.076812,-0.097394,0.025286,0.111018,-0.114031,0.025230,0.161308
3,0.025000,-0.137492,0.023827,0.076761,-0.097392,0.025289,0.111021,-0.114033,0.025228,0.161307
4,0.033333,-0.137491,0.023834,0.076761,-0.097388,0.025290,0.111021,-0.114034,0.025225,0.161308
5,0.041667,-0.137488,0.023832,0.076763,-0.097394,0.025285,0.111017,-0.114028,0.025231,0.161304
6,0.050000,-0.137463,0.023737,0.076806,-0.097393,0.025293,0.111020,-0.114029,0.025229,0.161305
7,0.058333,-0.137494,0.023835,0.076762,-0.097394,0.025288,0.111021,-0.114034,0.025230,0.161310
8,0.066667,-0.137470,0.023738,0.076810,-0.097397,0.025286,0.111020,-0.114029,0.025232,0.161306
9,0.075000,-0.137493,0.023834,0.076762,-0.097396,0.025285,0.111016,-0.114030,0.025230,0.161308
10,0.083333,-0.137496,0.023833,0.076762,-0.097397,0.025289,0.111023,-0.114032,0.025227,0.161308
11,0.091667,-0.137494,0.023836,0.076760,-0.097395,0.025292,0.111019,-0.114031,0.025229,0.161307
12,0.100000,-0.137493,0.023832,0.076757,-0.097393,0.025290,0.111018,-0.114033,0.025232,0.161309
13,0.108333,-0.137492,0.023831,0.076760,-0.097394,0.025288,0.111021,-0.114029,0.025231,0.161309
14,0.116667,-0.137496,0.023831,0.076760,-0.097396,0.025287,0.111023,-0.114027,0.025232,0.161308
15,0.125000,-0.137489,0.023839,0.076759,-0.097393,0.025283,0.111020,-0.114032,0.025228,0.161307
16,0.133333,-0.137468,0.023736,0.076815,-0.097398,0.025292,0.111018,-0.114029,0.025229,0.161308
17,0.141667,-0.137497,0.023834,0.076760,-0.097397,0.025292,0.111025,-0.114028,0.025229,0.161308
18,0.150000,-0.137468,0.023735,0.076808,-0.097396,0.025290,0.111021,-0.114031,0.025230,0.161309
19,0.158333,-0.137490,0.023841,0.076766,-0.097398,0.025284,0.111023,-0.114030,0.025229,0.161310
20,0.166667,-0.137472,0.023740,0.076818,-0.097398,0.025286,0.111023,-0.114030,0.025229,0.161311
21,0.175000,-0.137462,0.023738,0.076810,-0.097395,0.025289,0.111020,-0.114030,0.025230,0.161310
