Format Version,1.21,Take Name,I1L_3_psi,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-01 12.15.17.692 AM,Total Frames in Take,239,Total Exported Frames,239,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:205,Unlabeled:205,Unlabeled:205,Unlabeled:216,Unlabeled:216,Unlabeled:216,Unlabeled:218,Unlabeled:218,Unlabeled:218
,,"8392B20CF49E3570CD","8392B20CF49E3570CD","8392B20CF49E3570CD","8392B20CF49E3570D8","8392B20CF49E3570D8","8392B20CF49E3570D8","8392B20CF49E3570DA","8392B20CF49E3570DA","8392B20CF49E3570DA"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.162513,0.024595,0.091618,-0.122702,0.025447,0.127508,-0.155163,0.026046,0.170267
1,0.008333,-0.162549,0.024586,0.091597,-0.122699,0.025454,0.127510,-0.155162,0.026045,0.170264
2,0.016667,-0.162552,0.024590,0.091596,-0.122697,0.025451,0.127507,-0.155153,0.026052,0.170263
3,0.025000,-0.162553,0.024588,0.091594,-0.122695,0.025453,0.127508,-0.155157,0.026052,0.170267
4,0.033333,-0.162554,0.024593,0.091597,-0.122700,0.025450,0.127506,-0.155160,0.026049,0.170265
5,0.041667,-0.162506,0.024601,0.091615,-0.122702,0.025453,0.127505,-0.155162,0.026051,0.170260
6,0.050000,-0.162553,0.024590,0.091600,-0.122703,0.025452,0.127504,-0.155162,0.026045,0.170262
7,0.058333,-0.162511,0.024600,0.091618,-0.122703,0.025452,0.127507,-0.155164,0.026049,0.170267
8,0.066667,-0.162557,0.024589,0.091596,-0.122704,0.025450,0.127509,-0.155159,0.026046,0.170265
9,0.075000,-0.162510,0.024600,0.091619,-0.122700,0.025456,0.127504,-0.155157,0.026048,0.170265
