Format Version,1.21,Take Name,I1L_1.0_psi,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-02 02.16.16.345 PM,Total Frames in Take,172,Total Exported Frames,172,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:160,Unlabeled:160,Unlabeled:160,Unlabeled:170,Unlabeled:170,Unlabeled:170,Unlabeled:172,Unlabeled:172,Unlabeled:172
,,"8392B20CF49E3570A0","8392B20CF49E3570A0","8392B20CF49E3570A0","8392B20CF49E3570AA","8392B20CF49E3570AA","8392B20CF49E3570AA","8392B20CF49E3570AC","8392B20CF49E3570AC","8392B20CF49E3570AC"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.093705,0.024242,0.092735,0.106880,0.024697,0.187718,0.109175,0.023789,0.138533
1,0.008333,0.093702,0.024242,0.092737,0.106882,0.024693,0.187714,0.109169,0.023783,0.138531
2,0.016667,0.093703,0.024238,0.092738,0.106882,0.024695,0.187714,0.109175,0.023821,0.138501
3,0.025000,0.093701,0.024241,0.092738,0.106879,0.024694,0.187719,0.109176,0.023823,0.138499
4,0.033333,0.093704,0.024236,0.092740,0.106879,0.024693,0.187719,0.109169,0.023821,0.138502
5,0.041667,0.093703,0.024240,0.092746,0.106879,0.024692,0.187722,0.109172,0.023820,0.138507
6,0.050000,0.093702,0.024239,0.092737,0.106880,0.024695,0.187720,0.109174,0.023824,0.138511
7,0.058333,0.093701,0.024242,0.092739,0.106876,0.024691,0.187718,0.109167,0.023818,0.138506
8,0.066667,0.093701,0.024242,0.092739,0.106879,0.024692,0.187717,0.109169,0.023822,0.138504
9,0.075000,0.093702,0.024235,0.092738,0.106877,0.024700,0.187716,0.109169,0.023789,0.138532
10,0.083333,0.093703,0.024242,0.092736,0.106881,0.024695,0.187713,0.109171,0.023786,0.138526
11,0.091667,0.093703,0.024238,0.092738,0.106879,0.024697,0.187714,0.109168,0.023823,0.138498
12,0.100000,0.093699,0.024240,0.092737,0.106882,0.024695,0.187715,0.109167,0.023820,0.138502
13,0.108333,0.093697,0.024235,0.092738,0.106879,0.024696,0.187718,0.109170,0.023817,0.138500
14,0.116667,0.093703,0.024242,0.092743,0.106877,0.024693,0.187720,0.109169,0.023821,0.138502
15,0.125000,0.093699,0.024238,0.092744,0.106878,0.024695,0.187725,0.109168,0.023817,0.138508
16,0.133333,0.093701,0.024241,0.092743,0.106877,0.024695,0.187723,0.109169,0.023789,0.138537
17,0.141667,0.093699,0.024237,0.092740,0.106880,0.024690,0.187717,0.109166,0.023820,0.138503
18,0.150000,0.093702,0.024237,0.092737,0.106878,0.024694,0.187714,0.109167,0.023820,0.138503
19,0.158333,0.093698,0.024243,0.092736,0.106879,0.024692,0.187714,0.109167,0.023817,0.138498
20,0.166667,0.093704,0.024236,0.092730,0.106878,0.024691,0.187713,0.109165,0.023810,0.138495
21,0.175000,0.093706,0.024238,0.092738,0.106880,0.024691,0.187716,0.109166,0.023788,0.138532
22,0.183333,0.093704,0.024238,0.092738,0.106879,0.024696,0.187715,0.109169,0.023784,0.138530
