Format Version,1.21,Take Name,I1R_1.5_psi,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-01 11.22.38.729 AM,Total Frames in Take,178,Total Exported Frames,178,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:148,Unlabeled:148,Unlabeled:148,Unlabeled:150,Unlabeled:150,Unlabeled:150,Unlabeled:153,Unlabeled:153,Unlabeled:153
,,"8392B20CF49E357094","8392B20CF49E357094","8392B20CF49E357094","8392B20CF49E357096","8392B20CF49E357096","8392B20CF49E357096","8392B20CF49E357099","8392B20CF49E357099","8392B20CF49E357099"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.116074,0.023528,0.167362,-0.114913,0.026544,0.116269,-0.090113,0.023998,0.211680
1,0.008333,-0.116076,0.023523,0.167360,-0.114913,0.026548,0.116268,-0.090113,0.023996,0.211680
2,0.016667,-0.116075,0.023525,0.167361,-0.114910,0.026549,0.116268,-0.090111,0.023998,0.211683
3,0.025000,-0.116070,0.023522,0.167361,-0.114910,0.026549,0.116275,-0.090116,0.023994,0.211681
4,0.033333,-0.116071,0.023525,0.167367,-0.114911,0.026544,0.116269,-0.090112,0.023996,0.211685
5,0.041667,-0.116070,0.023530,0.167363,-0.114909,0.026549,0.116272,-0.090114,0.023997,0.211682
6,0.050000,-0.116069,0.023532,0.167365,-0.114910,0.026545,0.116275,-0.090131,0.024153,0.211680
7,0.058333,-0.116069,0.023534,0.167370,-0.114907,0.026549,0.116275,-0.090116,0.023993,0.211682
8,0.066667,-0.116070,0.023526,0.167362,-0.114908,0.026544,0.116271,-0.090113,0.024001,0.211685
9,0.075000,-0.116065,0.023529,0.167364,-0.114907,0.026545,0.116270,-0.090112,0.023996,0.211681
10,0.083333,-0.116067,0.023525,0.167359,-0.114906,0.026545,0.116270,-0.090130,0.024151,0.211676
11,0.091667,-0.116064,0.023526,0.167364,-0.114911,0.026544,0.116273,-0.090113,0.023996,0.211680
12,0.100000,-0.116106,0.023663,0.167353,-0.114908,0.026547,0.116277,-0.090127,0.024152,0.211676
13,0.108333,-0.116068,0.023535,0.167365,-0.114908,0.026548,0.116270,-0.090132,0.024149,0.211677
14,0.116667,-0.116072,0.023520,0.167361,-0.114908,0.026542,0.116272,-0.090117,0.023999,0.211681
