Format Version,1.21,Take Name,I1R_1.5_psi,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-02 02.22.15.180 PM,Total Frames in Take,168,Total Exported Frames,168,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:160,Unlabeled:160,Unlabeled:160,Unlabeled:170,Unlabeled:170,Unlabeled:170,Unlabeled:173,Unlabeled:173,Unlabeled:173
,,"8392B20CF49E3570A0","8392B20CF49E3570A0","8392B20CF49E3570A0","8392B20CF49E3570AA","8392B20CF49E3570AA","8392B20CF49E3570AA","8392B20CF49E3570AD","8392B20CF49E3570AD","8392B20CF49E3570AD"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.108378,0.024395,0.088450,0.105050,0.024935,0.184844,0.096247,0.023926,0.135863
1,0.008333,0.108374,0.024154,0.088388,0.105051,0.024940,0.184849,0.096244,0.023930,0.135866
2,0.016667,0.108369,0.024392,0.088451,0.105047,0.024934,0.184847,0.096242,0.023925,0.135865
3,0.025000,0.108373,0.024401,0.088458,0.105053,0.024935,0.184850,0.096239,0.023931,0.135869
4,0.033333,0.108366,0.024153,0.088395,0.105051,0.024937,0.184850,0.096242,0.023926,0.135867
5,0.041667,0.108370,0.024399,0.088457,0.105054,0.024934,0.184849,0.096243,0.023928,0.135866
6,0.050000,0.108371,0.024400,0.088456,0.105052,0.024936,0.184853,0.096240,0.023927,0.135865
7,0.058333,0.108372,0.024152,0.088386,0.105054,0.024934,0.184848,0.096240,0.023930,0.135868
8,0.066667,0.108370,0.024153,0.088388,0.105057,0.024935,0.184848,0.096238,0.023924,0.135863
9,0.075000,0.108368,0.024155,0.088391,0.105055,0.024934,0.184848,0.096237,0.023928,0.135868
10,0.083333,0.108372,0.024149,0.088390,0.105057,0.024934,0.184846,0.096238,0.023927,0.135869
11,0.091667,0.108372,0.024391,0.088450,0.105058,0.024937,0.184848,0.096234,0.023927,0.135866
12,0.100000,0.108370,0.024159,0.088393,0.105057,0.024935,0.184849,0.096238,0.023925,0.135867
13,0.108333,0.108370,0.024396,0.088447,0.105056,0.024934,0.184851,0.096235,0.023924,0.135863
14,0.116667,0.108368,0.024393,0.088454,0.105056,0.024937,0.184847,0.096232,0.023923,0.135866
15,0.125000,0.108370,0.024398,0.088449,0.105056,0.024936,0.184847,0.096232,0.023927,0.135865
16,0.133333,0.108368,0.024396,0.088451,0.105056,0.024933,0.184849,0.096233,0.023926,0.135870
17,0.141667,0.108370,0.024398,0.088453,0.105057,0.024933,0.184848,0.096231,0.023926,0.135868
18,0.150000,0.108362,0.024154,0.088391,0.105057,0.024931,0.184845,0.096234,0.023926,0.135865
19,0.158333,0.108368,0.024394,0.088450,0.105057,0.024932,0.184848,0.096235,0.023928,0.135863
20,0.166667,0.108363,0.024388,0.088453,0.105060,0.024932,0.184844,0.096235,0.023934,0.135865
21,0.175000,0.108367,0.024390,0.088450,0.105062,0.024933,0.184844,0.096228,0.023928,0.135864
22,0.183333,0.108368,0.024155,0.088386,0.105063,0.024934,0.184844,0.096231,0.023931,0.135862
23,0.191667,0.108372,0.024396,0.088446,0.105061,0.024932,0.184843,0.096230,0.023925,0.135862
24,0.200000,0.108369,0.024399,0.088450,0.105062,0.024931,0.184844,0.096233,0.023932,0.135866
25,0.208333,0.108366,0.024395,0.088454,0.105062,0.024928,0.184848,0.096228,0.023925,0.135866
26,0.216667,0.108370,0.024397,0.088456,0.105061,0.024936,0.184847,0.096229,0.023924,0.135869
27,0.225000,0.108370,0.024396,0.088459,0.105064,0.024933,0.184852,0.096223,0.023919,0.135871
28,0.233333,0.108369,0.024401,0.088459,0.105062,0.024934,0.184849,0.096225,0.023927,0.135871
29,0.241667,0.108364,0.024151,0.088395,0.105063,0.024936,0.184849,0.096223,0.023928,0.135872
30,0.250000,0.108370,0.024402,0.088458,0.105063,0.024932,0.184848,0.096224,0.023927,0.135869
31,0.258333,0.108365,0.024398,0.088453,0.105063,0.024929,0.184846,0.096223,0.023927,0.135866
32,0.266667,0.108369,0.024401,0.088455,0.105063,0.024934,0.184844,0.096220,0.023931,0.135866
33,0.275000,0.108362,0.024393,0.088452,0.105068,0.024931,0.184843,0.096223,0.023926,0.135866
34,0.283333,0.108362,0.024156,0.088391,0.105064,0.024934,0.184847,0.096220,0.023933,0.135870
35,0.291667,0.108372,0.024394,0.088452,0.105067,0.024931,0.184849,0.096226,0.023925,0.135867
36,0.300000,0.108368,0.024391,0.088451,0.105067,0.024929,0.184847,0.096223,0.023923,0.135870
37,0.308333,0.108367,0.024157,0.088391,0.105069,0.024938,0.184852,0.096224,0.023931,0.135872
