Format Version,1.21,Take Name,I2Lnew_1.0_psi,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-02 03.42.41.447 PM,Total Frames in Take,149,Total Exported Frames,149,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:113,Unlabeled:113,Unlabeled:113,Unlabeled:117,Unlabeled:117,Unlabeled:117,Unlabeled:119,Unlabeled:119,Unlabeled:119
,,"8392B20CF49E357071","8392B20CF49E357071","8392B20CF49E357071","8392B20CF49E357075","8392B20CF49E357075","8392B20CF49E357075","8392B20CF49E357077","8392B20CF49E357077","8392B20CF49E357077"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.129495,0.023869,0.230469,0.136440,0.024478,0.132968,0.137530,0.024057,0.182145
1,0.008333,0.129491,0.023867,0.230469,0.136439,0.024477,0.132968,0.137525,0.024055,0.182147
2,0.016667,0.129491,0.023870,0.230467,0.136433,0.024477,0.132973,0.137524,0.024054,0.182148
3,0.025000,0.129490,0.023868,0.230468,0.136433,0.024476,0.132969,0.137522,0.024054,0.182149
4,0.033333,0.129490,0.023868,0.230468,0.136433,0.024478,0.132967,0.137520,0.024051,0.182149
5,0.041667,0.129492,0.023866,0.230469,0.136436,0.024478,0.132968,0.137520,0.024051,0.182148
6,0.050000,0.129493,0.023868,0.230468,0.136436,0.024478,0.132971,0.137526,0.024055,0.182148
7,0.058333,0.129496,0.023864,0.230465,0.136436,0.024477,0.132968,0.137527,0.024054,0.182143
8,0.066667,0.129499,0.023869,0.230472,0.136438,0.024476,0.132969,0.137528,0.024056,0.182148
9,0.075000,0.129497,0.023870,0.230466,0.136438,0.024478,0.132970,0.137528,0.024053,0.182150
10,0.083333,0.129496,0.023866,0.230469,0.136437,0.024474,0.132967,0.137527,0.024050,0.182152
11,0.091667,0.129496,0.023870,0.230469,0.136438,0.024478,0.132970,0.137525,0.024052,0.182150
12,0.100000,0.129493,0.023868,0.230466,0.136434,0.024476,0.132968,0.137523,0.024053,0.182148
13,0.108333,0.129493,0.023871,0.230463,0.136436,0.024476,0.132969,0.137522,0.024053,0.182147
14,0.116667,0.129491,0.023868,0.230464,0.136434,0.024476,0.132966,0.137523,0.024053,0.182146
15,0.125000,0.129492,0.023869,0.230467,0.136434,0.024476,0.132968,0.137520,0.024053,0.182145
16,0.133333,0.129492,0.023870,0.230467,0.136433,0.024477,0.132966,0.137519,0.024052,0.182148
17,0.141667,0.129493,0.023866,0.230467,0.136433,0.024475,0.132972,0.137525,0.024057,0.182149
18,0.150000,0.129494,0.023869,0.230470,0.136437,0.024476,0.132973,0.137521,0.024055,0.182151
19,0.158333,0.129494,0.023868,0.230470,0.136436,0.024478,0.132974,0.137523,0.024057,0.182149
20,0.166667,0.129495,0.023868,0.230470,0.136434,0.024478,0.132972,0.137525,0.024055,0.182149
21,0.175000,0.129497,0.023867,0.230469,0.136437,0.024477,0.132971,0.137524,0.024056,0.182145
22,0.183333,0.129498,0.023872,0.230468,0.136437,0.024475,0.132968,0.137524,0.024053,0.182145
23,0.191667,0.129498,0.023868,0.230464,0.136440,0.024480,0.132967,0.137526,0.024054,0.182145
24,0.200000,0.129497,0.023871,0.230463,0.136437,0.024477,0.132966,0.137525,0.024056,0.182145
25,0.208333,0.129495,0.023868,0.230467,0.136436,0.024477,0.132968,0.137525,0.024054,0.182145
26,0.216667,0.129499,0.023870,0.230466,0.136436,0.024478,0.132971,0.137520,0.024051,0.182149
27,0.225000,0.129496,0.023866,0.230468,0.136435,0.024478,0.132974,0.137519,0.024053,0.182147
28,0.233333,0.129495,0.023870,0.230470,0.136435,0.024479,0.132970,0.137522,0.024057,0.182152
29,0.241667,0.129492,0.023864,0.230469,0.136430,0.024477,0.132974,0.137517,0.024055,0.182151
30,0.250000,0.129493,0.023868,0.230469,0.136431,0.024477,0.132973,0.137521,0.024052,0.182150
31,0.258333,0.129493,0.023867,0.230469,0.136430,0.024475,0.132970,0.137521,0.024056,0.182149
32,0.266667,0.129495,0.023868,0.230465,0.136436,0.024477,0.132969,0.137521,0.024052,0.182147
33,0.275000,0.129497,0.023870,0.230466,0.136437,0.024477,0.132970,0.137522,0.024056,0.182147
34,0.283333,0.129494,0.023866,0.230463,0.136436,0.024474,0.132972,0.137522,0.024054,0.182144
35,0.291667,0.129502,0.023869,0.230466,0.136440,0.024476,0.132971,0.137525,0.024056,0.182146
36,0.300000,0.129497,0.023869,0.230465,0.136436,0.024476,0.132973,0.137524,0.024054,0.182151
37,0.308333,0.129495,0.023864,0.230469,0.136436,0.024476,0.132971,0.137520,0.024054,0.182147
38,0.316667,0.129494,0.023869,0.230465,0.136432,0.024479,0.132972,0.137517,0.024054,0.182148
39,0.325000,0.129492,0.023868,0.230467,0.136433,0.024477,0.132974,0.137519,0.024056,0.182147
40,0.333333,0.129492,0.023867,0.230468,0.136429,0.024474,0.132970,0.137517,0.024050,0.182149
41,0.341667,0.129496,0.023870,0.230468,0.136432,0.024478,0.132970,0.137516,0.024057,0.182147
42,0.350000,0.129492,0.023866,0.230466,0.136431,0.024477,0.132971,0.137518,0.024053,0.182149
43,0.358333,0.129494,0.023867,0.230467,0.136432,0.024472,0.132971,0.137521,0.024056,0.182149
44,0.366667,0.129495,0.023865,0.230468,0.136433,0.024477,0.132971,0.137520,0.024057,0.182150
45,0.375000,0.129498,0.023867,0.230467,0.136436,0.024476,0.132973,0.137520,0.024053,0.182151
46,0.383333,0.129499,0.023870,0.230464,0.136433,0.024478,0.132971,0.137520,0.024057,0.182148
47,0.391667,0.129499,0.023871,0.230466,0.136439,0.024481,0.132974,0.137518,0.024052,0.182147
48,0.400000,0.129494,0.023865,0.230466,0.136433,0.024476,0.132973,0.137521,0.024054,0.182148
49,0.408333,0.129499,0.023870,0.230469,0.136434,0.024480,0.132971,0.137517,0.024054,0.182146
50,0.416667,0.129492,0.023868,0.230466,0.136433,0.024476,0.132973,0.137518,0.024055,0.182148
51,0.425000,0.129496,0.023869,0.230465,0.136433,0.024480,0.132971,0.137516,0.024053,0.182147
52,0.433333,0.129493,0.023867,0.230466,0.136432,0.024480,0.132977,0.137515,0.024058,0.182148
53,0.441667,0.129491,0.023867,0.230466,0.136427,0.024472,0.132972,0.137513,0.024054,0.182148
54,0.450000,0.129492,0.023867,0.230465,0.136433,0.024476,0.132975,0.137516,0.024057,0.182150
55,0.458333,0.129495,0.023868,0.230465,0.136434,0.024474,0.132970,0.137517,0.024054,0.182146
56,0.466667,0.129496,0.023868,0.230464,0.136432,0.024476,0.132970,0.137517,0.024051,0.182147
57,0.475000,0.129497,0.023868,0.230463,0.136435,0.024476,0.132968,0.137518,0.024053,0.182146
58,0.483333,0.129498,0.023867,0.230464,0.136436,0.024479,0.132971,0.137517,0.024053,0.182147
59,0.491667,0.129496,0.023864,0.230464,0.136437,0.024475,0.132972,0.137517,0.024053,0.182147
60,0.500000,0.129497,0.023870,0.230465,0.136436,0.024477,0.132969,0.137519,0.024053,0.182147
61,0.508333,0.129497,0.023868,0.230467,0.136434,0.024476,0.132973,0.137518,0.024058,0.182147
62,0.516667,0.129496,0.023868,0.230466,0.136433,0.024479,0.132975,0.137518,0.024058,0.182151
63,0.525000,0.129495,0.023868,0.230469,0.136428,0.024476,0.132975,0.137513,0.024053,0.182149
64,0.533333,0.129492,0.023866,0.230467,0.136426,0.024476,0.132975,0.137512,0.024054,0.182146
65,0.541667,0.129488,0.023867,0.230465,0.136429,0.024479,0.132976,0.137511,0.024054,0.182147
66,0.550000,0.129489,0.023867,0.230462,0.136431,0.024479,0.132975,0.137512,0.024050,0.182144
67,0.558333,0.129489,0.023865,0.230462,0.136434,0.024476,0.132971,0.137511,0.024052,0.182148
68,0.566667,0.129495,0.023872,0.230459,0.136434,0.024472,0.132972,0.137513,0.024053,0.182144
69,0.575000,0.129497,0.023869,0.230466,0.136433,0.024474,0.132970,0.137514,0.024054,0.182150
