Format Version,1.21,Take Name,I2Lnew_3.0_psi_000,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-02 03.45.25.009 PM,Total Frames in Take,90,Total Exported Frames,90,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:113,Unlabeled:113,Unlabeled:113,Unlabeled:117,Unlabeled:117,Unlabeled:117,Unlabeled:119,Unlabeled:119,Unlabeled:119
,,"8392B20CF49E357071","8392B20CF49E357071","8392B20CF49E357071","8392B20CF49E357075","8392B20CF49E357075","8392B20CF49E357075","8392B20CF49E357077","8392B20CF49E357077","8392B20CF49E357077"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.106562,0.025108,0.222124,0.110937,0.025287,0.137924,0.139142,0.025252,0.183098
1,0.008333,0.106566,0.025109,0.222129,0.110940,0.025288,0.137926,0.139142,0.025251,0.183099
2,0.016667,0.106569,0.025106,0.222129,0.110939,0.025286,0.137926,0.139142,0.025250,0.183099
3,0.025000,0.106571,0.025104,0.222129,0.110940,0.025288,0.137924,0.139138,0.025252,0.183101
4,0.033333,0.106570,0.025109,0.222136,0.110940,0.025285,0.137925,0.139134,0.025250,0.183097
5,0.041667,0.106572,0.025106,0.222139,0.110939,0.025283,0.137926,0.139136,0.025251,0.183098
6,0.050000,0.106575,0.025110,0.222141,0.110943,0.025286,0.137927,0.139130,0.025254,0.183098
7,0.058333,0.106577,0.025108,0.222146,0.110943,0.025289,0.137925,0.139133,0.025254,0.183102
8,0.066667,0.106579,0.025109,0.222146,0.110945,0.025290,0.137927,0.139129,0.025255,0.183102
9,0.075000,0.106581,0.025110,0.222149,0.110949,0.025288,0.137929,0.139127,0.025247,0.183102
10,0.083333,0.106581,0.025105,0.222151,0.110945,0.025294,0.137929,0.139127,0.025252,0.183101
11,0.091667,0.106585,0.025107,0.222152,0.110943,0.025285,0.137924,0.139124,0.025256,0.183099
12,0.100000,0.106586,0.025106,0.222153,0.110945,0.025283,0.137923,0.139123,0.025253,0.183100
13,0.108333,0.106589,0.025107,0.222154,0.110945,0.025287,0.137924,0.139123,0.025249,0.183096
14,0.116667,0.106592,0.025104,0.222158,0.110951,0.025283,0.137922,0.139123,0.025252,0.183096
15,0.125000,0.106593,0.025105,0.222159,0.110951,0.025285,0.137926,0.139121,0.025250,0.183097
16,0.133333,0.106593,0.025105,0.222163,0.110954,0.025286,0.137921,0.139121,0.025256,0.183097
17,0.141667,0.106597,0.025107,0.222164,0.110954,0.025284,0.137922,0.139120,0.025250,0.183098
18,0.150000,0.106596,0.025106,0.222168,0.110954,0.025286,0.137922,0.139116,0.025249,0.183096
19,0.158333,0.106594,0.025107,0.222169,0.110953,0.025283,0.137919,0.139115,0.025253,0.183095
20,0.166667,0.106599,0.025104,0.222173,0.110953,0.025284,0.137921,0.139112,0.025252,0.183102
21,0.175000,0.106600,0.025102,0.222172,0.110952,0.025285,0.137922,0.139110,0.025251,0.183099
22,0.183333,0.106601,0.025105,0.222173,0.110953,0.025282,0.137923,0.139108,0.025254,0.183097
23,0.191667,0.106606,0.025105,0.222179,0.110954,0.025283,0.137922,0.139105,0.025253,0.183099
24,0.200000,0.106608,0.025107,0.222184,0.110956,0.025282,0.137923,0.139103,0.025254,0.183101
25,0.208333,0.106611,0.025109,0.222185,0.110958,0.025286,0.137927,0.139106,0.025252,0.183100
26,0.216667,0.106612,0.025107,0.222192,0.110961,0.025286,0.137928,0.139098,0.025255,0.183106
27,0.225000,0.106609,0.025107,0.222193,0.110958,0.025285,0.137921,0.139097,0.025246,0.183103
28,0.233333,0.106613,0.025105,0.222194,0.110960,0.025284,0.137924,0.139096,0.025254,0.183101
29,0.241667,0.106612,0.025104,0.222196,0.110961,0.025283,0.137925,0.139096,0.025251,0.183099
30,0.250000,0.106612,0.025107,0.222202,0.110957,0.025285,0.137928,0.139093,0.025255,0.183102
31,0.258333,0.106619,0.025107,0.222199,0.110963,0.025284,0.137924,0.139095,0.025252,0.183101
32,0.266667,0.106621,0.025105,0.222203,0.110963,0.025284,0.137925,0.139091,0.025250,0.183099
33,0.275000,0.106624,0.025103,0.222204,0.110966,0.025283,0.137922,0.139093,0.025254,0.183102
34,0.283333,0.106629,0.025111,0.222208,0.110968,0.025285,0.137923,0.139090,0.025249,0.183098
35,0.291667,0.106628,0.025106,0.222210,0.110971,0.025283,0.137919,0.139090,0.025253,0.183099
36,0.300000,0.106626,0.025103,0.222207,0.110968,0.025279,0.137921,0.139089,0.025253,0.183100
37,0.308333,0.106631,0.025105,0.222214,0.110970,0.025284,0.137919,0.139085,0.025251,0.183098
38,0.316667,0.106631,0.025102,0.222216,0.110969,0.025279,0.137923,0.139084,0.025252,0.183098
39,0.325000,0.106635,0.025103,0.222218,0.110968,0.025279,0.137920,0.139080,0.025254,0.183099
40,0.333333,0.106634,0.025106,0.222220,0.110971,0.025279,0.137923,0.139079,0.025254,0.183099
41,0.341667,0.106638,0.025102,0.222226,0.110970,0.025281,0.137924,0.139077,0.025253,0.183100
42,0.350000,0.106637,0.025102,0.222227,0.110971,0.025283,0.137922,0.139077,0.025254,0.183102
43,0.358333,0.106644,0.025106,0.222229,0.110976,0.025280,0.137924,0.139074,0.025248,0.183103
44,0.366667,0.106640,0.025100,0.222234,0.110974,0.025282,0.137922,0.139073,0.025255,0.183095
45,0.375000,0.106644,0.025104,0.222233,0.110971,0.025276,0.137921,0.139070,0.025252,0.183100
46,0.383333,0.106645,0.025105,0.222236,0.110971,0.025276,0.137922,0.139068,0.025255,0.183100
47,0.391667,0.106646,0.025105,0.222241,0.110970,0.025280,0.137923,0.139068,0.025258,0.183104
48,0.400000,0.106646,0.025103,0.222243,0.110974,0.025278,0.137922,0.139066,0.025250,0.183098
49,0.408333,0.106652,0.025102,0.222246,0.110975,0.025280,0.137923,0.139065,0.025251,0.183100
50,0.416667,0.106653,0.025103,0.222248,0.110977,0.025276,0.137922,0.139065,0.025251,0.183099
51,0.425000,0.106653,0.025105,0.222251,0.110981,0.025278,0.137922,0.139064,0.025256,0.183099
52,0.433333,0.106657,0.025103,0.222252,0.110980,0.025272,0.137920,0.139060,0.025253,0.183100
53,0.441667,0.106659,0.025108,0.222254,0.110983,0.025278,0.137921,0.139059,0.025252,0.183100
54,0.450000,0.106665,0.025107,0.222258,0.110981,0.025275,0.137926,0.139058,0.025254,0.183100
55,0.458333,0.106665,0.025107,0.222259,0.110985,0.025276,0.137919,0.139054,0.025252,0.183099
56,0.466667,0.106663,0.025100,0.222264,0.110984,0.025278,0.137921,0.139053,0.025255,0.183098
57,0.475000,0.106667,0.025101,0.222261,0.110986,0.025278,0.137924,0.139054,0.025256,0.183098
58,0.483333,0.106673,0.025103,0.222264,0.110986,0.025278,0.137922,0.139052,0.025254,0.183095
59,0.491667,0.106671,0.025099,0.222269,0.110988,0.025278,0.137922,0.139049,0.025253,0.183098
60,0.500000,0.106674,0.025105,0.222276,0.110990,0.025276,0.137922,0.139046,0.025254,0.183099
61,0.508333,0.106677,0.025106,0.222277,0.110988,0.025273,0.137920,0.139045,0.025258,0.183101
62,0.516667,0.106678,0.025107,0.222278,0.110988,0.025273,0.137921,0.139044,0.025257,0.183101
63,0.525000,0.106679,0.025105,0.222284,0.110988,0.025275,0.137923,0.139040,0.025253,0.183101
64,0.533333,0.106680,0.025107,0.222288,0.110988,0.025274,0.137929,0.139035,0.025253,0.183105
65,0.541667,0.106679,0.025106,0.222287,0.110989,0.025272,0.137926,0.139034,0.025253,0.183099
66,0.550000,0.106682,0.025105,0.222290,0.110989,0.025269,0.137922,0.139033,0.025253,0.183104
67,0.558333,0.106683,0.025104,0.222289,0.110989,0.025272,0.137920,0.139033,0.025255,0.183100
68,0.566667,0.106687,0.025106,0.222296,0.110990,0.025269,0.137919,0.139031,0.025253,0.183097
69,0.575000,0.106691,0.025100,0.222295,0.110994,0.025271,0.137915,0.139034,0.025253,0.183101
