Format Version,1.21,Take Name,I2R_1_psi,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-01 12.57.38.004 AM,Total Frames in Take,198,Total Exported Frames,198,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:137,Unlabeled:137,Unlabeled:137,Unlabeled:166,Unlabeled:166,Unlabeled:166,Unlabeled:167,Unlabeled:167,Unlabeled:167
,,"8392B20CF49E357089","8392B20CF49E357089","8392B20CF49E357089","8392B20CF49E3570A6","8392B20CF49E3570A6","8392B20CF49E3570A6","8392B20CF49E3570A7","8392B20CF49E3570A7","8392B20CF49E3570A7"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.117305,0.026310,0.079679,-0.124684,0.023574,0.128877,-0.116142,0.023847,0.178121
1,0.008333,-0.117302,0.026318,0.079683,-0.124684,0.023569,0.128879,-0.116140,0.023846,0.178124
2,0.016667,-0.117303,0.026316,0.079680,-0.124682,0.023574,0.128884,-0.116141,0.023850,0.178123
3,0.025000,-0.117302,0.026314,0.079677,-0.124683,0.023566,0.128879,-0.116142,0.023843,0.178123
4,0.033333,-0.117301,0.026316,0.079680,-0.124687,0.023570,0.128880,-0.116143,0.023845,0.178120
5,0.041667,-0.117306,0.026315,0.079678,-0.124682,0.023571,0.128877,-0.116143,0.023846,0.178119
6,0.050000,-0.117303,0.026320,0.079683,-0.124683,0.023573,0.128882,-0.116139,0.023847,0.178123
7,0.058333,-0.117306,0.026310,0.079677,-0.124686,0.023570,0.128879,-0.116139,0.023845,0.178121
8,0.066667,-0.117305,0.026313,0.079682,-0.124682,0.023569,0.128880,-0.116139,0.023849,0.178122
9,0.075000,-0.117300,0.026321,0.079685,-0.124681,0.023570,0.128882,-0.116138,0.023845,0.178121
10,0.083333,-0.117302,0.026319,0.079684,-0.124682,0.023574,0.128883,-0.116139,0.023847,0.178125
11,0.091667,-0.117300,0.026321,0.079679,-0.124679,0.023574,0.128881,-0.116141,0.023843,0.178122
12,0.100000,-0.117302,0.026310,0.079678,-0.124683,0.023573,0.128879,-0.116141,0.023846,0.178122
13,0.108333,-0.117305,0.026312,0.079679,-0.124684,0.023570,0.128876,-0.116143,0.023846,0.178117
14,0.116667,-0.117305,0.026314,0.079678,-0.124687,0.023568,0.128877,-0.116141,0.023848,0.178120
15,0.125000,-0.117308,0.026314,0.079676,-0.124682,0.023570,0.128880,-0.116141,0.023848,0.178119
