Format Version,1.21,Take Name,I2R_2_psi,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-01 01.08.25.450 PM,Total Frames in Take,294,Total Exported Frames,294,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:204,Unlabeled:204,Unlabeled:204,Unlabeled:205,Unlabeled:205,Unlabeled:205,Unlabeled:207,Unlabeled:207,Unlabeled:207
,,"8392B20CF49E3570CC","8392B20CF49E3570CC","8392B20CF49E3570CC","8392B20CF49E3570CD","8392B20CF49E3570CD","8392B20CF49E3570CD","8392B20CF49E3570CF","8392B20CF49E3570CF","8392B20CF49E3570CF"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.148776,0.024621,0.089595,-0.141954,0.019657,0.141043,-0.122392,0.026566,0.188700
1,0.008333,-0.148779,0.024619,0.089600,-0.141953,0.019640,0.141045,-0.122394,0.026563,0.188699
2,0.016667,-0.148782,0.024630,0.089614,-0.141953,0.019660,0.141050,-0.122396,0.026561,0.188698
3,0.025000,-0.148780,0.024620,0.089603,-0.141953,0.019643,0.141043,-0.122402,0.026561,0.188700
4,0.033333,-0.148787,0.024627,0.089603,-0.141955,0.019643,0.141046,-0.122404,0.026561,0.188700
5,0.041667,-0.148786,0.024619,0.089597,-0.141954,0.019650,0.141042,-0.122402,0.026556,0.188702
6,0.050000,-0.148787,0.024634,0.089607,-0.141958,0.019649,0.141042,-0.122407,0.026555,0.188699
7,0.058333,-0.148788,0.024623,0.089597,-0.141957,0.019638,0.141045,-0.122409,0.026553,0.188705
8,0.066667,-0.148787,0.024634,0.089605,-0.141953,0.019651,0.141040,-0.122413,0.026548,0.188702
9,0.075000,-0.148787,0.024633,0.089601,-0.141954,0.019646,0.141042,-0.122416,0.026548,0.188704
10,0.083333,-0.148787,0.024629,0.089604,-0.141958,0.019652,0.141046,-0.122418,0.026545,0.188703
11,0.091667,-0.148789,0.024629,0.089598,-0.141958,0.019654,0.141046,-0.122417,0.026544,0.188706
12,0.100000,-0.148793,0.024623,0.089598,-0.141959,0.019640,0.141047,-0.122422,0.026540,0.188704
13,0.108333,-0.148787,0.024624,0.089610,-0.141960,0.019644,0.141052,-0.122425,0.026542,0.188705
14,0.116667,-0.148787,0.024616,0.089600,-0.141959,0.019644,0.141043,-0.122421,0.026543,0.188712
15,0.125000,-0.148784,0.024623,0.089609,-0.141961,0.019646,0.141052,-0.122429,0.026535,0.188710
16,0.133333,-0.148789,0.024630,0.089616,-0.141958,0.019648,0.141044,-0.122431,0.026537,0.188716
17,0.141667,-0.148789,0.024619,0.089601,-0.141959,0.019648,0.141052,-0.122439,0.026533,0.188707
18,0.150000,-0.148797,0.024624,0.089600,-0.141962,0.019639,0.141040,-0.122435,0.026532,0.188714
19,0.158333,-0.148799,0.024611,0.089601,-0.141963,0.019643,0.141048,-0.122441,0.026525,0.188712
20,0.166667,-0.148796,0.024611,0.089597,-0.141962,0.019647,0.141046,-0.122443,0.026528,0.188717
21,0.175000,-0.148799,0.024617,0.089608,-0.141961,0.019647,0.141043,-0.122447,0.026525,0.188714
22,0.183333,-0.148795,0.024610,0.089602,-0.141962,0.019646,0.141043,-0.122448,0.026524,0.188719
23,0.191667,-0.148802,0.024617,0.089600,-0.141964,0.019649,0.141050,-0.122450,0.026514,0.188716
24,0.200000,-0.148798,0.024611,0.089606,-0.141968,0.019638,0.141046,-0.122454,0.026516,0.188716
25,0.208333,-0.148800,0.024611,0.089602,-0.141966,0.019640,0.141047,-0.122453,0.026520,0.188722
26,0.216667,-0.148802,0.024626,0.089605,-0.141964,0.019640,0.141052,-0.122457,0.026522,0.188723
27,0.225000,-0.148802,0.024617,0.089607,-0.141962,0.019645,0.141050,-0.122462,0.026518,0.188723
28,0.233333,-0.148799,0.024618,0.089610,-0.141970,0.019635,0.141048,-0.122468,0.026509,0.188722
29,0.241667,-0.148805,0.024615,0.089606,-0.141964,0.019653,0.141049,-0.122468,0.026515,0.188724
30,0.250000,-0.148800,0.024606,0.089601,-0.141967,0.019647,0.141053,-0.122473,0.026508,0.188722
31,0.258333,-0.148805,0.024611,0.089606,-0.141968,0.019641,0.141051,-0.122475,0.026513,0.188726
32,0.266667,-0.148798,0.024602,0.089606,-0.141971,0.019646,0.141051,-0.122478,0.026503,0.188721
33,0.275000,-0.148808,0.024607,0.089601,-0.141969,0.019631,0.141048,-0.122482,0.026503,0.188727
34,0.283333,-0.148805,0.024616,0.089615,-0.141969,0.019646,0.141059,-0.122480,0.026502,0.188729
35,0.291667,-0.148806,0.024616,0.089608,-0.141972,0.019640,0.141050,-0.122482,0.026497,0.188731
36,0.300000,-0.148806,0.024613,0.089610,-0.141970,0.019638,0.141054,-0.122484,0.026495,0.188728
37,0.308333,-0.148804,0.024608,0.089606,-0.141973,0.019645,0.141053,-0.122483,0.026500,0.188733
38,0.316667,-0.148807,0.024611,0.089606,-0.141972,0.019637,0.141054,-0.122492,0.026496,0.188734
39,0.325000,-0.148806,0.024609,0.089615,-0.141974,0.019641,0.141049,-0.122493,0.026500,0.188731
40,0.333333,-0.148807,0.024607,0.089611,-0.141977,0.019632,0.141047,-0.122497,0.026489,0.188730
41,0.341667,-0.148811,0.024620,0.089608,-0.141975,0.019637,0.141051,-0.122500,0.026495,0.188732
42,0.350000,-0.148813,0.024607,0.089619,-0.141974,0.019634,0.141046,-0.122502,0.026489,0.188731
43,0.358333,-0.148808,0.024627,0.089619,-0.141979,0.019643,0.141051,-0.122505,0.026488,0.188736
44,0.366667,-0.148813,0.024606,0.089608,-0.141976,0.019634,0.141047,-0.122509,0.026478,0.188732
45,0.375000,-0.148809,0.024606,0.089604,-0.141977,0.019645,0.141052,-0.122506,0.026482,0.188735
46,0.383333,-0.148811,0.024617,0.089608,-0.141973,0.019639,0.141053,-0.122513,0.026479,0.188738
47,0.391667,-0.148811,0.024613,0.089614,-0.141979,0.019640,0.141052,-0.122511,0.026482,0.188737
48,0.400000,-0.148809,0.024621,0.089618,-0.141979,0.019644,0.141053,-0.122511,0.026475,0.188739
49,0.408333,-0.148809,0.024625,0.089619,-0.141978,0.019635,0.141044,-0.122516,0.026478,0.188735
50,0.416667,-0.148812,0.024622,0.089624,-0.141977,0.019640,0.141054,-0.122521,0.026473,0.188737
51,0.425000,-0.148818,0.024604,0.089613,-0.141977,0.019639,0.141057,-0.122523,0.026476,0.188740
52,0.433333,-0.148820,0.024611,0.089608,-0.141984,0.019642,0.141055,-0.122524,0.026470,0.188739
53,0.441667,-0.148817,0.024616,0.089621,-0.141981,0.019641,0.141050,-0.122526,0.026472,0.188741
54,0.450000,-0.148815,0.024611,0.089617,-0.141982,0.019643,0.141055,-0.122531,0.026461,0.188740
55,0.458333,-0.148819,0.024601,0.089612,-0.141983,0.019625,0.141048,-0.122530,0.026466,0.188741
56,0.466667,-0.148822,0.024613,0.089616,-0.141985,0.019637,0.141054,-0.122534,0.026463,0.188743
57,0.475000,-0.148815,0.024614,0.089619,-0.141984,0.019632,0.141054,-0.122535,0.026464,0.188744
58,0.483333,-0.148817,0.024603,0.089627,-0.141985,0.019640,0.141055,-0.122539,0.026462,0.188746
59,0.491667,-0.148815,0.024600,0.089620,-0.141984,0.019634,0.141052,-0.122536,0.026456,0.188748
60,0.500000,-0.148813,0.024616,0.089625,-0.141987,0.019630,0.141055,-0.122541,0.026456,0.188750
61,0.508333,-0.148824,0.024603,0.089616,-0.141988,0.019634,0.141051,-0.122547,0.026452,0.188746
62,0.516667,-0.148823,0.024618,0.089624,-0.141984,0.019641,0.141060,-0.122543,0.026453,0.188747
63,0.525000,-0.148824,0.024607,0.089616,-0.141988,0.019634,0.141049,-0.122550,0.026451,0.188750
64,0.533333,-0.148819,0.024605,0.089615,-0.141990,0.019627,0.141048,-0.122554,0.026448,0.188753
65,0.541667,-0.148827,0.024606,0.089618,-0.141990,0.019627,0.141056,-0.122553,0.026456,0.188746
66,0.550000,-0.148830,0.024610,0.089618,-0.141992,0.019631,0.141054,-0.122554,0.026449,0.188751
