Format Version,1.21,Take Name,I2R_2.5_psi,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-01 01.09.12.210 PM,Total Frames in Take,268,Total Exported Frames,268,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:204,Unlabeled:204,Unlabeled:204,Unlabeled:207,Unlabeled:207,Unlabeled:207,Unlabeled:211,Unlabeled:211,Unlabeled:211
,,"8392B20CF49E3570CC","8392B20CF49E3570CC","8392B20CF49E3570CC","8392B20CF49E3570CF","8392B20CF49E3570CF","8392B20CF49E3570CF","8392B20CF49E3570D3","8392B20CF49E3570D3","8392B20CF49E3570D3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.145676,0.026477,0.095184,-0.092031,0.024519,0.174527,-0.140268,0.024933,0.149844
1,0.008333,-0.145676,0.026477,0.095186,-0.092029,0.024519,0.174527,-0.140269,0.024935,0.149849
2,0.016667,-0.145680,0.026473,0.095182,-0.092030,0.024518,0.174528,-0.140269,0.024936,0.149851
3,0.025000,-0.145676,0.026481,0.095186,-0.092033,0.024523,0.174531,-0.140267,0.024935,0.149848
4,0.033333,-0.145678,0.026475,0.095183,-0.092034,0.024520,0.174533,-0.140263,0.024936,0.149846
5,0.041667,-0.145682,0.026476,0.095185,-0.092039,0.024521,0.174536,-0.140268,0.024935,0.149847
6,0.050000,-0.145683,0.026475,0.095181,-0.092036,0.024517,0.174537,-0.140266,0.024936,0.149846
7,0.058333,-0.145684,0.026478,0.095185,-0.092038,0.024520,0.174538,-0.140268,0.024931,0.149844
8,0.066667,-0.145687,0.026469,0.095183,-0.092040,0.024520,0.174542,-0.140265,0.024935,0.149846
9,0.075000,-0.145688,0.026474,0.095184,-0.092041,0.024520,0.174542,-0.140267,0.024933,0.149846
10,0.083333,-0.145689,0.026468,0.095181,-0.092046,0.024520,0.174549,-0.140262,0.024935,0.149845
11,0.091667,-0.145683,0.026474,0.095186,-0.092044,0.024521,0.174551,-0.140265,0.024932,0.149847
12,0.100000,-0.145689,0.026475,0.095185,-0.092046,0.024523,0.174549,-0.140263,0.024933,0.149844
13,0.108333,-0.145687,0.026473,0.095186,-0.092047,0.024521,0.174554,-0.140261,0.024933,0.149845
14,0.116667,-0.145691,0.026474,0.095183,-0.092048,0.024522,0.174551,-0.140261,0.024932,0.149845
15,0.125000,-0.145689,0.026478,0.095185,-0.092047,0.024525,0.174554,-0.140260,0.024935,0.149845
16,0.133333,-0.145692,0.026474,0.095184,-0.092050,0.024524,0.174562,-0.140257,0.024937,0.149843
17,0.141667,-0.145690,0.026479,0.095188,-0.092052,0.024525,0.174561,-0.140260,0.024934,0.149843
18,0.150000,-0.145689,0.026478,0.095184,-0.092052,0.024526,0.174562,-0.140258,0.024938,0.149845
19,0.158333,-0.145695,0.026477,0.095188,-0.092056,0.024524,0.174567,-0.140259,0.024932,0.149842
20,0.166667,-0.145691,0.026471,0.095183,-0.092060,0.024526,0.174569,-0.140257,0.024936,0.149845
21,0.175000,-0.145695,0.026477,0.095188,-0.092056,0.024524,0.174566,-0.140256,0.024937,0.149843
22,0.183333,-0.145695,0.026479,0.095187,-0.092060,0.024520,0.174573,-0.140258,0.024933,0.149840
23,0.191667,-0.145699,0.026474,0.095186,-0.092063,0.024526,0.174576,-0.140256,0.024936,0.149841
24,0.200000,-0.145697,0.026472,0.095186,-0.092059,0.024526,0.174581,-0.140255,0.024940,0.149843
25,0.208333,-0.145695,0.026473,0.095186,-0.092063,0.024528,0.174579,-0.140252,0.024938,0.149843
26,0.216667,-0.145696,0.026485,0.095188,-0.092062,0.024525,0.174586,-0.140253,0.024936,0.149843
27,0.225000,-0.145694,0.026479,0.095188,-0.092066,0.024529,0.174590,-0.140253,0.024935,0.149843
28,0.233333,-0.145699,0.026479,0.095188,-0.092068,0.024527,0.174592,-0.140250,0.024941,0.149845
29,0.241667,-0.145703,0.026476,0.095186,-0.092065,0.024523,0.174590,-0.140250,0.024937,0.149843
30,0.250000,-0.145700,0.026476,0.095187,-0.092069,0.024524,0.174593,-0.140249,0.024941,0.149841
31,0.258333,-0.145705,0.026477,0.095184,-0.092074,0.024525,0.174594,-0.140250,0.024935,0.149834
32,0.266667,-0.145704,0.026475,0.095186,-0.092072,0.024527,0.174597,-0.140251,0.024938,0.149839
33,0.275000,-0.145707,0.026477,0.095187,-0.092075,0.024524,0.174601,-0.140253,0.024943,0.149841
34,0.283333,-0.145705,0.026473,0.095187,-0.092074,0.024526,0.174607,-0.140249,0.024938,0.149839
35,0.291667,-0.145706,0.026475,0.095188,-0.092075,0.024526,0.174606,-0.140248,0.024939,0.149838
36,0.300000,-0.145704,0.026477,0.095190,-0.092075,0.024526,0.174609,-0.140246,0.024939,0.149838
37,0.308333,-0.145708,0.026477,0.095188,-0.092082,0.024527,0.174611,-0.140247,0.024938,0.149836
38,0.316667,-0.145703,0.026474,0.095188,-0.092079,0.024529,0.174615,-0.140245,0.024943,0.149838
39,0.325000,-0.145706,0.026474,0.095185,-0.092081,0.024524,0.174611,-0.140247,0.024937,0.149837
40,0.333333,-0.145711,0.026476,0.095189,-0.092082,0.024532,0.174619,-0.140246,0.024939,0.149838
41,0.341667,-0.145714,0.026474,0.095187,-0.092086,0.024524,0.174621,-0.140242,0.024938,0.149835
42,0.350000,-0.145711,0.026484,0.095192,-0.092084,0.024529,0.174622,-0.140249,0.024934,0.149837
43,0.358333,-0.145714,0.026478,0.095186,-0.092087,0.024528,0.174626,-0.140246,0.024938,0.149836
44,0.366667,-0.145715,0.026476,0.095188,-0.092091,0.024527,0.174631,-0.140243,0.024941,0.149836
45,0.375000,-0.145712,0.026472,0.095189,-0.092091,0.024528,0.174634,-0.140242,0.024939,0.149834
46,0.383333,-0.145712,0.026483,0.095189,-0.092093,0.024530,0.174635,-0.140240,0.024940,0.149835
47,0.391667,-0.145716,0.026473,0.095188,-0.092092,0.024527,0.174637,-0.140242,0.024939,0.149832
48,0.400000,-0.145719,0.026474,0.095186,-0.092092,0.024530,0.174643,-0.140242,0.024937,0.149832
49,0.408333,-0.145717,0.026481,0.095193,-0.092099,0.024529,0.174642,-0.140240,0.024935,0.149832
50,0.416667,-0.145716,0.026482,0.095193,-0.092099,0.024529,0.174650,-0.140239,0.024937,0.149835
51,0.425000,-0.145720,0.026478,0.095191,-0.092096,0.024529,0.174648,-0.140241,0.024936,0.149833
52,0.433333,-0.145718,0.026482,0.095191,-0.092100,0.024530,0.174651,-0.140240,0.024934,0.149831
53,0.441667,-0.145718,0.026480,0.095190,-0.092104,0.024532,0.174652,-0.140240,0.024935,0.149834
54,0.450000,-0.145723,0.026480,0.095192,-0.092102,0.024531,0.174651,-0.140238,0.024939,0.149833
55,0.458333,-0.145719,0.026483,0.095187,-0.092106,0.024530,0.174653,-0.140235,0.024939,0.149825
56,0.466667,-0.145722,0.026483,0.095191,-0.092102,0.024529,0.174659,-0.140235,0.024941,0.149833
57,0.475000,-0.145717,0.026482,0.095193,-0.092106,0.024534,0.174660,-0.140235,0.024937,0.149833
58,0.483333,-0.145718,0.026483,0.095193,-0.092104,0.024534,0.174664,-0.140232,0.024938,0.149834
59,0.491667,-0.145720,0.026478,0.095189,-0.092107,0.024530,0.174667,-0.140238,0.024940,0.149830
60,0.500000,-0.145720,0.026483,0.095193,-0.092109,0.024530,0.174670,-0.140232,0.024939,0.149833
61,0.508333,-0.145723,0.026482,0.095195,-0.092111,0.024531,0.174672,-0.140233,0.024941,0.149834
62,0.516667,-0.145723,0.026482,0.095190,-0.092113,0.024529,0.174673,-0.140230,0.024939,0.149831
63,0.525000,-0.145727,0.026483,0.095192,-0.092116,0.024534,0.174677,-0.140233,0.024940,0.149831
64,0.533333,-0.145727,0.026488,0.095192,-0.092112,0.024531,0.174677,-0.140230,0.024939,0.149832
65,0.541667,-0.145726,0.026478,0.095189,-0.092118,0.024531,0.174682,-0.140230,0.024942,0.149826
66,0.550000,-0.145730,0.026482,0.095189,-0.092115,0.024527,0.174684,-0.140229,0.024940,0.149826
67,0.558333,-0.145731,0.026486,0.095193,-0.092116,0.024531,0.174688,-0.140230,0.024936,0.149829
68,0.566667,-0.145733,0.026479,0.095196,-0.092125,0.024530,0.174689,-0.140227,0.024940,0.149831
69,0.575000,-0.145731,0.026476,0.095194,-0.092121,0.024533,0.174691,-0.140228,0.024943,0.149828
70,0.583333,-0.145731,0.026483,0.095195,-0.092124,0.024532,0.174696,-0.140224,0.024939,0.149831
71,0.591667,-0.145734,0.026479,0.095196,-0.092126,0.024531,0.174698,-0.140227,0.024939,0.149832
72,0.600000,-0.145736,0.026480,0.095193,-0.092126,0.024528,0.174700,-0.140226,0.024938,0.149825
73,0.608333,-0.145736,0.026480,0.095191,-0.092124,0.024535,0.174700,-0.140225,0.024938,0.149824
74,0.616667,-0.145734,0.026479,0.095194,-0.092128,0.024535,0.174702,-0.140224,0.024942,0.149828
75,0.625000,-0.145740,0.026477,0.095191,-0.092128,0.024533,0.174706,-0.140221,0.024943,0.149827
76,0.633333,-0.145736,0.026478,0.095195,-0.092133,0.024535,0.174709,-0.140223,0.024941,0.149828
77,0.641667,-0.145740,0.026479,0.095193,-0.092134,0.024531,0.174712,-0.140222,0.024942,0.149830
78,0.650000,-0.145738,0.026483,0.095191,-0.092138,0.024532,0.174716,-0.140220,0.024936,0.149823
