Format Version,1.21,Take Name,I2_0_psi,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-08-01 12.43.53.408 AM,Total Frames in Take,191,Total Exported Frames,191,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:108,Unlabeled:108,Unlabeled:108,Unlabeled:109,Unlabeled:109,Unlabeled:109,Unlabeled:110,Unlabeled:110,Unlabeled:110
,,"8392B20CF49E35706C","8392B20CF49E35706C","8392B20CF49E35706C","8392B20CF49E35706D","8392B20CF49E35706D","8392B20CF49E35706D","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E35706E"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.091886,0.024195,0.147714,-0.087443,0.026109,0.099719,-0.092513,0.023786,0.196101
1,0.008333,-0.091883,0.024194,0.147719,-0.087445,0.026104,0.099721,-0.092513,0.023786,0.196108
2,0.016667,-0.091884,0.024198,0.147717,-0.087445,0.026104,0.099727,-0.092512,0.023783,0.196108
3,0.025000,-0.091882,0.024198,0.147719,-0.087447,0.026107,0.099728,-0.092514,0.023784,0.196113
4,0.033333,-0.091880,0.024195,0.147722,-0.087442,0.026103,0.099726,-0.092508,0.023784,0.196110
5,0.041667,-0.091876,0.024200,0.147723,-0.087439,0.026106,0.099726,-0.092504,0.023789,0.196108
6,0.050000,-0.091876,0.024193,0.147722,-0.087434,0.026106,0.099722,-0.092503,0.023787,0.196108
7,0.058333,-0.091875,0.024195,0.147716,-0.087438,0.026104,0.099718,-0.092503,0.023787,0.196106
8,0.066667,-0.091874,0.024194,0.147711,-0.087443,0.026100,0.099715,-0.092504,0.023790,0.196103
9,0.075000,-0.091881,0.024193,0.147711,-0.087440,0.026102,0.099716,-0.092512,0.023784,0.196100
10,0.083333,-0.091880,0.024195,0.147710,-0.087444,0.026105,0.099714,-0.092510,0.023783,0.196103
11,0.091667,-0.091885,0.024195,0.147713,-0.087446,0.026102,0.099717,-0.092512,0.023785,0.196102
12,0.100000,-0.091882,0.024198,0.147717,-0.087448,0.026101,0.099718,-0.092514,0.023784,0.196105
13,0.108333,-0.091884,0.024193,0.147720,-0.087445,0.026102,0.099719,-0.092512,0.023781,0.196109
14,0.116667,-0.091879,0.024196,0.147722,-0.087442,0.026102,0.099725,-0.092507,0.023782,0.196108
15,0.125000,-0.091875,0.024197,0.147719,-0.087438,0.026104,0.099723,-0.092504,0.023788,0.196107
16,0.133333,-0.091873,0.024196,0.147722,-0.087437,0.026106,0.099722,-0.092503,0.023787,0.196111
17,0.141667,-0.091874,0.024195,0.147718,-0.087438,0.026100,0.099718,-0.092502,0.023784,0.196106
18,0.150000,-0.091875,0.024196,0.147717,-0.087440,0.026099,0.099720,-0.092503,0.023787,0.196104
19,0.158333,-0.091876,0.024195,0.147712,-0.087443,0.026104,0.099718,-0.092507,0.023782,0.196102
20,0.166667,-0.091880,0.024195,0.147714,-0.087441,0.026101,0.099715,-0.092506,0.023786,0.196103
