Frame,Time,Rigid Body 1 X,Rigid Body 1 Y,Rigid Body 1 Z,Rigid Body 2 X,Rigid Body 2 Y,Rigid Body 2 Z,Rigid Body 3 X,Rigid Body 3 Y,Rigid Body 3 Z,Rigid Body 4 X,Rigid Body 4 Y,Rigid Body 4 Z
0,0,0.018885,0.061889,0.150598,0.025022,0.063243,0.251527,0.023871,0.064574,0.031081,0.021218,0.064012,0.125816
1,0.008333,0.01903,0.061881,0.150691,0.025114,0.0631,0.251415,0.023905,0.064543,0.031142,0.021263,0.063959,0.125832
2,0.016667,0.018973,0.061847,0.150565,0.025129,0.063088,0.251705,0.023987,0.064347,0.030747,0.021401,0.064055,0.125883
3,0.025,0.018872,0.061958,0.150491,0.025232,0.063183,0.252327,0.024112,0.06421,0.030007,0.021339,0.064109,0.125547
4,0.033333,0.018535,0.062007,0.150484,0.025308,0.063259,0.252221,0.02419,0.064343,0.030105,0.021292,0.063961,0.125501
5,0.041667,0.018492,0.061956,0.150565,0.025414,0.063294,0.251711,0.024368,0.064508,0.030842,0.021192,0.06399,0.125708
6,0.05,0.018682,0.061954,0.150643,0.025543,0.063238,0.251376,0.024522,0.064619,0.031184,0.021129,0.064041,0.125877
7,0.058333,0.018745,0.061948,0.150699,0.025603,0.063127,0.251348,0.024505,0.064568,0.031226,0.021224,0.063959,0.125855
8,0.066667,0.018735,0.061979,0.150539,0.025652,0.063175,0.251824,0.024559,0.064387,0.030576,0.021338,0.064129,0.125905
9,0.075,0.018584,0.062018,0.150526,0.025789,0.063236,0.252306,0.024566,0.064189,0.03004,0.021276,0.064081,0.125492
10,0.083333,0.018291,0.062053,0.150544,0.025924,0.063285,0.252017,0.024522,0.064312,0.030306,0.021255,0.063949,0.125645
11,0.091667,0.018415,0.062011,0.150615,0.026071,0.063273,0.251516,0.024541,0.064469,0.031023,0.021157,0.064046,0.125816
12,0.1,0.018627,0.061989,0.150707,0.026223,0.063207,0.251299,0.024517,0.064614,0.031218,0.021116,0.064041,0.125922
13,0.108333,0.018663,0.061989,0.150686,0.026247,0.063132,0.251366,0.024431,0.064615,0.031168,0.021257,0.064008,0.125916
14,0.116667,0.018658,0.062002,0.150579,0.026327,0.063195,0.251998,0.024457,0.064397,0.03037,0.021332,0.064158,0.125861
15,0.125,0.018421,0.062068,0.150541,0.026404,0.063268,0.252244,0.024473,0.064194,0.030032,0.021283,0.064021,0.125518
16,0.133333,0.018237,0.062056,0.150577,0.026507,0.063286,0.251802,0.024473,0.064324,0.030507,0.021247,0.063969,0.125725
17,0.141667,0.018435,0.062024,0.150626,0.026651,0.06327,0.251349,0.024523,0.064474,0.031093,0.021138,0.064062,0.125872
18,0.15,0.018573,0.062016,0.150723,0.02673,0.063208,0.251221,0.024505,0.064628,0.031214,0.021134,0.06401,0.125899
19,0.158333,0.018555,0.062021,0.150631,0.026711,0.063197,0.251408,0.024491,0.064628,0.031004,0.021258,0.064066,0.125952
20,0.166667,0.018495,0.062067,0.150578,0.026792,0.063298,0.252066,0.024545,0.06435,0.030219,0.021274,0.064161,0.125741
21,0.175,0.018201,0.062137,0.150523,0.026822,0.063356,0.252088,0.024549,0.064203,0.030092,0.021237,0.064006,0.125581
22,0.183333,0.018136,0.062091,0.150585,0.026882,0.063316,0.251607,0.024562,0.06434,0.030706,0.02118,0.064018,0.125775
