Pressure Sensor 1,Pressure Sensor 2,Pressure Sensor 3,Pressure Sensor 4
0.44,0.44,0.68,0.56
0.44,0.44,0.68,0.56
0.44,0.56,0.44,0.44
0.44,0.44,0.44,0.44
0.32,0.44,0.44,0.44
0.44,0.56,0.56,0.44
0.44,0.56,0.56,0.56
0.68,0.81,0.56,0.44
0.32,0.44,0.56,0.44
0.56,0.56,0.44,0.56
0.32,0.81,0.56,0.44
0.56,0.56,0.44,0.44
0.56,0.56,0.56,0.32
0.32,0.68,0.56,0.44
0.44,0.68,0.56,0.44
0.44,0.56,0.56,0.56
0.68,0.68,0.56,0.56
0.44,0.44,0.56,0.56
0.2,0.44,0.68,0.56
0.56,0.32,0.56,0.44
0.44,0.56,0.56,0.44
0.44,0.56,0.56,0.44
0.44,0.56,0.56,0.44
0.44,0.56,0.32,0.56
0.44,0.44,0.44,0.56
0.44,0.56,0.56,0.44
0.68,0.93,0.68,0.44
0.44,0.44,0.44,0.44
0.44,0.56,0.44,0.44
0.68,0.44,0.44,0.44
0.07,0.56,0.32,0.44
0.44,0.44,0.44,0.56
0.44,0.44,0.68,0.32
0.44,0.68,0.56,0.44
0.44,0.44,0.44,0.44
0.44,0.68,0.44,0.56
0.44,0.44,0.44,0.56
0.44,0.68,0.32,0.68
0.56,0.44,0.44,0.56
0.56,0.56,0.44,0.44
0.56,0.56,0.56,0.32
0.56,0.32,0.32,0.44
0.44,0.81,0.56,0.44
0.44,0.81,0.44,0.44
0.44,0.68,0.44,0.81
0.32,0.44,0.44,0.68
0.44,0.44,0.44,0.44
0.56,0.44,0.44,0.44
0.44,0.56,0.44,0.56
0.44,0.81,0.56,0.44
0.44,0.56,0.56,0.44
0.32,0.68,0.44,0.32
0.44,0.56,0.68,0.68
0.32,0.44,0.44,0.56
0.44,0.68,0.68,0.44
0.56,0.56,0.44,0.32
-0.05,0.93,0.44,0.68
0.56,0.56,0.56,0.44
0.32,0.56,0.32,0.44
0.44,0.81,0.07,0.44
0.44,0.44,0.44,0.44
0.44,0.56,0.56,0.44
0.56,0.68,0.68,0.56
0.44,0.56,0.32,0.44
0.68,0.56,0.56,0.44
0.56,0.56,0.44,0.56
0.32,0.44,0.56,0.56
0.68,0.68,0.44,1.29
0.68,0.56,0.56,0.32
0.68,0.44,0.44,0.68
0.44,0.44,0.68,0.56
0.32,0.2,0.44,0.56
0.56,0.44,0.44,0.44
0.44,0.81,0.32,0.44
0.68,0.44,0.44,0.56
0.44,0.56,0.44,0.44
0.44,0.32,0.56,0.56
0.44,0.68,0.56,0.44
-0.05,0.68,0.56,0.56
0.44,0.44,0.44,0.44
0.44,0.44,0.44,0.68
0.44,0.44,0.44,0.44
0.44,0.93,0.32,0.44
0.56,0.32,0.44,0.44
0.56,0.56,0.56,0.68
0.56,0.56,0.44,0.44
0.44,0.56,0.32,0.44
0.44,0.68,0.56,0.44
0.56,0.68,0.44,0.44
0.44,0.81,0.56,0.32
0.56,0.44,0.44,0.56
0.44,0.44,0.44,0.56
0.56,-0.05,0.68,0.56
0.81,0.32,0.32,0.32
0.44,0.44,0.44,0.44
0.44,0.44,0.44,0.68
0.44,0.56,0.44,0.56
0.56,0.44,0.44,0.44
0.56,0.56,0.56,0.44
0.56,0.81,0.56,0.44
0.56,0.56,0.32,0.56
0.44,0.81,0.44,0.44
0.44,0.56,0.44,0.56
0.44,0.56,0.56,0.68
0.56,0.44,0.32,0.44
0.44,0.68,0.56,0.44
0.44,0.68,0.44,0.56
